ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League,home_field_goals,away_field_goals,home_field_goal_pct,away_field_goal_pct,home_three_pointers,away_three_pointers,home_three_point_pct,away_three_point_pct,home_free_throws,away_free_throws,home_free_throw_pct,away_free_throw_pct,home_rebounds,away_rebounds,home_assists,away_assists,home_steals,away_steals,home_blocks,away_blocks,home_total_turnovers,away_total_turnovers,home_fast_break_points,away_fast_break_points,home_points_in_paint,away_points_in_paint,home_fouls,away_fouls,home_largest_lead,away_largest_lead,home_offensive_rebounds,away_offensive_rebounds,home_defensive_rebounds,away_defensive_rebounds,home_points_off_turnovers,away_points_off_turnovers,home_technical_fouls,away_technical_fouls,home_flagrant_fouls,away_flagrant_fouls
284000004,2008,"March 21, 2008",Clemson Tigers,Villanova Wildcats,24-10,21-12,69.0,75.0,,,Final,,39.0,30.0,,27.0,48.0,,NCAAB,23-60,22-44,38.3,50.0,9-33,7-13,27.3,53.8,14-23,24-29,60.9,82.8,34,41,9,8,8,6,3,1,14,19,,,,,24,16,18,8,12,5,19,31,,,0,1,0,0
284000006,2008,"March 23, 2008",Villanova Wildcats,Siena Saints,22-12,23-11,84.0,72.0,,,Final,,42.0,42.0,,32.0,40.0,,NCAAB,30-56,20-56,53.6,35.7,6-13,6-21,46.2,28.6,18-24,26-39,75.0,66.7,39,38,15,9,8,8,2,4,15,13,,,,,27,19,16,0,6,10,31,24,,,0,0,0,0
273220222,2008,"November 18, 2007",Villanova Wildcats,Bucknell Bison,"2-0, 2-0 Home","2-1, 1-1 Away",70.0,64.0,,,Final,,27.0,43.0,,35.0,29.0,,NCAAB,24-55,22-51,43.6,43.1,6-22,15-31,27.3,48.4,16-26,5-9,61.5,55.6,48,27,10,17,7,5,1,3,15,18,,,,,13,22,8,9,20,9,23,17,,,0,0,0,0
273270222,2008,,,,,,,,,,,,,,,,,,NCAAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273350222,2008,"December 1, 2007",Villanova Wildcats,Pennsylvania Quakers,"5-1, 3-0 Home","2-6, 0-3 Away",87.0,61.0,,,Final,,53.0,34.0,,22.0,39.0,,NCAAB,30-65,18-49,46.2,36.7,8-21,9-22,38.1,40.9,19-31,16-27,61.3,59.3,52,42,17,12,14,6,5,8,16,27,,,,,24,26,31,0,21,14,23,22,,,0,0,0,0
273430218,2008,"December 9, 2007",Temple Owls,Villanova Wildcats,"4-5, 2-1 Home","7-1, 1-0 Away",93.0,101.0,,,Final,,39.0,54.0,,42.0,59.0,,NCAAB,31-60,33-62,51.7,53.2,12-28,11-20,42.9,55.0,19-24,24-30,79.2,80.0,32,33,17,20,6,9,4,2,17,12,,,,,22,19,6,24,8,8,23,23,,,0,0,0,0
273560222,2008,"December 22, 2007",Villanova Wildcats,Columbia Lions,"9-1, 5-0 Home","4-7, 2-4 Away",72.0,56.0,,,Final,,41.0,31.0,,24.0,32.0,,NCAAB,25-55,20-56,45.5,35.7,9-25,10-32,36.0,31.3,13-16,6-8,81.3,75.0,42,31,18,15,4,5,1,1,13,14,,,,,13,17,22,0,11,7,28,20,,,0,0,0,0
280030305,2008,"January 3, 2008",DePaul Blue Demons,Villanova Wildcats,"5-7, 1-0 Conf","10-2, 0-1 Conf",84.0,76.0,,,Final,,40.0,44.0,,28.0,48.0,,NCAAB,24-47,25-57,51.1,43.9,9-19,6-26,47.4,23.1,27-33,20-25,81.8,80.0,33,33,13,11,5,5,3,4,13,13,,,,,16,25,16,0,12,15,20,16,,,0,1,0,0
280122132,2008,"January 12, 2008",Cincinnati Bearcats,Villanova Wildcats,"8-8, 3-1 Conf","11-3, 1-2 Conf",69.0,66.0,,,Final,,31.0,38.0,,33.0,33.0,,NCAAB,22-48,26-56,45.8,46.4,8-19,6-22,42.1,27.3,17-30,8-15,56.7,53.3,40,32,10,9,6,10,3,2,17,12,,,,,15,23,6,6,12,7,26,21,,,1,1,0,0
280190183,2008,"January 19, 2008",Syracuse Orange,Villanova Wildcats,"13-6, 3-3 Conf","13-3, 3-2 Conf",71.0,81.0,,,Final,,35.0,36.0,,30.0,51.0,,NCAAB,24-60,23-58,40.0,39.7,3-16,8-23,18.8,34.8,20-26,27-40,76.9,67.5,47,48,10,14,5,14,9,4,19,19,,,,,27,20,8,11,14,17,27,26,,,0,0,0,0
280260222,2008,"January 26, 2008",Villanova Wildcats,Notre Dame Fighting Irish,"13-5, 3-4 Conf","14-4, 4-2 Conf",80.0,90.0,,,Final,,29.0,51.0,,39.0,51.0,,NCAAB,32-72,27-53,44.4,50.9,7-21,9-19,33.3,47.4,9-12,27-38,75.0,71.1,41,44,19,20,8,7,2,1,14,15,,,,,29,16,4,18,14,8,26,29,,,0,0,0,0
280330222,2008,"February 2, 2008",Villanova Wildcats,Syracuse Orange,"13-7, 3-6 Conf","16-7, 6-4 Conf",73.0,87.0,,,Final,,39.0,34.0,,44.0,43.0,,NCAAB,26-58,27-43,44.8,62.8,7-19,5-11,36.8,45.5,14-18,28-39,77.8,71.8,26,35,20,14,12,10,2,4,13,18,,,,,32,19,11,16,7,7,15,27,,,0,1,0,0
280400222,2008,"February 9, 2008",Villanova Wildcats,Seton Hall Pirates,"14-8, 4-6 Conf","15-9, 5-6 Conf",72.0,70.0,,,Final,,43.0,29.0,,41.0,29.0,,NCAAB,21-54,24-61,38.9,39.3,9-22,5-16,40.9,31.3,21-27,17-24,77.8,70.8,36,45,12,11,6,5,5,3,10,10,,,,,19,20,10,3,13,16,22,23,,,0,1,0,0
280472599,2008,"February 16, 2008",St. John's Red Storm,Villanova Wildcats,"10-14, 4-9 Conf","15-9, 5-7 Conf",42.0,60.0,,,Final,,13.0,29.0,,31.0,29.0,,NCAAB,13-51,24-55,25.5,43.6,3-21,8-19,14.3,42.1,13-19,4-6,68.4,66.7,36,48,4,13,6,5,5,5,12,11,,,,,16,18,2,22,10,10,23,32,,,0,0,0,0
280540222,2008,"February 23, 2008",Villanova Wildcats,UConn Huskies,"17-9, 7-7 Conf","21-6, 10-4 Conf",67.0,65.0,,,Final,,33.0,34.0,,27.0,38.0,,NCAAB,26-62,22-55,41.9,40.0,9-20,6-20,45.0,30.0,6-11,15-22,54.5,68.2,38,48,17,16,9,4,2,6,8,13,,,,,15,15,15,0,13,16,17,27,,,0,0,0,0
280620097,2008,"March 2, 2008",Louisville Cardinals,Villanova Wildcats,"24-6, 14-3 Conf","17-11, 7-9 Conf",68.0,54.0,,,Final,,35.0,33.0,,24.0,30.0,,NCAAB,23-50,20-50,46.0,40.0,8-25,5-22,32.0,22.7,14-22,9-13,63.6,69.2,39,29,13,10,7,6,7,0,15,14,,,,,17,24,18,4,12,6,26,23,,,0,0,0,0
280682507,2008,"March 8, 2008",Providence Friars,Villanova Wildcats,"15-15, 6-12 Conf","19-11, 9-9 Conf",63.0,73.0,,,Final,,28.0,35.0,,34.0,39.0,,NCAAB,24-53,20-50,45.3,40.0,5-21,8-27,23.8,29.6,10-15,25-31,66.7,80.6,32,41,17,16,10,10,2,3,19,17,,,,,20,17,1,10,8,13,21,24,,,0,0,0,0
273130222,2008,"November 9, 2007",Villanova Wildcats,Stony Brook Seawolves,"1-0, 1-0 Home","0-1, 0-1 Away",86.0,64.0,,,Final,,41.0,45.0,,29.0,35.0,,NCAAB,31-56,21-41,55.4,51.2,8-16,9-21,50.0,42.9,16-24,13-21,66.7,61.9,39,23,19,11,5,2,4,2,8,13,,,,,16,22,27,0,17,5,18,14,,,1,0,0,0
273262116,2008,"November 22, 2007",UCF Knights,Villanova Wildcats,2-1,3-0,68.0,76.0,,,Final,,28.0,40.0,,33.0,43.0,,NCAAB,19-44,25-58,43.2,43.1,9-18,11-30,50.0,36.7,21-28,15-22,75.0,68.2,31,37,12,17,7,8,4,5,17,13,,,,,21,24,1,12,8,13,22,21,,,0,0,0,0
273290152,2008,"November 25, 2007",Villanova Wildcats,NC State Wolfpack,4-1,4-1,68.0,69.0,,,Final,,33.0,35.0,,38.0,31.0,,NCAAB,29-68,23-43,42.6,53.5,2-12,7-15,16.7,46.7,8-18,16-25,44.4,64.0,42,31,13,13,11,3,3,4,11,22,,,,,21,19,6,7,21,8,18,23,,,0,0,0,0
273400222,2008,"December 6, 2007",Villanova Wildcats,LSU Tigers,6-1,5-3,68.0,67.0,,,Final,,24.0,44.0,,35.0,32.0,,NCAAB,21-62,22-52,33.9,42.3,3-9,7-23,33.3,30.4,23-34,16-25,67.6,64.0,44,46,10,14,9,7,4,14,13,16,,,,,18,23,1,21,17,9,26,30,,,0,0,0,0
273480222,2008,"December 14, 2007",Villanova Wildcats,Hartford Hawks,"8-1, 4-0 Home","5-7, 0-5 Away",103.0,75.0,,,Final,,44.0,59.0,,41.0,34.0,,NCAAB,36-64,23-56,56.3,41.1,15-33,7-25,45.5,28.0,16-20,22-33,80.0,66.7,38,37,22,15,9,6,3,1,17,19,,,,,22,22,28,5,11,12,26,21,,,0,0,0,0
273630222,2008,"December 29, 2007",Villanova Wildcats,La Salle Explorers,"10-1, 6-0 Home","4-7, 1-4 Away",71.0,58.0,,,Final,,43.0,28.0,,30.0,28.0,,NCAAB,26-60,21-55,43.3,38.2,4-13,5-13,30.8,38.5,15-20,11-19,75.0,57.9,48,38,15,13,10,9,3,2,17,22,,,,,17,21,16,4,14,13,25,22,,,0,0,0,0
