ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League,home_field_goals,away_field_goals,home_field_goal_pct,away_field_goal_pct,home_three_pointers,away_three_pointers,home_three_point_pct,away_three_point_pct,home_free_throws,away_free_throws,home_free_throw_pct,away_free_throw_pct,home_rebounds,away_rebounds,home_assists,away_assists,home_steals,away_steals,home_blocks,away_blocks,home_total_turnovers,away_total_turnovers,home_fast_break_points,away_fast_break_points,home_points_in_paint,away_points_in_paint,home_fouls,away_fouls,home_largest_lead,away_largest_lead,home_offensive_rebounds,away_offensive_rebounds,home_defensive_rebounds,away_defensive_rebounds,home_points_off_turnovers,away_points_off_turnovers,home_technical_fouls,away_technical_fouls,home_flagrant_fouls,away_flagrant_fouls
401123412,2018,"March 22, 2019",Virginia Cavaliers,Gardner-Webb Bulldogs,30-3,23-12,71,56,UVA -22.5,129.0,Final,truTV,30,41,,36,20,,NCAAB,28-54,22-50,51.9,44.0,7-23,9-23,30.4,39.1,8-13,3-4,61.5,75.0,35,21,12,10,10,5,3,2,15,16,,,,,9,16,21,14,12,5,23,16,,,0,0,0,0
401123424,2018,"March 24, 2019",Virginia Cavaliers,Oklahoma Sooners,31-3,20-14,63,51,UVA -11.0,127.0,Final,truTV,31,32,,22,29,,NCAAB,27-56,19-52,48.2,36.5,7-24,8-22,29.2,36.4,2-5,5-6,40.0,83.3,36,29,10,9,6,3,6,1,6,7,,,,,11,10,16,4,8,6,28,23,,,0,0,0,0
401123381,2018,"March 28, 2019",Virginia Cavaliers,Oregon Ducks,32-3,25-13,53,49,UVA -8.5,120.0,Final,TBS,30,23,,22,27,,NCAAB,20-56,17-45,35.7,37.8,9-33,9-25,27.3,36.0,4-5,6-8,80.0,75.0,34,31,14,8,4,5,2,1,8,11,,,,,13,14,8,6,11,6,23,25,,,1,1,0,0
401123383,2018,"March 30, 2019",Virginia Cavaliers,Purdue Boilermakers,33-3,26-10,80,75,UVA -4.5,128.0,Final/OT,TBS,29,41,10.0,30,40,5.0,NCAAB,27-65,27-55,41.5,49.1,9-27,14-32,33.3,43.8,17-20,7-10,85.0,70.0,39,31,14,9,6,1,4,5,5,9,,,,,14,17,8,10,17,8,22,23,,,0,0,0,0
401123375,2018,"April 06, 2019",Virginia Cavaliers,Auburn Tigers,34-3,30-10,63,62,UVA -6.5,132.0,Final,CBS,28,35,,31,31,,NCAAB,25-51,21-55,49.0,38.2,7-19,9-31,36.8,29.0,6-12,11-14,50.0,78.6,31,33,15,9,1,3,9,3,8,5,,,,,12,12,10,4,5,9,26,24,,,0,0,0,0
401082763,2018,"November 11, 2018",Virginia Cavaliers,George Washington Colonials,"2-0, 2-0 Home","0-3, 0-1 Away",76,57,UVA -27.0,124.0,Final,ACCNX,42,34,,17,40,,NCAAB,30-55,18-45,54.5,40.0,8-19,6-18,42.1,33.3,8-13,15-23,61.5,65.2,32,25,18,8,7,4,3,2,12,17,,,,,22,21,30,0,6,6,26,19,,,0,0,0,0
401082765,2018,"November 21, 2018",Virginia Cavaliers,Middle Tennessee Blue Raiders,4-0,3-2,74,52,UVA -20.5,127.0,Final,ESPN2,38,36,,25,27,,NCAAB,26-56,20-51,46.4,39.2,8-23,3-13,34.8,23.1,14-20,9-12,70.0,75.0,38,26,16,12,8,9,4,4,13,15,,,,,11,18,24,0,12,6,26,20,,,0,0,0,0
401096935,2018,"November 23, 2018",Wisconsin Badgers,Virginia Cavaliers,5-1,6-0,46,53,UVA -4.0,119.0,Final,ESPN,18,28,,33,20,,NCAAB,21-48,20-54,43.8,37.0,2-11,4-17,18.2,23.5,2-3,9-12,66.7,75.0,33,31,13,10,4,9,5,2,13,5,,,,,11,9,0,15,4,7,29,24,,,0,0,0,0
401082766,2018,"December 03, 2018",Virginia Cavaliers,Morgan State Bears,"8-0, 4-0 Home","2-5, 0-5 Away",83,45,,,Final,ACCNX,47,36,,23,22,,NCAAB,27-50,14-54,54.0,25.9,8-22,4-19,36.4,21.1,21-23,13-16,91.3,81.3,33,28,17,5,9,10,5,2,13,16,,,,,15,21,39,0,3,10,30,18,,,0,0,0,0
401082768,2018,"December 19, 2018",South Carolina Gamecocks,Virginia Cavaliers,"4-6, 3-3 Home","10-0, 2-0 Away",52,69,UVA -10.0,127.0,Final,SECN,26,26,,33,36,,NCAAB,20-55,26-59,36.4,44.1,3-18,8-24,16.7,33.3,9-13,9-13,69.2,69.2,37,33,9,15,4,6,4,2,12,5,,,,,15,15,0,19,12,10,25,23,,,0,0,0,0
401082770,2018,"December 31, 2018",Virginia Cavaliers,Marshall Thundering Herd,"12-0, 7-0 Home","7-6, 2-5 Away",100,64,UVA -19.5,137.0,Final,ACCNX,50,50,,25,39,,NCAAB,33-62,20-57,53.2,35.1,12-27,6-22,44.4,27.3,22-26,18-23,84.6,78.3,45,23,18,5,7,11,5,4,16,13,,,,,18,20,43,0,14,6,31,17,,,0,2,0,0
401082625,2018,"January 09, 2019",Boston College Eagles,Virginia Cavaliers,"9-5, 0-2 Conf","14-0, 2-0 Conf",56,83,UVA -12.5,130.0,Final,ESPNU,31,25,,43,40,,NCAAB,22-57,33-55,38.6,60.0,7-25,8-19,28.0,42.1,5-9,9-14,55.6,64.3,21,41,6,17,4,5,0,6,9,11,,,,,12,16,2,30,6,8,15,33,,,0,0,0,0
401082751,2018,"January 15, 2019",Virginia Cavaliers,Virginia Tech Hokies,"16-0, 4-0 Conf","14-2, 3-1 Conf",81,59,UVA -7.5,125.0,Final,ACCNX,44,37,,22,37,,NCAAB,31-53,19-44,58.5,43.2,13-24,7-21,54.2,33.3,6-6,14-17,100.0,82.4,27,19,18,10,4,6,2,1,9,9,,,,,10,10,25,0,8,6,19,13,,,0,1,0,0
401082732,2018,"January 22, 2019",Virginia Cavaliers,Wake Forest Demon Deacons,"17-1, 5-1 Conf","8-10, 1-5 Conf",68,45,UVA -21.5,132.0,Final,ACCNX,36,32,,23,22,,NCAAB,22-57,17-55,38.6,30.9,7-21,6-24,33.3,25.0,17-21,5-7,81.0,71.4,41,37,14,10,6,5,6,3,7,11,,,,,15,18,24,0,12,10,29,27,,,0,1,0,0
401082772,2018,"January 29, 2019",NC State Wolfpack,Virginia Cavaliers,"16-5, 4-4 Conf","19-1, 7-1 Conf",65,66,UVA -7.0,137.0,Final/OT,ESPN2,23,32,10.0,27,28,11.0,NCAAB,22-64,24-52,34.4,46.2,7-26,4-10,26.9,40.0,14-21,14-19,66.7,73.7,35,39,10,15,8,2,4,6,8,16,,,,,16,22,3,14,16,11,19,28,,,0,0,0,0
401082686,2018,"February 09, 2019",Virginia Cavaliers,Duke Blue Devils,"20-2, 8-2 Conf","21-2, 9-1 Conf",71,81,UVA -2.0,136.0,Final,ESPN,35,36,,39,42,,NCAAB,28-60,26-45,46.7,57.8,10-24,13-21,41.7,61.9,5-7,16-23,71.4,69.6,28,25,15,18,8,12,5,5,14,15,,,,,17,9,0,14,14,8,14,17,,,1,1,0,0
401082775,2018,"February 16, 2019",Virginia Cavaliers,Notre Dame Fighting Irish,"22-2, 10-2 Conf","13-12, 3-9 Conf",60,54,UVA -16.5,127.0,Final,ACCNX,29,31,,25,29,,NCAAB,19-52,19-55,36.5,34.5,8-23,8-30,34.8,26.7,14-17,8-8,82.4,100.0,36,33,12,8,5,6,4,3,8,9,,,,,6,13,10,2,7,7,29,26,,,0,0,0,0
401082776,2018,"February 23, 2019",Louisville Cardinals,Virginia Cavaliers,"18-10, 9-6 Conf","24-2, 12-2 Conf",52,64,UVA -5.5,125.0,Final,ACCNX,37,15,,27,37,,NCAAB,17-55,26-56,30.9,46.4,12-33,2-17,36.4,11.8,6-8,10-10,75.0,100.0,28,39,10,12,2,2,3,7,5,5,,,,,13,12,12,12,7,8,21,31,,,1,0,0,0
401082778,2018,"March 02, 2019",Virginia Cavaliers,Pittsburgh Panthers,"26-2, 14-2 Conf","12-17, 2-14 Conf",73,49,UVA -17.5,126.0,Final,ACCNX,39,34,,19,30,,NCAAB,24-41,17-44,58.5,38.6,9-16,6-19,56.3,31.6,16-20,9-13,80.0,69.2,25,24,14,12,9,6,1,2,10,15,,,,,16,18,27,3,1,5,24,19,,,0,0,0,0
401082780,2018,"March 09, 2019",Virginia Cavaliers,Louisville Cardinals,"28-2, 16-2 Conf","19-12, 10-8 Conf",73,68,UVA -12.0,126.0,Final,ESPN,36,37,,33,35,,NCAAB,23-57,23-56,40.4,41.1,12-28,9-25,42.9,36.0,15-21,13-17,71.4,76.5,31,40,13,7,7,2,6,3,4,10,,,,,15,20,9,7,11,14,20,26,,,0,0,0,0
401082762,2018,"November 06, 2018",Virginia Cavaliers,Towson Tigers,"1-0, 1-0 Home","0-1, 0-1 Away",73,42,UVA -25.5,129.0,Final,ACCNX,28,45,,19,23,,NCAAB,26-54,13-41,48.1,31.7,10-26,4-14,38.5,28.6,11-18,12-27,61.1,44.4,35,32,19,1,6,3,3,0,5,14,,,,,19,18,31,3,11,12,24,20,,,0,0,0,0
401082764,2018,"November 16, 2018",Virginia Cavaliers,Coppin State Eagles,"3-0, 3-0 Home","0-4, 0-4 Away",97,40,,,Final,ACCNX,45,52,,17,23,,NCAAB,35-58,17-52,60.3,32.7,15-25,6-24,60.0,25.0,12-15,0-0,80.0,0.0,35,25,24,10,8,0,5,0,4,17,,,,,8,19,59,0,5,5,30,20,,,0,0,0,0
401096929,2018,"November 22, 2018",Dayton Flyers,Virginia Cavaliers,4-1,5-0,59,66,UVA -12.5,124.0,Final,ESPN,22,37,,27,39,,NCAAB,25-46,21-49,54.3,42.9,5-14,7-20,35.7,35.0,4-8,17-22,50.0,77.3,27,30,12,8,6,6,2,0,14,9,,,,,21,14,7,9,9,14,18,16,,,0,0,0,0
401082424,2018,"November 28, 2018",Maryland Terrapins,Virginia Cavaliers,"6-1, 5-1 Home","7-0, 1-0 Away",71,76,UVA -3.5,126.0,Final,ESPN,30,41,,39,37,,NCAAB,27-50,28-59,54.0,47.5,7-17,10-22,41.2,45.5,10-16,10-15,62.5,66.7,35,23,12,15,0,7,2,2,14,2,,,,,16,19,1,17,10,9,25,14,,,0,0,0,0
401082767,2018,"December 09, 2018",Virginia Cavaliers,VCU Rams,"9-0, 5-0 Home","7-3, 1-2 Away",57,49,UVA -15.0,122.0,Final,ACCNX,29,28,,24,25,,NCAAB,13-44,18-61,29.5,29.5,5-18,6-29,27.8,20.7,26-30,7-11,86.7,63.6,38,34,9,7,4,2,2,4,12,8,,,,,18,21,9,5,12,15,26,19,,,0,0,0,0
401082769,2018,"December 22, 2018",Virginia Cavaliers,William & Mary Tribe,"11-0, 6-0 Home","4-8, 1-6 Away",72,40,UVA -22.0,134.0,Final,ACCNX,34,38,,23,17,,NCAAB,24-50,16-49,48.0,32.7,5-13,2-20,38.5,10.0,19-21,6-16,90.5,37.5,42,24,12,3,4,4,1,3,7,7,,,,,17,17,32,2,9,7,33,17,,,0,0,0,0
401082704,2018,"January 05, 2019",Virginia Cavaliers,Florida State Seminoles,"13-0, 1-0 Conf","12-2, 0-1 Conf",65,52,UVA -9.0,131.0,Final,ESPN2,42,23,,23,29,,NCAAB,21-52,15-44,40.4,34.1,7-16,6-23,43.8,26.1,16-18,16-27,88.9,59.3,36,32,12,8,4,9,2,6,11,15,,,,,16,19,29,4,9,8,27,24,,,1,1,0,0
401082654,2018,"January 12, 2019",Clemson Tigers,Virginia Cavaliers,"10-6, 0-3 Conf","15-0, 3-0 Conf",43,63,UVA -5.5,124.0,Final,ACCNX,21,22,,27,36,,NCAAB,14-54,23-57,25.9,40.4,3-19,10-23,15.8,43.5,12-17,7-12,70.6,58.3,36,46,5,11,7,4,2,2,7,8,,,,,14,13,0,23,8,10,28,36,,,0,0,0,0
401082681,2018,"January 19, 2019",Duke Blue Devils,Virginia Cavaliers,"15-2, 4-1 Conf","16-1, 4-1 Conf",72,70,DUKE -3.5,137.0,Final,ESPN,37,35,,32,38,,NCAAB,26-51,28-53,51.0,52.8,2-14,3-17,14.3,17.6,18-31,11-17,58.1,64.7,32,30,6,8,5,4,1,4,8,8,,,,,18,20,8,2,10,7,22,23,,,0,0,0,0
401082771,2018,"January 26, 2019",Notre Dame Fighting Irish,Virginia Cavaliers,"11-9, 1-6 Conf","18-1, 6-1 Conf",55,82,UVA -12.0,126.0,Final,CBS,25,30,,42,40,,NCAAB,22-61,35-67,36.1,52.2,8-29,8-18,27.6,44.4,3-8,4-7,37.5,57.1,33,45,10,12,1,2,3,5,7,2,,,,,8,9,0,30,10,11,23,34,,,0,0,0,0
401082773,2018,"February 02, 2019",Virginia Cavaliers,Miami Hurricanes,"20-1, 8-1 Conf","9-12, 1-8 Conf",56,46,UVA -18.5,130.0,Final,ACCNX,28,28,,21,25,,NCAAB,22-52,17-50,42.3,34.0,6-17,4-21,35.3,19.0,6-10,8-15,60.0,53.3,42,24,16,6,5,6,6,2,14,7,,,,,10,14,13,2,12,5,30,19,,,0,0,0,0
401082774,2018,"February 11, 2019",North Carolina Tar Heels,Virginia Cavaliers,"19-5, 9-2 Conf","21-2, 9-2 Conf",61,69,UNC -1.0,140.0,Final,ESPN,29,32,,36,33,,NCAAB,23-65,24-45,35.4,53.3,9-30,11-20,30.0,55.0,6-7,10-18,85.7,55.6,41,29,17,16,2,5,3,6,8,10,,,,,14,11,7,9,18,4,23,25,,,0,0,0,0
401082759,2018,"February 18, 2019",Virginia Tech Hokies,Virginia Cavaliers,"20-6, 9-5 Conf","23-2, 11-2 Conf",58,64,UVA -5.5,118.0,Final,ESPN,29,29,,32,32,,NCAAB,23-58,23-50,39.7,46.0,3-28,11-27,10.7,40.7,9-13,7-12,69.2,58.3,28,31,9,14,9,5,2,4,8,13,,,,,12,15,3,13,13,10,15,21,,,0,0,0,0
401082777,2018,"February 27, 2019",Virginia Cavaliers,Georgia Tech Yellow Jackets,"25-2, 13-2 Conf","12-17, 4-12 Conf",81,51,UVA -18.5,121.0,Final,ESPN2,41,40,,22,29,,NCAAB,30-54,21-56,55.6,37.5,9-17,5-17,52.9,29.4,12-17,4-7,70.6,57.1,41,21,17,7,3,4,5,3,8,7,,,,,9,13,30,4,11,6,30,15,,,0,0,0,0
401082779,2018,"March 04, 2019",Syracuse Orange,Virginia Cavaliers,"19-11, 10-7 Conf","27-2, 15-2 Conf",53,79,UVA -6.0,121.0,Final,ESPN,34,19,,32,47,,NCAAB,19-57,28-51,33.3,54.9,8-25,18-25,32.0,72.0,7-11,5-11,63.6,45.5,33,35,8,21,9,7,4,8,10,11,,,,,13,16,6,28,14,7,19,28,,,0,0,0,0
401120700,2018,"March 14, 2019",Virginia Cavaliers,NC State Wolfpack,"29-2, 16-2 Conf","22-11, 9-9 Conf",76,56,UVA -12.5,132.0,Final,ESPN,27,49,,29,27,,NCAAB,25-48,19-49,52.1,38.8,10-21,3-20,47.6,15.0,16-22,15-25,72.7,60.0,33,29,18,6,7,3,1,3,9,9,,,,,19,18,24,6,5,8,28,21,,,1,0,0,0
