ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League,home_field_goals,away_field_goals,home_field_goal_pct,away_field_goal_pct,home_three_pointers,away_three_pointers,home_three_point_pct,away_three_point_pct,home_free_throws,away_free_throws,home_free_throw_pct,away_free_throw_pct,home_rebounds,away_rebounds,home_assists,away_assists,home_steals,away_steals,home_blocks,away_blocks,home_total_turnovers,away_total_turnovers,home_fast_break_points,away_fast_break_points,home_points_in_paint,away_points_in_paint,home_fouls,away_fouls,home_largest_lead,away_largest_lead,home_offensive_rebounds,away_offensive_rebounds,home_defensive_rebounds,away_defensive_rebounds,home_points_off_turnovers,away_points_off_turnovers,home_technical_fouls,away_technical_fouls,home_flagrant_fouls,away_flagrant_fouls
401123415,2019,"March 22, 2019",Utah State Aggies,Washington Huskies,28-7,27-8,61,78,USU -3.5,136.0,Final,TNT,28,33,,40,38,,NCAAB,19-54,25-51,35.2,49.0,7-20,10-17,35.0,58.8,16-20,18-21,80.0,85.7,35,29,13,14,3,10,4,6,21,15,,,,,18,18,6,17,15,7,20,22,,,0,0,0,0
401083164,2019,"November 9, 2018",Auburn Tigers,Washington Huskies,"2-0, 2-0 Home","1-1, 0-1 Away",88,66,AUB -9.5,153.0,Final,SECN,48,40,,30,36,,NCAAB,29-70,25-45,41.4,55.6,12-31,6-14,38.7,42.9,18-23,10-17,78.3,58.8,41,24,16,10,8,8,4,5,11,18,,,,,20,18,30,2,19,3,22,21,,,0,1,0,0
401083766,2019,"November 18, 2018",Washington Huskies,Santa Clara Broncos,3-1,0-3,82,68,WASH -17.0,135.0,Final,ESPN3,42,40,,32,36,,NCAAB,24-50,26-58,48.0,44.8,8-20,4-19,40.0,21.1,26-34,12-21,76.5,57.1,35,29,12,11,8,8,7,1,14,15,,,,,19,24,,,8,10,27,19,,,1,0,0,0
401087180,2019,"November 21, 2018",Minnesota Golden Gophers,Washington Huskies,5-0,4-2,68,66,WASH -1.5,146.0,Final,BTN,20,48,,25,41,,NCAAB,21-55,23-46,38.2,50.0,4-12,3-14,33.3,21.4,22-33,17-24,66.7,70.8,34,30,8,7,6,4,1,8,15,17,,,,,21,24,4,9,17,8,17,22,,,0,1,0,0
401087181,2019,"December 2, 2018",Washington Huskies,UC Santa Barbara Gauchos,"6-2, 4-0 Home","6-2, 1-2 Away",67,63,WASH -13.0,137.0,Final,PAC12,26,41,,21,42,,NCAAB,21-50,22-53,42.0,41.5,5-21,8-20,23.8,40.0,20-28,11-21,71.4,52.4,32,35,13,12,10,8,5,1,14,17,,,,,20,23,10,2,6,11,26,24,,,0,0,0,0
401086129,2019,"December 9, 2018",Washington Huskies,Seattle Redhawks,"7-3, 5-0 Home","9-3, 0-2 Away",70,62,,,Final,PAC12,41,29,,34,28,,NCAAB,26-55,21-60,47.3,35.0,6-17,6-16,35.3,37.5,12-17,14-19,70.6,73.7,40,29,9,16,8,7,6,2,16,11,,,,,16,17,20,0,11,10,29,19,,,0,0,0,0
401086868,2019,"December 21, 2018",Washington Huskies,Sacramento State Hornets,"8-4, 6-0 Home","6-3, 1-3 Away",57,41,WASH -15.5,,Final,PAC12,19,38,,22,19,,NCAAB,21-48,12-46,43.8,26.1,3-19,3-14,15.8,21.4,12-17,14-19,70.6,73.7,32,32,8,8,11,5,10,3,15,21,,,,,22,19,16,9,8,10,24,22,,,2,0,0,0
401087184,2019,"January 5, 2019",Washington Huskies,Washington State Cougars,"10-4, 1-0 Conf","7-7, 0-1 Conf",85,67,WASH -14.0,143.0,Final,PAC12,43,42,,38,29,,NCAAB,30-53,23-49,56.6,46.9,11-20,11-27,55.0,40.7,14-18,10-11,77.8,90.9,27,24,17,15,11,3,5,2,11,17,,,,,17,16,18,1,5,5,22,19,,,0,0,0,0
401087087,2019,"January 12, 2019",Colorado Buffaloes,Washington Huskies,"10-6, 1-3 Conf","12-4, 3-0 Conf",70,77,COLO -2.5,139.0,Final,ESPNU,35,35,,48,29,,NCAAB,24-54,27-49,44.4,55.1,6-15,9-20,40.0,45.0,16-23,14-21,69.6,66.7,29,31,13,9,8,8,0,6,12,16,,,,,21,22,0,15,9,6,20,25,,,0,0,0,0
401087066,2019,"January 19, 2019",Washington Huskies,California Golden Bears,"14-4, 5-0 Conf","5-13, 0-6 Conf",71,52,WASH -16.5,143.0,Final,PAC12,29,42,,28,24,,NCAAB,21-47,18-59,44.7,30.5,10-27,1-15,37.0,6.7,19-28,15-23,67.9,65.2,40,32,12,8,7,12,11,1,18,13,,,,,20,25,21,11,9,12,31,20,,,2,0,0,0
