ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
400585682,2015,"November 17, 2014",TCU Horned Frogs,Washington State Cougars,"2-0, 2-0 Home","0-2, 0-2 Away",81,54,,,Final,,45,36,,26,28,,NCAAB
400593207,2015,"November 27, 2014",UC Santa Barbara Gauchos,Washington State Cougars,2-2,1-3,71,43,,,Final,CBSSN,34,37,,12,31,,NCAAB
400609017,2015,"November 29, 2014",Washington State Cougars,Missouri State Bears,3-3,3-3,89,84,,,Final/OT,,33,41,15,45,29,10,NCAAB
400591385,2015,"December 6, 2014",Washington State Cougars,UTSA Roadrunners,"4-4, 2-1 Home","3-4, 1-1 Away",91,71,,,Final,PAC12,52,39,,26,45,,NCAAB
400593220,2015,"December 13, 2014",Santa Clara Broncos,Washington State Cougars,"5-4, 3-0 Home","4-6, 0-3 Away",76,67,,,Final,,38,38,,30,37,,NCAAB
400593233,2015,"December 28, 2014",Washington State Cougars,UC Davis Aggies,"6-6, 4-1 Home","9-2, 4-2 Away",90,83,,,Final,PAC12,46,44,,32,51,,NCAAB
400593248,2015,"January 4, 2015",California Golden Bears,Washington State Cougars,"11-4, 1-1 Conf","7-7, 1-1 Conf",66,69,,,Final,PAC12,20,46,,24,45,,NCAAB
400593266,2015,"January 15, 2015",Washington State Cougars,Oregon Ducks,"9-7, 3-1 Conf","12-5, 2-2 Conf",108,99,,,Final/OT,PAC12,57,37,14,52,42,5,NCAAB
400593271,2015,"January 21, 2015",Utah Utes,Washington State Cougars,"15-3, 5-1 Conf","9-9, 3-3 Conf",86,64,,,Final,PAC12,46,40,,27,37,,NCAAB
400593288,2015,"January 29, 2015",Washington State Cougars,California Golden Bears,"9-11, 3-5 Conf","12-9, 2-6 Conf",67,76,,,Final,PAC12,37,30,,39,37,,NCAAB
400593297,2015,"February 5, 2015",Oregon State Beavers,Washington State Cougars,"15-7, 6-4 Conf","10-12, 4-6 Conf",55,50,,,Final,PAC12,30,25,,32,18,,NCAAB
400593310,2015,"February 13, 2015",Washington State Cougars,Arizona State Sun Devils,"11-13, 5-7 Conf","12-12, 4-7 Conf",74,71,,,Final,PAC12,29,45,,34,37,,NCAAB
400593325,2015,"February 22, 2015",Washington State Cougars,Washington Huskies,"11-15, 5-9 Conf","15-11, 4-10 Conf",84,87,,,Final,ESPNU,41,43,,37,50,,NCAAB
400593338,2015,"March 1, 2015",UCLA Bruins,Washington State Cougars,"18-12, 10-7 Conf","12-16, 6-10 Conf",72,67,,,Final,FS1,32,40,,34,33,,NCAAB
400593348,2015,"March 7, 2015",Washington State Cougars,Colorado Buffaloes,"13-17, 7-11 Conf","14-16, 7-11 Conf",96,91,,,Final/OT,PAC12,45,32,19,38,39,14,NCAAB
400591339,2015,"November 14, 2014",UTEP Miners,Washington State Cougars,"1-0, 1-0 Home","0-1, 0-1 Away",65,52,,,Final,,32,33,,26,26,,NCAAB
400585902,2015,"November 21, 2014",Washington State Cougars,Idaho State Bengals,"1-2, 1-0 Home","0-3, 0-3 Away",80,68,,,Final,PAC12,32,48,,31,37,,NCAAB
400608986,2015,"November 28, 2014",Washington State Cougars,Rice Owls,2-3,1-4,76,74,,,Final,,39,37,,33,41,,NCAAB
400585936,2015,"December 3, 2014",Washington State Cougars,Idaho Vandals,"3-4, 1-1 Home","3-3, 1-1 Away",71,77,,,Final,PAC12,31,40,,32,45,,NCAAB
400587256,2015,"December 10, 2014",Gonzaga Bulldogs,Washington State Cougars,"8-1, 5-0 Home","4-5, 0-2 Away",81,66,,,Final,ESPNU,39,42,,29,37,,NCAAB
400591605,2015,"December 21, 2014",Washington State Cougars,San José St Spartans,"5-6, 3-1 Home","2-10, 0-3 Away",82,53,,,Final,PAC12,42,40,,27,26,,NCAAB
400593241,2015,"January 2, 2015",Stanford Cardinal,Washington State Cougars,"9-3, 1-0 Conf","6-7, 0-1 Conf",71,56,,,Final,PAC12,27,44,,24,32,,NCAAB
400593256,2015,"January 10, 2015",Washington Huskies,Washington State Cougars,"11-4, 0-3 Conf","8-7, 2-1 Conf",77,80,,,Final,PAC12,37,40,,37,43,,NCAAB
400593269,2015,"January 17, 2015",Washington State Cougars,Oregon State Beavers,"9-8, 3-2 Conf","12-5, 3-2 Conf",47,62,,,Final,PAC12,16,31,,25,37,,NCAAB
400593279,2015,"January 24, 2015",Colorado Buffaloes,Washington State Cougars,"10-9, 3-4 Conf","9-10, 3-4 Conf",90,58,,,Final,PAC12,47,43,,31,27,,NCAAB
400593291,2015,"January 31, 2015",Washington State Cougars,Stanford Cardinal,"10-11, 4-5 Conf","15-6, 6-3 Conf",89,88,,,Final,PAC12,42,47,,41,47,,NCAAB
400593303,2015,"February 8, 2015",Oregon Ducks,Washington State Cougars,"17-7, 7-4 Conf","10-13, 4-7 Conf",95,72,,,Final,PAC12,52,43,,28,44,,NCAAB
