ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
401083884,2019,"November 10, 2018",Western Carolina Catamounts,Charleston Cougars,"0-2, 0-1 Home","2-0, 1-0 Away",74,77,COFC -12.0,,Final,ESPN3,28,46,,32,45,,NCAAB
401088905,2019,"November 17, 2018",Western Carolina Catamounts,Hiwassee College Tigers,"1-3, 1-1 Home",,94,55,,,Final,,42,52,,23,32,,NCAAB
401100239,2019,"November 21, 2018",Western Carolina Catamounts,Southern Miss Golden Eagles,1-5,4-1,63,68,USM -13.5,142,Final,,37,26,,42,26,,NCAAB
401082721,2019,"November 27, 2018",Wake Forest Demon Deacons,Western Carolina Catamounts,"4-2, 2-1 Home","2-6, 0-3 Away",71,64,WAKE -14.5,,Final,ACCNX,33,38,,31,33,,NCAAB
401082844,2019,"December 5, 2018",NC State Wolfpack,Western Carolina Catamounts,"8-1, 7-0 Home","2-8, 0-5 Away",100,67,NCST -27.5,,Final,ACCNX,45,55,,33,34,,NCAAB
401088257,2019,"December 15, 2018",High Point Panthers,Western Carolina Catamounts,"5-5, 1-2 Home","3-9, 1-6 Away",86,59,,,Final,ESPN+,44,42,,32,27,,NCAAB
401088401,2019,"December 21, 2018",Bowling Green Falcons,Western Carolina Catamounts,"7-5, 6-0 Home","3-11, 1-8 Away",73,52,BGSU -11.5,,Final,,32,41,,25,27,,NCAAB
401088776,2019,"January 3, 2019",Western Carolina Catamounts,Chattanooga Mocs,"3-13, 0-3 Conf","7-9, 2-1 Conf",62,73,WCU -1.5,,Final,ESPN3,30,32,,32,41,,NCAAB
401088894,2019,"January 10, 2019",Mercer Bears,Western Carolina Catamounts,"6-10, 1-3 Conf","4-14, 1-4 Conf",84,80,MER -12.5,,Final,ESPN+,41,43,,46,34,,NCAAB
401088902,2019,"January 17, 2019",Western Carolina Catamounts,UNC Greensboro Spartans,"5-15, 2-5 Conf","16-3, 5-1 Conf",60,69,UNCG -10.5,,Final,ESPN+,27,33,,33,36,,NCAAB
401088874,2019,,,,,,,,,,,,,,,,,,NCAAB
401088810,2019,"February 2, 2019",Samford Bulldogs,Western Carolina Catamounts,"14-10, 4-7 Conf","6-18, 3-8 Conf",92,81,SAM -11.0,,Final,ESPN3,49,43,,34,47,,NCAAB
401088848,2019,"February 9, 2019",Wofford Terriers,Western Carolina Catamounts,"21-4, 13-0 Conf","6-20, 3-10 Conf",83,56,WOF -22.0,,Final,ESPN+,44,39,,27,29,,NCAAB
401088860,2019,"February 16, 2019",Western Carolina Catamounts,The Citadel Bulldogs,"7-21, 4-11 Conf","11-14, 3-11 Conf",103,82,CIT -1.0,,Final,ESPN+,43,60,,39,43,,NCAAB
401088831,2019,"February 23, 2019",Western Carolina Catamounts,VMI Keydets,"7-23, 4-13 Conf","8-20, 2-14 Conf",78,83,WCU -5.0,,Final,ESPN3,43,35,,39,44,,NCAAB
401088904,2019,"November 7, 2018",Wright State Raiders,Western Carolina Catamounts,"1-0, 1-0 Home","0-1, 0-1 Away",96,73,WRST -18.0,,Final,ESPN+,52,44,,26,47,,NCAAB
401084675,2019,"November 14, 2018",SMU Mustangs,Western Carolina Catamounts,"2-1, 2-1 Home","0-3, 0-2 Away",98,65,SMU -19.5,,Final,ESPN3,52,46,,32,33,,NCAAB
401088906,2019,"November 20, 2018",Jacksonville State Gamecocks,Western Carolina Catamounts,1-3,1-4,84,53,JVST -9.0,148,Final,,33,51,,24,29,,NCAAB
401086683,2019,"November 24, 2018",Western Carolina Catamounts,Jacksonville Dolphins,"2-5, 2-1 Home","3-5, 1-3 Away",77,65,,,Final,,41,36,,28,37,,NCAAB
401088882,2019,"December 1, 2018",Furman Paladins,Western Carolina Catamounts,"8-0, 1-0 Conf","2-7, 0-1 Conf",90,88,FUR -18.0,,Final/2OT,ESPN+,34,33,23,33,34,21,NCAAB
