,ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
0,293222724,2009,"Wed, Nov 18",Wichita State Shockers,Ark Monticello Weevils,"2-0, 2-0 Home",,79,50,,,Final,,32,47,,24,26,,NCAAB
1,293282294,2009,"Tue, Nov 24",Iowa Hawkeyes,Wichita State Shockers,1-4,3-1,57,74,,,Final,,30,27,,44,30,,NCAAB
2,293342724,2009,"Mon, Nov 30",Wichita State Shockers,Alcorn State Braves,"5-1, 3-0 Home","0-9, 0-5 Away",87,52,,,Final,,42,45,,24,28,,NCAAB
3,293392724,2009,"Sat, Dec 5",Wichita State Shockers,South Carolina Upstate Spartans,"7-1, 5-0 Home","1-6, 0-5 Away",72,45,,,Final,,41,31,,22,23,,NCAAB
4,293462724,2009,"Sat, Dec 12",Wichita State Shockers,TCU Horned Frogs,"9-1, 6-0 Home","5-5, 1-3 Away",80,68,,,Final,,36,44,,24,44,,NCAAB
5,293552724,2009,"Mon, Dec 21",Wichita State Shockers,North Dakota State Bison,"11-1, 8-0 Home","4-7, 2-4 Away",69,57,,,Final,,35,34,,20,37,,NCAAB
6,300012724,2009,"Fri, Jan 1",Wichita State Shockers,Drake Bulldogs,"12-2, 1-1 Conf","5-9, 0-2 Conf",61,38,,,Final,,27,34,,20,18,,NCAAB
7,300062623,2009,"Wed, Jan 6",Missouri State Bears,Wichita State Shockers,"12-3, 2-2 Conf","14-2, 3-1 Conf",62,65,,,Final,,18,44,,37,28,,NCAAB
8,300130282,2009,"Wed, Jan 13",Indiana State Sycamores,Wichita State Shockers,"11-6, 3-3 Conf","16-2, 5-1 Conf",73,84,,,Final,,32,41,,41,43,,NCAAB
9,300192724,2009,"Tue, Jan 19",Wichita State Shockers,Northern Iowa Panthers,"17-3, 6-2 Conf","16-2, 7-1 Conf",60,51,,,Final,,29,31,,17,34,,NCAAB
10,300272724,2009,"Wed, Jan 27",Wichita State Shockers,Illinois State Redbirds,"18-4, 7-3 Conf","14-7, 5-5 Conf",74,66,,,Final,,37,37,,30,36,,NCAAB
11,300342460,2009,"Wed, Feb 3",Northern Iowa Panthers,Wichita State Shockers,"20-2, 11-1 Conf","19-5, 8-4 Conf",59,56,,,Final,,27,32,,28,28,,NCAAB
12,300400339,2009,"Tue, Feb 9",Evansville Purple Aces,Wichita State Shockers,"7-17, 1-13 Conf","20-6, 9-5 Conf",65,62,,,Final,,30,35,,20,42,,NCAAB
13,300482724,2009,"Wed, Feb 17",Wichita State Shockers,Evansville Purple Aces,"22-6, 11-5 Conf","7-19, 1-15 Conf",76,70,,,Final/OT,,26,32,18.0,24,34,12.0,NCAAB
14,300550071,2009,"Wed, Feb 24",Bradley Braves,Wichita State Shockers,"15-13, 9-8 Conf","22-8, 11-6 Conf",75,73,,,Final,,39,36,,27,46,,NCAAB
15,300642724,2009,"Fri, Mar 5",Wichita State Shockers,Missouri State Bears,"24-8, 12-6 Conf","20-12, 8-10 Conf",73,63,,,Final,,34,39,,33,30,,NCAAB
16,293192724,2009,"Sun, Nov 15",Wichita State Shockers,Fairleigh Dickinson Knights,"1-0, 1-0 Home","0-2, 0-2 Away",80,64,,,Final,,43,37,,26,38,,NCAAB
