ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League,home_field_goals,away_field_goals,home_field_goal_pct,away_field_goal_pct,home_three_pointers,away_three_pointers,home_three_point_pct,away_three_point_pct,home_free_throws,away_free_throws,home_free_throw_pct,away_free_throw_pct,home_rebounds,away_rebounds,home_assists,away_assists,home_steals,away_steals,home_blocks,away_blocks,home_total_turnovers,away_total_turnovers,home_fast_break_points,away_fast_break_points,home_points_in_paint,away_points_in_paint,home_fouls,away_fouls,home_largest_lead,away_largest_lead,home_offensive_rebounds,away_offensive_rebounds,home_defensive_rebounds,away_defensive_rebounds,home_points_off_turnovers,away_points_off_turnovers,home_technical_fouls,away_technical_fouls,home_flagrant_fouls,away_flagrant_fouls
283210195,2009,"November 16, 2008",Ohio Bobcats,William & Mary Tribe,"1-0, 1-0 Home","0-2, 0-2 Away",74,55,,,Final,,30,44,,28,27,,NCAAB,27-55,21-49,49.1,42.9,8-13,3-13,61.5,23.1,12-16,10-15,75.0,66.7,33,32,17,8,7,7,5,4,13,19,,,,,19,16,19,2,10,9,21,20,,,0,0,0,0
283272729,2009,"November 22, 2008",William & Mary Tribe,Navy Midshipmen,"1-3, 1-1 Home","3-1, 1-1 Away",99,102,,,Final/3OT,,32,34,33.0,29,37,36.0,NCAAB,35-74,34-75,47.3,45.3,14-34,14-36,41.2,38.9,15-22,20-29,68.2,69.0,42,55,20,19,7,7,3,4,17,18,,,,,26,21,10,10,8,17,32,33,,,0,0,0,0
283332729,2009,"November 28, 2008",William & Mary Tribe,South Carolina State Bulldogs,3-3,3-2,74,63,,,Final,,35,39,,27,36,,NCAAB,26-54,26-53,48.1,49.1,10-26,3-12,38.5,25.0,12-20,8-16,60.0,50.0,41,33,18,15,3,8,2,2,13,12,,,,,18,20,15,2,13,8,25,21,,,0,0,0,0
283372350,2009,"December 2, 2008",Loyola Chicago Ramblers,William & Mary Tribe,"4-4, 2-1 Home","3-5, 0-4 Away",64,61,,,Final,,29,35,,16,45,,NCAAB,25-57,22-59,43.9,37.3,4-16,7-23,25.0,30.4,10-16,10-18,62.5,55.6,44,39,12,15,7,8,6,3,13,9,,,,,18,15,13,1,16,16,25,18,,,0,0,0,0
283552729,2009,"December 20, 2008",William & Mary Tribe,Haverford Fords,"4-6, 3-2 Home",,83,50,,,Final,,40,43,,27,23,,NCAAB,33-62,22-52,53.2,42.3,7-23,5-16,30.4,31.3,10-19,1-2,52.6,50.0,41,30,23,14,16,8,2,1,12,20,,,,,9,16,35,3,16,7,23,18,,,0,0,0,0
290030111,2009,"January 3, 2009",Northeastern Huskies,William & Mary Tribe,"7-5, 2-0 Conf","5-7, 0-2 Conf",60,44,,,Final,,30,30,,22,22,,NCAAB,22-47,13-38,46.8,34.2,5-14,3-13,35.7,23.1,11-15,15-19,73.3,78.9,30,25,9,8,8,4,4,2,9,13,,,,,18,16,16,3,8,5,22,18,,,0,0,0,0
290070350,2009,"January 7, 2009",UNC Wilmington Seahawks,William & Mary Tribe,"3-13, 0-4 Conf","6-8, 1-3 Conf",59,73,,,Final,,30,29,,26,47,,NCAAB,21-55,27-47,38.2,57.4,11-31,5-12,35.5,41.7,6-8,14-16,75.0,87.5,37,26,15,14,6,5,1,5,18,12,,,,,18,12,6,16,16,5,16,19,,,0,0,0,0
290142729,2009,"January 14, 2009",William & Mary Tribe,George Mason Patriots,"6-10, 1-5 Conf","13-3, 6-0 Conf",57,61,,,Final,,26,31,,29,32,,NCAAB,22-60,23-49,36.7,46.9,6-25,6-16,24.0,37.5,7-12,9-14,58.3,64.3,38,40,9,10,7,10,1,6,13,16,,,,,14,12,3,12,14,8,22,28,,,0,0,0,0
290212275,2009,"January 21, 2009",Hofstra Pride,William & Mary Tribe,"12-7, 4-4 Conf","6-12, 1-7 Conf",54,44,,,Final,,15,39,,17,27,,NCAAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290282729,2009,"January 28, 2009",William & Mary Tribe,Towson Tigers,"6-14, 1-9 Conf","8-14, 3-7 Conf",56,69,,,Final,,36,20,,37,32,,NCAAB,20-44,26-62,45.5,41.9,8-17,2-11,47.1,18.2,8-20,15-19,40.0,78.9,32,46,13,13,6,15,3,3,22,13,,,,,16,16,8,13,8,16,22,23,,,0,1,0,0
