ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
253272649,2006,"November 23, 2005",Toledo Rockets,Wright State Raiders,"1-1, 1-0 Home","0-2, 0-2 Away",64,53,,,Final,,28,36,,21,32,,NCAAB
253340193,2006,"November 30, 2005",Miami (Oh) Redhawks,Wright State Raiders,"2-1, 2-0 Home","0-4, 0-3 Away",54,46,,,Final,,19,35,,22,24,,NCAAB
253472459,2006,"December 13, 2005",Northern Illinois Huskies,Wright State Raiders,"4-1, 3-0 Home","1-5, 0-4 Away",62,42,,,Final,,24,38,,22,20,,NCAAB
253562750,2006,"December 22, 2005",Wright State Raiders,UT Rio Grande Valley Vaqueros,"3-5, 3-1 Home","2-10, 0-7 Away",63,53,,,Final,,31,32,,21,32,,NCAAB
253652006,2006,"December 31, 2005",Akron Zips,Wright State Raiders,"6-3, 5-0 Home","4-6, 0-5 Away",72,44,,,Final,,40,32,,20,24,,NCAAB
260072750,2006,"January 7, 2006",Wright State Raiders,Loyola Chicago Ramblers,"6-6, 3-0 Conf","9-5, 1-3 Conf",77,63,,,Final,,28,49,,24,39,,NCAAB
260122754,2006,"January 12, 2006",Youngstown State Penguins,Wright State Raiders,"5-10, 2-3 Conf","8-6, 4-0 Conf",60,64,,,Final,,33,27,,35,29,,NCAAB
260210270,2006,"January 21, 2006",Milwaukee Panthers,Wright State Raiders,"14-4, 7-1 Conf","8-8, 4-2 Conf",61,54,,,Final,,34,27,,35,19,,NCAAB
260282086,2006,"January 28, 2006",Butler Bulldogs,Wright State Raiders,"11-8, 4-3 Conf","8-10, 4-4 Conf",70,62,,,Final,,34,36,,22,40,,NCAAB
260332750,2006,"February 2, 2006",Wright State Raiders,Milwaukee Panthers,"10-10, 6-4 Conf","16-5, 9-2 Conf",59,54,,,Final,,24,35,,24,30,,NCAAB
260392174,2006,"February 8, 2006",Detroit Mercy Titans,Wright State Raiders,"12-14, 6-7 Conf","11-11, 7-5 Conf",70,66,,,Final,,30,40,,25,41,,NCAAB
260462750,2006,"February 15, 2006",Wright State Raiders,Cleveland State Vikings,"12-12, 8-6 Conf","9-15, 5-9 Conf",56,63,,,Final,,29,27,,23,40,,NCAAB
260532350,2006,"February 22, 2006",Loyola Chicago Ramblers,Wright State Raiders,"16-10, 7-8 Conf","13-13, 8-7 Conf",76,63,,,Final,,36,40,,30,33,,NCAAB
253232057,2006,"November 19, 2005",Belmont Bruins,Wright State Raiders,"1-0, 1-0 Home","0-1, 0-1 Away",86,80,,,Final,,86,,,80,,,NCAAB
253302750,2006,"November 26, 2005",Wright State Raiders,Ball State Cardinals,"0-3, 0-1 Home","2-0, 1-0 Away",50,71,,,Final,,25,25,,32,39,,NCAAB
253412750,2006,"December 7, 2005",Wright State Raiders,Detroit Mercy Titans,"1-4, 1-0 Conf","4-4, 0-1 Conf",69,58,,,Final,,35,34,,32,26,,NCAAB
253512750,2006,"December 17, 2005",Wright State Raiders,Belmont Bruins,"2-5, 2-1 Home","3-5, 2-4 Away",87,79,,,Final,,34,53,,38,41,,NCAAB
253612750,2006,"December 27, 2005",Wright State Raiders,Northeastern Huskies,"4-5, 4-1 Home","6-3, 2-3 Away",72,65,,,Final,,34,38,,28,37,,NCAAB
260050325,2006,"January 5, 2006",Cleveland State Vikings,Wright State Raiders,"4-8, 0-3 Conf","5-6, 2-0 Conf",55,58,,,Final,,29,26,,30,28,,NCAAB
260092750,2006,"January 9, 2006",Wright State Raiders,Kenyon Lords,"7-6, 6-1 Home",,88,47,,,Final,,39,49,,20,27,,NCAAB
260192739,2006,"January 19, 2006",Green Bay Phoenix,Wright State Raiders,"9-9, 3-3 Conf","8-7, 4-1 Conf",57,44,,,Final,,17,40,,24,20,,NCAAB
260252750,2006,"January 25, 2006",Wright State Raiders,UIC Flames,"8-9, 4-3 Conf","9-11, 2-6 Conf",57,62,,,Final,,37,20,,28,34,,NCAAB
260302750,2006,"January 30, 2006",Wright State Raiders,Youngstown State Penguins,"9-10, 5-4 Conf","7-13, 4-6 Conf",81,67,,,Final,,42,39,,26,41,,NCAAB
260352750,2006,"February 4, 2006",Wright State Raiders,Green Bay Phoenix,"11-10, 7-4 Conf","11-13, 5-7 Conf",59,49,,,Final,,27,32,,24,25,,NCAAB
260422750,2006,"February 11, 2006",Wright State Raiders,Butler Bulldogs,"12-11, 8-5 Conf","15-9, 8-4 Conf",86,83,,,Final/2OT,,27,35,24,29,33,21,NCAAB
260490189,2006,"February 18, 2006",Bowling Green Falcons,Wright State Raiders,"9-16, 5-7 Home","13-12, 3-9 Away",51,70,,,Final,,16,35,,37,33,,NCAAB
260560082,2006,"February 25, 2006",UIC Flames,Wright State Raiders,"15-14, 8-8 Conf","13-14, 8-8 Conf",69,66,,,Final/OT,,31,28,10,30,29,7,NCAAB
260590082,2006,"February 28, 2006",UIC Flames,Wright State Raiders,"16-14, 8-8 Conf","13-15, 8-8 Conf",77,64,,,Final,,44,33,,27,37,,NCAAB
