ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League,home_field_goals,away_field_goals,home_field_goal_pct,away_field_goal_pct,home_three_pointers,away_three_pointers,home_three_point_pct,away_three_point_pct,home_free_throws,away_free_throws,home_free_throw_pct,away_free_throw_pct,home_rebounds,away_rebounds,home_assists,away_assists,home_steals,away_steals,home_blocks,away_blocks,home_total_turnovers,away_total_turnovers,home_fast_break_points,away_fast_break_points,home_points_in_paint,away_points_in_paint,home_fouls,away_fouls,home_largest_lead,away_largest_lead,home_offensive_rebounds,away_offensive_rebounds,home_defensive_rebounds,away_defensive_rebounds,home_points_off_turnovers,away_points_off_turnovers,home_technical_fouls,away_technical_fouls,home_flagrant_fouls,away_flagrant_fouls
303202754,2011,"November 16, 2010",Youngstown State Penguins,Buffalo Bulls,"2-0, 2-0 Home","1-1, 0-1 Away",64,53,,,Final,,32,32,,29,24,,NCAAB,21-54,21-55,38.9,38.2,6-18,2-15,33.3,13.3,16-25,9-27,64.0,33.3,50,37,10,10,7,9,3,3,20,13,,,,,24,23,13,8,12,7,34,26,,,0,0,0,0
303282754,2011,"November 24, 2010",Youngstown State Penguins,Toledo Rockets,"3-1, 3-0 Home","0-6, 0-3 Away",73,67,,,Final,,33,40,,34,33,,NCAAB,23-53,26-59,43.4,44.1,11-29,8-20,37.9,40.0,16-24,7-11,66.7,63.6,29,42,19,14,6,6,10,2,11,17,,,,,16,18,11,6,8,14,21,26,,,0,0,0,0
303360270,2011,"December 2, 2010",Milwaukee Panthers,Youngstown State Penguins,"4-4, 1-0 Conf","4-2, 0-1 Conf",76,67,,,Final,,43,33,,39,28,,NCAAB,27-55,24-68,49.1,35.3,4-10,8-24,40.0,33.3,18-32,11-17,56.3,64.7,46,41,14,10,4,5,4,7,13,7,,,,,18,24,10,1,13,14,32,21,,,0,1,0,0
303452523,2011,"December 11, 2010",Robert Morris Colonials,Youngstown State Penguins,"4-5, 3-0 Home","4-4, 0-4 Away",90,60,,,Final,,50,40,,26,34,,NCAAB,31-54,22-56,57.4,39.3,13-24,7-27,54.2,25.9,15-24,9-17,62.5,52.9,43,38,25,8,7,6,1,1,16,18,,,,,21,22,30,0,8,10,30,21,,,0,1,0,0
303500152,2011,"December 16, 2010",NC State Wolfpack,Youngstown State Penguins,"6-3, 4-0 Home","5-5, 0-5 Away",67,50,,,Final,,21,46,,34,16,,NCAAB,18-50,21-62,36.0,33.9,4-12,4-20,33.3,20.0,27-40,4-12,67.5,33.3,51,38,10,12,6,7,7,4,13,11,,,,,12,25,17,15,17,12,33,23,,,0,0,0,0
303642754,2011,"December 30, 2010",Youngstown State Penguins,UIC Flames,"6-6, 1-2 Conf","5-9, 0-2 Conf",71,69,,,Final,,34,37,,32,37,,NCAAB,25-53,26-50,47.2,52.0,12-25,4-9,48.0,44.4,9-13,13-18,69.2,72.2,29,32,19,11,4,4,3,1,12,13,,,,,18,15,9,3,9,7,18,22,,,0,0,0,0
310072674,2011,"January 7, 2011",Valparaiso Crusaders,Youngstown State Penguins,"11-5, 3-1 Conf","6-8, 1-4 Conf",79,55,,,Final,ESPN3,34,45,,29,26,,NCAAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310112754,2011,"January 11, 2011",Youngstown State Penguins,Wilberforce Bulldogs,"7-9, 7-1 Home",,86,51,,,Final,,39,47,,26,25,,NCAAB,32-81,20-62,39.5,32.3,8-33,1-7,24.2,14.3,14-26,10-21,53.8,47.6,64,46,21,5,7,2,5,2,5,14,,,,,20,22,38,3,21,9,40,33,,,0,0,0,0
310202754,2011,"January 20, 2011",Youngstown State Penguins,Wright State Raiders,"7-11, 1-7 Conf","13-7, 6-2 Conf",62,66,,,Final,,28,34,,24,42,,NCAAB,24-59,19-59,40.7,32.2,5-26,5-18,19.2,27.8,9-18,23-30,50.0,76.7,36,52,12,6,4,4,10,1,12,14,,,,,22,15,10,4,10,18,25,28,,,0,0,0,0
310272350,2011,"January 27, 2011",Loyola Chicago Ramblers,Youngstown State Penguins,"13-8, 4-6 Conf","7-13, 1-9 Conf",84,71,,,Final,,35,49,,30,41,,NCAAB,29-63,29-65,46.0,44.6,7-17,7-23,41.2,30.4,19-20,6-12,95.0,50.0,45,34,17,17,3,6,2,5,11,11,,,,,13,14,16,4,11,9,31,24,,,0,0,0,0
