ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
330782754,2013,"March 19, 2013",Youngstown State Penguins,Oakland Golden Grizzlies,"18-15, 11-4 Home","16-17, 6-13 Away",99,87,,,Final,,43,56,,44,43,,NCAAB
323170061,2013,"November 12, 2012",Georgia Bulldogs,Youngstown State Penguins,"1-1, 1-1 Home","2-0, 2-0 Away",56,68,,,Final,ESPNU,14,42,,25,43,,NCAAB
323242449,2013,"November 19, 2012",North Dakota State Bison,Youngstown State Penguins,3-1,3-1,83,80,,,Final/OT,,34,30,19,27,37,16,NCAAB
323262184,2013,"November 21, 2012",Duquesne Dukes,Youngstown State Penguins,"2-3, 2-1 Home","3-3, 2-1 Away",84,74,,,Final,,42,42,,33,41,,NCAAB
323360189,2013,"December 1, 2012",Bowling Green Falcons,Youngstown State Penguins,"3-4, 2-1 Home","4-4, 3-1 Away",49,58,,,Final,,17,32,,23,35,,NCAAB
323432754,2013,"December 8, 2012",Youngstown State Penguins,Hiram ,"6-4, 3-1 Home",,71,44,,,Final,,31,40,,21,23,,NCAAB
323562065,2013,"December 21, 2012",Bethune-Cookman Wildcats,Youngstown State Penguins,"5-9, 3-2 Home","7-5, 4-2 Away",51,67,,,Final,,21,30,,33,34,,NCAAB
330020082,2013,"January 2, 2013",UIC Flames,Youngstown State Penguins,"10-4, 1-0 Conf","8-6, 0-1 Conf",65,60,,,Final,,29,36,,29,31,,NCAAB
330102754,2013,"January 10, 2013",Youngstown State Penguins,Detroit Mercy Titans,"9-7, 1-2 Conf","11-5, 3-0 Conf",60,101,,,Final,,24,36,,45,56,,NCAAB
330190270,2013,"January 19, 2013",Milwaukee Panthers,Youngstown State Penguins,"5-14, 1-4 Conf","10-8, 2-3 Conf",72,75,,,Final,,39,33,,43,32,,NCAAB
330262754,2013,"January 26, 2013",Youngstown State Penguins,Cleveland State Vikings,"12-8, 4-3 Conf","10-12, 2-6 Conf",73,59,,,Final,ESPN3,42,31,,27,32,,NCAAB
330322174,2013,"February 1, 2013",Detroit Mercy Titans,Youngstown State Penguins,"15-8, 7-3 Conf","13-9, 5-4 Conf",88,77,,,Final,ESPNU,42,46,,40,37,,NCAAB
330382754,2013,"February 7, 2013",Youngstown State Penguins,Loyola Chicago Ramblers,"14-10, 6-5 Conf","13-11, 3-8 Conf",60,59,,,Final,,34,26,,20,39,,NCAAB
330462754,2013,"February 15, 2013",Youngstown State Penguins,Milwaukee Panthers,"15-11, 7-6 Conf","6-21, 2-11 Conf",94,80,,,Final,,48,46,,36,44,,NCAAB
330542754,2013,"February 23, 2013",Youngstown State Penguins,Central Michigan Chippewas,"16-12, 10-4 Home","9-17, 1-9 Away",86,75,,,Final,,45,41,,27,48,,NCAAB
330612750,2013,"March 2, 2013",Wright State Raiders,Youngstown State Penguins,"19-11, 10-6 Conf","16-14, 7-9 Conf",72,45,,,Final,ESPN3,39,33,,19,26,,NCAAB
323150045,2013,"November 10, 2012",George Washington Colonials,Youngstown State Penguins,"0-1, 0-1 Home","1-0, 1-0 Away",73,80,,,Final,,32,41,,43,37,,NCAAB
323212754,2013,"November 16, 2012",Youngstown State Penguins,St. Francis (PA) Red Flash,"3-0, 1-0 Home","0-3, 0-3 Away",75,60,,,Final,,29,46,,24,36,,NCAAB
323252754,2013,"November 20, 2012",Youngstown State Penguins,James Madison Dukes,3-2,1-2,68,69,,,Final,,32,36,,25,44,,NCAAB
323332754,2013,"November 28, 2012",Youngstown State Penguins,Kent State Golden Flashes,"3-4, 1-1 Home","5-2, 1-0 Away",78,85,,,Final/OT,,36,32,10,34,34,17,NCAAB
323412754,2013,"December 6, 2012",Youngstown State Penguins,Geneva Golden Tornadoes,"5-4, 2-1 Home",,93,50,,,Final,,47,46,,24,26,,NCAAB
323530058,2013,"December 18, 2012",South Florida Bulls,Youngstown State Penguins,"6-3, 5-2 Home","6-5, 3-2 Away",72,54,,,Final,ESPN3,33,39,,33,21,,NCAAB
323642754,2013,"December 29, 2012",Youngstown State Penguins,Marygrove College Mustangs,"8-5, 4-1 Home",,93,52,,,Final,,43,50,,17,35,,NCAAB
330052350,2013,"January 5, 2013",Loyola Chicago Ramblers,Youngstown State Penguins,"10-4, 1-1 Conf","9-6, 1-1 Conf",66,68,,,Final,,35,31,,30,38,,NCAAB
330172739,2013,"January 17, 2013",Green Bay Phoenix,Youngstown State Penguins,"9-9, 3-2 Conf","9-8, 1-3 Conf",67,58,,,Final,ESPN3,25,42,,25,33,,NCAAB
330232754,2013,"January 23, 2013",Youngstown State Penguins,Wright State Raiders,"11-8, 3-3 Conf","14-6, 5-2 Conf",68,61,,,Final,,28,40,,25,36,,NCAAB
330302754,2013,"January 30, 2013",Youngstown State Penguins,Valparaiso Crusaders,"13-8, 5-3 Conf","16-6, 6-2 Conf",80,68,,,Final,ESPN3,39,41,,28,40,,NCAAB
330360325,2013,"February 5, 2013",Cleveland State Vikings,Youngstown State Penguins,"12-12, 4-6 Conf","13-10, 5-5 Conf",66,60,,,Final,ESPN3,30,36,,23,37,,NCAAB
