ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
312530151,2011,"September 10, 2011",East Carolina Pirates,Virginia Tech Hokies,"0-2, 0-1 Home","2-0, 1-0 Away",10,17,,,Final,,7,0,3,0,,0,3,7,7,,NCAAF
312740151,2011,"October 01, 2011",East Carolina Pirates,North Carolina Tar Heels,"1-3, 1-2 Home","4-1, 1-1 Away",20,35,,,Final,,0,3,10,7,,14,14,0,7,,NCAAF
312880235,2011,"October 15, 2011",Memphis Tigers,East Carolina Pirates,"1-6, 0-3 Conf","2-4, 2-1 Conf",17,35,,,Final,,10,0,0,7,,0,7,14,14,,NCAAF
313020151,2011,"October 29, 2011",East Carolina Pirates,Tulane Green Wave,"4-4, 3-1 Conf","2-7, 1-4 Conf",34,13,,,Final,,7,10,10,7,,3,10,0,0,,NCAAF
313162638,2011,"November 12, 2011",UTEP Miners,East Carolina Pirates,"5-5, 2-4 Conf","4-6, 3-3 Conf",22,17,,,Final,,0,16,0,6,,7,0,10,0,,NCAAF
312462579,2011,"September 03, 2011",South Carolina Gamecocks,East Carolina Pirates,1-0,0-1,56,37,,,Final,,0,14,28,14,,7,17,7,6,,NCAAF
312670151,2011,"September 24, 2011",East Carolina Pirates,UAB Blazers,"1-2, 1-0 Conf","0-3, 0-2 Conf",28,23,,,Final,,7,7,14,0,,7,3,7,6,,NCAAF
312810248,2011,"October 08, 2011",Houston Cougars,East Carolina Pirates,"6-0, 2-0 Conf","1-4, 1-1 Conf",56,3,,,Final,,14,21,7,14,,3,0,0,0,,NCAAF
312952426,2011,"October 22, 2011",Navy Midshipmen,East Carolina Pirates,"2-5, 1-3 Home","3-4, 2-2 Away",35,38,,,Final,,0,7,14,14,,0,17,7,14,,NCAAF
313090151,2011,"November 05, 2011",East Carolina Pirates,Southern Mississippi Golden Eagles,"4-5, 3-2 Conf","8-1, 4-1 Conf",28,48,,,Final,,7,7,7,7,,21,17,7,3,,NCAAF
313230151,2011,"November 19, 2011",East Carolina Pirates,UCF Knights,"5-6, 4-3 Conf","4-7, 2-5 Conf",38,31,,,Final,,10,7,7,14,,7,10,7,7,,NCAAF
313300276,2011,"November 26, 2011",Marshall Thundering Herd,East Carolina Pirates,"6-6, 5-3 Conf","5-7, 4-4 Conf",34,27,,,Final/OT,,10,7,3,7,7.0,14,6,0,7,0.0,NCAAF
