ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
262520127,2006,"Sat, Sep 9",Michigan State Spartans,Eastern Michigan Eagles,"2-0, 2-0 Home","0-2, 0-2 Away",52,20,NULL,NULL,Final,NULL,10,14,14,14,NULL,3,14,3,0,NULL,NCAAF
262662199,2006,"Sat, Sep 23",Eastern Michigan Eagles,Central Michigan Chippewas,"0-4, 0-2 Conf","2-2, 2-0 Conf",17,24,NULL,NULL,Final/OT,NULL,0,3,7,7,0,0,0,7,10,7,NCAAF
262870189,2006,"Sat, Oct 14",Bowling Green Falcons,Eastern Michigan Eagles,"4-3, 3-1 Conf","0-6, 0-3 Conf",24,21,NULL,NULL,Final,NULL,3,14,0,7,NULL,0,14,7,0,NULL,NCAAF
263012711,2006,"Sat, Oct 28",Western Michigan Broncos,Eastern Michigan Eagles,"6-2, 4-1 Conf","1-7, 1-4 Conf",18,15,NULL,NULL,Final,NULL,0,3,0,15,NULL,3,0,6,6,NULL,NCAAF
263152199,2006,"Sat, Nov 11",Eastern Michigan Eagles,Navy Midshipmen,"1-9, 1-3 Home","7-3, 5-0 Away",21,49,NULL,NULL,Final,NULL,0,7,7,7,NULL,14,14,14,7,NULL,NCAAF
262432050,2006,"Thu, Aug 31",Ball State Cardinals,Eastern Michigan Eagles,"1-0, 1-0 Conf","0-1, 0-1 Conf",38,20,NULL,NULL,Final,NULL,0,17,14,7,NULL,7,6,0,7,NULL,NCAAF
262590077,2006,"Sat, Sep 16",Northwestern Wildcats,Eastern Michigan Eagles,"2-1, 1-1 Home","0-3, 0-3 Away",14,6,NULL,NULL,Final,NULL,7,0,7,0,NULL,3,3,0,0,NULL,NCAAF
262730309,2006,"Sat, Sep 30",Louisiana Ragin' Cajuns,Eastern Michigan Eagles,"2-2, 2-0 Home","0-5, 0-4 Away",33,14,NULL,NULL,Final,NULL,14,9,7,3,NULL,0,0,0,14,NULL,NCAAF
262942199,2006,"Sat, Oct 21",Eastern Michigan Eagles,Toledo Rockets,"1-6, 1-3 Conf","2-6, 0-4 Conf",17,13,NULL,NULL,Final,NULL,6,3,0,8,NULL,0,0,0,13,NULL,NCAAF
263082199,2006,"Sat, Nov 4",Eastern Michigan Eagles,Ohio Bobcats,"1-8, 1-5 Conf","7-3, 5-1 Conf",10,16,NULL,NULL,Final,NULL,3,7,0,0,NULL,3,6,7,0,NULL,NCAAF
263212309,2006,"Fri, Nov 17",Kent State Golden Flashes,Eastern Michigan Eagles,"6-5, 5-3 Conf","1-10, 1-6 Conf",14,6,NULL,NULL,Final,NULL,7,0,7,0,NULL,0,0,0,6,NULL,NCAAF
263282199,2006,"Fri, Nov 24",Eastern Michigan Eagles,Northern Illinois Huskies,"1-11, 1-7 Conf","7-5, 5-3 Conf",0,27,NULL,NULL,Final,NULL,0,0,0,0,NULL,7,14,3,3,NULL,NCAAF
