ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League,home_first_downs,away_first_downs,home_total_yards,away_total_yards,home_passing_yards,away_passing_yards,home_rushing_yards,away_rushing_yards,home_penalties,away_penalties,home_turnovers,away_turnovers,home_possession,away_possession,home_third_down_eff,away_third_down_eff,home_fourth_down_eff,away_fourth_down_eff,home_completions_attempts,away_completions_attempts,home_yards_per_pass,away_yards_per_pass,home_interceptions_thrown,away_interceptions_thrown,home_rushing_attempts,away_rushing_attempts,home_yards_per_rush,away_yards_per_rush,home_fumbles_lost,away_fumbles_lost,home_total_plays,away_total_plays,home_total_drives,away_total_drives,home_yards_per_play,away_yards_per_play,home_redzone_made_att,away_redzone_made_att,home_dst_touchdowns,away_dst_touchdowns,home_passing_first_downs,away_passing_first_downs,home_rushing_first_downs,away_rushing_first_downs,home_first_downs_from_penalties,away_first_downs_from_penalties,home_sacks_yards_lost,away_sacks_yards_lost
400548012,2014,"September 06, 2014",Florida Intl Golden Panthers,Wagner Seahawks,"1-1, 1-1 Home","1-1, 1-1 Away",34,3,,,Final,,14,13,0,7,,3,0,0,0,,NCAAF,19,9,377,212,229,120,148,92,9-70,8-80,3,2,39:23,29:50,6-15,1-11,0-0,0-0,23-34,11-23,6.7,5.2,0,2,34,36,4.4,2.6,3,0,,,,,,,,,,,,,,,,,,
400547782,2014,"September 20, 2014",Florida Intl Golden Panthers,Louisville Cardinals,"1-3, 1-3 Home","3-1, 1-1 Away",3,34,,,Final,FS1,0,3,0,0,,7,21,6,0,,NCAAF,12,16,205,336,117,324,88,12,6-60,7-36,3,2,30:57,29:03,3-16,5-17,0-1,2-3,13-26,20-36,4.5,9.0,2,0,40,35,2.2,0.3,1,2,,,,,,,,,,,,,,,,,,
400548039,2014,"October 02, 2014",Florida Intl Golden Panthers,Florida Atlantic Owls,"3-3, 2-0 Conf","2-4, 1-1 Conf",38,10,,,Final,,7,7,10,14,,3,7,0,0,,NCAAF,20,22,345,383,160,225,185,158,8-51,4-40,1,4,31:55,28:05,6-14,5-14,1-1,1-2,18-29,19-42,5.5,5.4,0,1,41,30,4.5,5.3,1,3,,,,,,,,,,,,,,,,,,
400548050,2014,"October 18, 2014",Florida Intl Golden Panthers,Marshall Thundering Herd,"3-5, 2-2 Conf","7-0, 3-0 Conf",13,45,,,Final,,7,0,0,6,,7,7,10,21,,NCAAF,23,18,385,457,208,214,177,243,8-88,9-65,2,1,38:09,21:51,10-20,6-12,0-0,0-0,18-32,15-27,6.5,7.9,2,1,53,26,3.3,9.3,0,0,,,,,,,,,,,,,,,,,,
400548067,2014,"November 08, 2014",Old Dominion Monarchs,Florida Intl Golden Panthers,"4-6, 2-4 Conf","3-7, 2-4 Conf",38,35,,,Final,,7,14,7,10,,7,3,17,8,,NCAAF,26,21,525,388,315,132,210,256,1-10,6-59,1,1,25:33,34:27,5-11,8-14,2-3,0-0,20-35,8-13,9.0,10.2,0,1,35,55,6.0,4.7,1,0,,,,,,,,,,,,,,,,,,
400548004,2014,"August 30, 2014",Florida Intl Golden Panthers,Bethune-Cookman Wildcats,"0-1, 0-1 Home","1-0, 1-0 Away",12,14,,,Final,,0,6,0,6,,0,7,0,7,,NCAAF,12,11,186,239,143,149,43,90,8-47,10-86,0,0,27:34,32:26,1-16,5-16,3-5,1-2,16-33,8-17,4.3,8.8,0,0,32,43,1.3,2.1,0,0,,,,,,,,,,,,,,,,,,
400547809,2014,"September 13, 2014",Florida Intl Golden Panthers,Pittsburgh Panthers,"1-2, 1-2 Home","3-0, 2-0 Away",25,42,,,Final,FS1,16,0,0,9,,0,14,12,16,,NCAAF,17,21,293,422,236,101,57,321,8-68,5-40,1,3,24:03,35:06,3-14,6-14,0-2,1-1,17-35,11-19,6.7,5.3,0,1,33,54,1.7,5.9,1,2,,,,,,,,,,,,,,,,,,
400548033,2014,"September 27, 2014",UAB Blazers,Florida Intl Golden Panthers,"2-2, 0-1 Conf","2-3, 1-0 Conf",20,34,,,Final,,7,6,0,7,,0,14,10,10,,NCAAF,21,9,380,297,196,204,184,93,5-40,10-65,6,0,29:58,30:02,7-18,4-17,1-3,0-0,18-35,9-24,5.6,8.5,4,0,47,37,3.9,2.5,2,0,,,,,,,,,,,,,,,,,,
400548045,2014,"October 11, 2014",UT San Antonio Roadrunners,Florida Intl Golden Panthers,"2-4, 1-1 Conf","3-4, 2-1 Conf",16,13,,,Final,,0,7,3,6,,0,10,0,3,,NCAAF,17,20,318,259,175,141,143,118,8-71,6-30,3,5,40:39,29:31,3-14,5-14,0-0,0-0,18-26,11-26,6.7,5.4,0,2,41,47,3.5,2.5,3,3,,,,,,,,,,,,,,,,,,
400548061,2014,"November 01, 2014",Florida Intl Golden Panthers,Rice Owls,"3-6, 2-3 Conf","5-3, 3-1 Conf",17,31,,,Final,,7,10,0,0,,17,7,0,7,,NCAAF,14,17,261,399,159,230,102,169,5-30,2-15,2,0,30:24,28:19,7-18,6-14,0-1,0-1,10-23,11-25,6.9,9.2,0,0,46,38,2.2,4.4,2,0,,,,,,,,,,,,,,,,,,
400548073,2014,"November 15, 2014",Florida Intl Golden Panthers,Middle Tennessee Blue Raiders,"4-7, 3-4 Conf","5-5, 4-2 Conf",38,28,,,Final,,3,14,21,0,,14,7,7,0,,NCAAF,17,22,375,428,231,286,144,142,3-25,7-70,1,5,30:20,29:40,5-14,7-14,1-1,1-2,17-24,21-33,9.6,8.7,0,3,40,45,3.6,3.2,1,2,,,,,,,,,,,,,,,,,,
400548079,2014,"November 22, 2014",North Texas Mean Green,Florida Intl Golden Panthers,"4-7, 2-5 Conf","4-8, 3-5 Conf",17,14,,,Final,,14,0,3,0,,7,7,0,0,,NCAAF,16,12,266,147,105,56,161,91,2-30,7-80,2,3,31:31,28:25,5-15,2-13,0-0,0-0,9-20,11-25,5.3,2.2,2,3,44,30,3.7,3.0,0,0,,,,,,,,,,,,,,,,,,
