ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
212510052,2001,"Sat, Sep 8",Florida State Seminoles,UAB Blazers,"2-0, 1-0 Conf","1-1, 0-0 Conf",29,7,NULL,NULL,Final,NULL,3,10,13,3,NULL,0,0,7,0,NULL,NCAAF
212650153,2001,"Sat, Sep 22",North Carolina Tar Heels,Florida State Seminoles,"1-3, 1-1 Conf","2-1, 1-1 Conf",41,9,NULL,NULL,Final,NULL,7,0,13,21,NULL,0,9,0,0,NULL,NCAAF
212860052,2001,"Sat, Oct 13",Florida State Seminoles,Miami Hurricanes,"3-2, 2-1 Home","5-0, 3-0 Away",27,49,NULL,NULL,Final,NULL,0,13,7,7,NULL,14,7,28,0,NULL,NCAAF
213000052,2001,"Sat, Oct 27",Florida State Seminoles,Maryland Terrapins,"5-2, 4-1 Conf","7-1, 5-1 Conf",52,31,NULL,NULL,Final,NULL,0,21,10,21,NULL,7,10,14,0,NULL,NCAAF
213140052,2001,"Sat, Nov 10",Florida State Seminoles,NC State Wolfpack,"6-3, 5-2 Conf","6-3, 4-3 Conf",28,34,NULL,NULL,Final,NULL,14,0,7,7,NULL,7,17,0,10,NULL,NCAAF
212440150,2001,"Sat, Sep 1",Duke Blue Devils,Florida State Seminoles,"0-1, 0-1 Conf","1-0, 1-0 Conf",13,55,NULL,NULL,Final,NULL,6,0,7,0,NULL,0,31,14,10,NULL,NCAAF
212720052,2001,"Sat, Sep 29",Florida State Seminoles,Wake Forest Demon Deacons,"3-1, 2-1 Conf","2-2, 0-2 Conf",48,24,NULL,NULL,Final,NULL,14,28,6,0,NULL,7,7,0,10,NULL,NCAAF
212930258,2001,"Sat, Oct 20",Virginia Cavaliers,Florida State Seminoles,"3-4, 2-3 Conf","4-2, 3-1 Conf",7,43,NULL,NULL,Final,NULL,7,0,0,0,NULL,7,3,16,17,NULL,NCAAF
213070228,2001,"Sat, Nov 3",Clemson Tigers,Florida State Seminoles,"5-3, 3-3 Conf","6-2, 5-1 Conf",27,41,NULL,NULL,Final,NULL,0,10,7,10,NULL,10,17,7,7,NULL,NCAAF
213210057,2001,"Sat, Nov 17",Florida Gators,Florida State Seminoles,"9-1, 6-0 Home","6-4, 3-2 Away",37,13,NULL,NULL,Final,NULL,7,13,7,10,NULL,0,3,3,7,NULL,NCAAF
213350052,2001,"Sat, Dec 1",Florida State Seminoles,Georgia Tech Yellow Jackets,"7-4, 6-2 Conf","7-5, 4-4 Conf",28,17,NULL,NULL,Final,NULL,0,7,14,7,NULL,0,10,0,7,NULL,NCAAF
220010259,2001,"Tue, Jan 1",Virginia Tech Hokies,Florida State Seminoles,"8-4, 4-3 Home","8-4, 4-2 Away",17,30,NULL,NULL,Final,NULL,3,0,14,0,NULL,0,10,3,17,NULL,NCAAF
