ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League,home_first_downs,away_first_downs,home_total_yards,away_total_yards,home_passing_yards,away_passing_yards,home_rushing_yards,away_rushing_yards,home_penalties,away_penalties,home_turnovers,away_turnovers,home_possession,away_possession,home_third_down_eff,away_third_down_eff,home_fourth_down_eff,away_fourth_down_eff,home_completions_attempts,away_completions_attempts,home_yards_per_pass,away_yards_per_pass,home_interceptions_thrown,away_interceptions_thrown,home_rushing_attempts,away_rushing_attempts,home_yards_per_rush,away_yards_per_rush,home_fumbles_lost,away_fumbles_lost,home_total_plays,away_total_plays,home_total_drives,away_total_drives,home_yards_per_play,away_yards_per_play,home_redzone_made_att,away_redzone_made_att,home_dst_touchdowns,away_dst_touchdowns,home_passing_first_downs,away_passing_first_downs,home_rushing_first_downs,away_rushing_first_downs,home_first_downs_from_penalties,away_first_downs_from_penalties,home_sacks_yards_lost,away_sacks_yards_lost
400937455,2017,"September 09, 2017",Georgia Tech Yellow Jackets,Jacksonville State Gamecocks,"1-1, 1-0 Home","1-1, 0-1 Away",37,10,,,Final,ACCNX,3,7,20,7,,0,7,3,0,,NCAAF,17,14,322,189,112,73,210,116,8-70,5-53,0,3,31:33,28:27,5-12,3-9,0-1,0-0,5-7,8-14,16.0,5.2,0,2,49,38,4.3,3.1,0,1,,,,,,,,,,,,,,,,,,
400937473,2017,"September 23, 2017",Georgia Tech Yellow Jackets,Pittsburgh Panthers,"2-1, 1-0 Conf","1-3, 0-1 Conf",35,17,,,Final,ACCNX,7,14,7,7,,7,10,0,0,,NCAAF,25,11,484,235,48,198,436,37,4-18,3-26,4,1,35:02,24:58,6-14,1-13,1-1,2-3,4-7,22-35,6.9,5.7,0,0,67,20,6.5,1.9,4,1,,,,,,,,,,,,,,,,,,
400937501,2017,"October 21, 2017",Georgia Tech Yellow Jackets,Wake Forest Demon Deacons,"4-2, 3-1 Conf","4-3, 1-3 Conf",38,24,,,Final,ESPNU,3,10,12,13,,7,14,3,0,,NCAAF,29,20,495,362,68,252,427,110,5-45,4-40,0,1,35:58,24:02,9-15,4-11,0-2,0-3,5-11,17-30,6.2,8.4,0,1,66,31,6.5,3.5,0,0,,,,,,,,,,,,,,,,,,
400937512,2017,"November 04, 2017",Virginia Cavaliers,Georgia Tech Yellow Jackets,"6-3, 3-2 Conf","4-4, 3-3 Conf",40,36,,,Final,ACCNX,3,10,15,12,,7,7,14,8,,NCAAF,15,16,357,399,260,179,97,220,4-25,6-45,2,2,26:51,33:09,4-17,6-17,0-0,1-2,21-43,6-22,6.0,8.1,1,2,25,52,3.9,4.2,1,0,,,,,,,,,,,,,,,,,,
400937522,2017,"November 18, 2017",Duke Blue Devils,Georgia Tech Yellow Jackets,"5-6, 2-5 Conf","5-5, 4-4 Conf",43,20,,,Final,ACCNX,3,17,10,13,,7,13,0,0,,NCAAF,30,15,500,359,181,82,319,277,1-15,5-63,0,1,32:04,27:56,5-12,6-12,2-2,0-2,19-28,3-14,6.5,5.9,0,1,51,47,6.3,5.9,0,0,,,,,,,,,,,,,,,,,,
400933840,2017,"September 04, 2017",Georgia Tech Yellow Jackets,Tennessee Volunteers,0-1,1-0,41,42,,,Final/2OT,ESPN,7,7,7,7,13.0,0,7,7,14,14.0,NCAAF,33,18,655,369,120,221,535,148,4-37,2-20,2,0,41:27,18:33,13-18,5-12,0-0,0-1,5-10,20-37,12.0,6.0,0,0,86,22,6.2,6.7,2,0,,,,,,,,,,,,,,,,,,
400937483,2017,"September 30, 2017",Georgia Tech Yellow Jackets,North Carolina Tar Heels,"3-1, 2-0 Conf","1-4, 0-3 Conf",33,7,,,Final,ESPN2,7,3,14,9,,0,0,0,7,,NCAAF,22,11,456,247,53,141,403,106,1-5,6-60,2,2,38:35,21:25,8-16,2-12,3-3,3-3,5-10,18-32,5.3,4.4,0,2,66,26,6.1,4.1,2,0,,,,,,,,,,,,,,,,,,
400981508,2017,"October 14, 2017",Miami Hurricanes,Georgia Tech Yellow Jackets,"5-0, 3-0 Conf","3-2, 2-1 Conf",25,24,,,Final,ABC,3,10,3,9,,7,7,10,0,,NCAAF,24,16,481,281,297,55,184,226,6-45,1-6,0,1,27:15,32:45,2-12,4-13,1-1,1-2,23-38,3-8,7.8,6.9,0,0,36,53,5.1,4.3,0,1,,,,,,,,,,,,,,,,,,
400937505,2017,"October 28, 2017",Clemson Tigers,Georgia Tech Yellow Jackets,"7-1, 5-1 Conf","4-3, 3-2 Conf",24,10,,,Final,ABC/ESPN2,14,7,3,0,,3,0,0,7,,NCAAF,21,10,428,230,207,32,221,198,5-45,2-20,1,1,31:15,28:45,7-17,3-15,0-0,1-2,22-33,3-13,6.3,2.5,0,0,45,43,4.9,4.6,1,1,,,,,,,,,,,,,,,,,,
400937517,2017,"November 11, 2017",Georgia Tech Yellow Jackets,Virginia Tech Hokies,"5-4, 4-3 Conf","7-3, 3-3 Conf",28,22,,,Final,ACCNX,7,7,7,7,,3,6,7,6,,NCAAF,19,14,401,258,140,153,261,105,5-45,4-42,1,0,33:46,26:14,4-11,4-15,1-3,2-4,2-8,14-26,17.5,5.9,1,0,57,36,4.6,2.9,0,0,,,,,,,,,,,,,,,,,,
