ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
332502294,2013,"September 07, 2013",Iowa Hawkeyes,Missouri State Bears,"1-1, 1-1 Home","0-2, 0-1 Away",28,14,,,Final,BTN,7,0,14,7,,0,0,0,14,,NCAAF
332642294,2013,"September 21, 2013",Iowa Hawkeyes,Western Michigan Broncos,"3-1, 2-1 Home","0-4, 0-3 Away",59,3,,,Final,BTN,10,28,14,7,,0,3,0,0,,NCAAF
332782294,2013,"October 05, 2013",Iowa Hawkeyes,Michigan State Spartans,"4-2, 1-1 Conf","4-1, 1-0 Conf",14,26,,,Final,ESPN2,0,14,0,0,,0,10,10,6,,NCAAF
332992294,2013,"October 26, 2013",Iowa Hawkeyes,Northwestern Wildcats,"5-3, 2-2 Conf","4-4, 0-4 Conf",17,10,,,Final/OT,BTN,7,3,0,0,7.0,0,0,7,3,0.0,NCAAF
333132509,2013,"November 09, 2013",Purdue Boilermakers,Iowa Hawkeyes,"1-8, 0-5 Conf","6-4, 3-3 Conf",14,38,,,Final,BTN,0,7,0,7,,0,14,7,17,,NCAAF
332432294,2013,"August 31, 2013",Iowa Hawkeyes,Northern Illinois Huskies,"0-1, 0-1 Home","1-0, 1-0 Away",27,30,,,Final,BTN,7,17,0,3,,10,7,3,10,,NCAAF
332570066,2013,"September 14, 2013",Iowa State Cyclones,Iowa Hawkeyes,"0-2, 0-2 Home","2-1, 1-0 Away",21,27,,,Final,FS1,0,0,7,14,,0,13,7,7,,NCAAF
332710135,2013,"September 28, 2013",Minnesota Golden Gophers,Iowa Hawkeyes,"4-1, 0-1 Conf","4-1, 1-0 Conf",7,23,,,Final,ABC/ESPN2,0,0,7,0,,3,14,3,3,,NCAAF
332920194,2013,"October 19, 2013",Ohio State Buckeyes,Iowa Hawkeyes,"7-0, 3-0 Conf","4-3, 1-2 Conf",34,24,,,Final,ABC/ESPN2,3,7,14,10,,10,7,7,0,,NCAAF
333062294,2013,"November 02, 2013",Iowa Hawkeyes,Wisconsin Badgers,"5-4, 2-3 Conf","6-2, 4-1 Conf",9,28,,,Final,ABC/ESPN2,3,3,3,0,,0,7,7,14,,NCAAF
333272294,2013,"November 23, 2013",Iowa Hawkeyes,Michigan Wolverines,"7-4, 4-3 Conf","7-4, 3-4 Conf",24,21,,,Final,BTN,7,0,7,10,,7,14,0,0,,NCAAF
333330158,2013,"November 29, 2013",Nebraska Cornhuskers,Iowa Hawkeyes,"8-4, 5-3 Conf","8-4, 5-3 Conf",17,38,,,Final,ABC,0,3,7,7,,7,7,10,14,,NCAAF
340010099,2013,"January 01, 2014",LSU Tigers,Iowa Hawkeyes,10-3,8-5,21,14,,,Final,ESPN,7,7,0,7,,0,0,7,7,,NCAAF
