ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
282500066,2008,"September 06, 2008",Iowa State Cyclones,Kent State Golden Flashes,"2-0, 2-0 Home","0-2, 0-1 Away",48,28,,,Final,,21,7,10,10,,7,14,0,7,,NCAAF
282642439,2008,"September 20, 2008",Unlv Rebels,Iowa State Cyclones,"3-1, 2-0 Home","2-2, 0-2 Away",34,31,,,Final/OT,,14,7,7,0,6.0,0,0,14,14,3.0,NCAAF
282850239,2008,"October 11, 2008",Baylor Bears,Iowa State Cyclones,"3-3, 1-1 Conf","2-4, 0-2 Conf",38,10,,,Final,,7,14,10,7,,0,3,0,7,,NCAAF
282990066,2008,"October 25, 2008",Iowa State Cyclones,Texas A&M Aggies,"2-6, 0-4 Conf","3-5, 1-3 Conf",35,49,,,Final,,7,10,3,15,,7,21,7,14,,NCAAF
283130038,2008,"November 08, 2008",Colorado Buffaloes,Iowa State Cyclones,"5-5, 2-4 Conf","2-8, 0-6 Conf",28,24,,,Final,,0,0,13,15,,3,7,7,7,,NCAAF
282410066,2008,"August 28, 2008",Iowa State Cyclones,South Dakota State Jackrabbits,"1-0, 1-0 Home","0-1, 0-1 Away",44,17,,,Final,,10,10,14,10,,0,0,3,14,,NCAAF
282572294,2008,"September 13, 2008",Iowa Hawkeyes,Iowa State Cyclones,"3-0, 3-0 Home","2-1, 0-1 Away",17,5,,,Final,BTN,3,0,0,14,,0,0,3,2,,NCAAF
282780066,2008,"October 04, 2008",Iowa State Cyclones,Kansas Jayhawks,"2-3, 0-1 Conf","4-1, 1-0 Conf",33,35,,,Final,,14,6,0,13,,0,0,21,14,,NCAAF
282920066,2008,"October 18, 2008",Iowa State Cyclones,Nebraska Cornhuskers,"2-5, 0-3 Conf","4-3, 1-2 Conf",7,35,,,Final,,0,0,7,0,,7,14,0,14,,NCAAF
283060197,2008,"November 01, 2008",Oklahoma State Cowboys,Iowa State Cyclones,"8-1, 4-1 Conf","2-7, 0-5 Conf",59,17,,,Final,ABC,14,14,24,7,,7,3,0,7,,NCAAF
283200066,2008,"November 15, 2008",Iowa State Cyclones,Missouri Tigers,"2-9, 0-7 Conf","9-2, 5-2 Conf",20,52,,,Final,,0,7,6,7,,7,24,7,14,,NCAAF
283272306,2008,"November 22, 2008",Kansas State Wildcats,Iowa State Cyclones,"5-7, 2-6 Conf","2-10, 0-8 Conf",38,30,,,Final,,7,21,7,3,,7,10,0,13,,NCAAF
