ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League,home_first_downs,away_first_downs,home_total_yards,away_total_yards,home_passing_yards,away_passing_yards,home_rushing_yards,away_rushing_yards,home_penalties,away_penalties,home_turnovers,away_turnovers,home_possession,away_possession,home_third_down_eff,away_third_down_eff,home_fourth_down_eff,away_fourth_down_eff,home_completions_attempts,away_completions_attempts,home_yards_per_pass,away_yards_per_pass,home_interceptions_thrown,away_interceptions_thrown,home_rushing_attempts,away_rushing_attempts,home_yards_per_rush,away_yards_per_rush,home_fumbles_lost,away_fumbles_lost,home_total_plays,away_total_plays,home_total_drives,away_total_drives,home_yards_per_play,away_yards_per_play,home_redzone_made_att,away_redzone_made_att,home_dst_touchdowns,away_dst_touchdowns,home_passing_first_downs,away_passing_first_downs,home_rushing_first_downs,away_rushing_first_downs,home_first_downs_from_penalties,away_first_downs_from_penalties,home_sacks_yards_lost,away_sacks_yards_lost
292552638,2009,"September 12, 2009",UTEP Miners,Kansas Jayhawks,"0-2, 0-2 Home","2-0, 1-0 Away",7,34,,,Final,,0,0,0,7,,3,17,7,7,,NCAAF,7,26,208,576,243,329,4,255,13-137,5-41,1,2,15:27,21:13,1-11,9-18,0-0,0-0,17-29,27-43,7.0,7.5,1,1,20,42,0.2,6.1,0,1,,,,,,,,,,,,,,,,,,
292692305,2009,"September 26, 2009",Kansas Jayhawks,Southern Mississippi Golden Eagles,"4-0, 3-0 Home","3-1, 0-1 Away",35,28,,,Final,,14,7,7,7,,7,7,14,0,,NCAAF,32,21,433,395,393,341,102,64,10-54,6-56,2,2,21:51,14:29,7-15,6-14,2-2,0-2,30-42,28-42,7.9,7.9,1,1,45,26,2.3,2.5,1,1,,,,,,,,,,,,,,,,,,
292900038,2009,"October 17, 2009",Colorado Buffaloes,Kansas Jayhawks,"2-4, 1-1 Conf","5-1, 1-1 Conf",34,30,,,Final,,0,24,3,7,,3,7,13,7,,NCAAF,21,23,322,423,205,481,147,-8,8-60,7-55,3,2,19:06,17:30,8-15,5-17,0-0,1-2,14-25,32-54,7.0,8.0,1,1,43,22,3.4,-0.4,2,1,,,,,,,,,,,,,,,,,,
293042641,2009,"October 31, 2009",Texas Tech Red Raiders,Kansas Jayhawks,"6-3, 3-2 Conf","5-3, 1-3 Conf",42,21,,,Final,ABC,0,14,0,28,,7,7,7,0,,NCAAF,20,19,358,258,299,237,105,71,8-115,4-24,3,4,17:08,26:44,9-19,3-14,2-2,0-1,25-47,21-37,5.4,5.1,1,0,32,33,3.3,2.2,2,4,,,,,,,,,,,,,,,,,,
293182305,2009,"November 14, 2009",Kansas Jayhawks,Nebraska Cornhuskers,"5-5, 1-5 Conf","7-3, 4-2 Conf",17,31,,,Final,ABC,0,10,0,7,,7,3,3,18,,NCAAF,21,18,335,410,245,204,99,214,4-50,5-55,1,0,17:14,19:09,6-16,7-16,2-2,0-0,19-41,13-21,5.8,9.3,0,0,29,42,3.4,5.1,1,0,,,,,,,,,,,,,,,,,,
292482305,2009,"September 05, 2009",Kansas Jayhawks,Northern Colorado Bears,"1-0, 1-0 Home","0-1, 0-1 Away",49,3,,,Final,,7,21,0,21,,0,0,3,0,,NCAAF,25,17,547,246,219,194,328,74,5-68,5-41,0,2,19:21,17:14,8-12,5-14,2-2,0-0,15-22,20-31,10.0,5.5,0,0,47,25,7.0,3.0,0,2,,,,,,,,,,,,,,,,,,
292622305,2009,"September 19, 2009",Kansas Jayhawks,Duke Blue Devils,"3-0, 2-0 Home","1-2, 1-1 Away",44,16,,,Final,,7,13,17,7,,7,0,3,6,,NCAAF,23,22,490,394,339,340,152,95,5-40,4-45,0,2,17:12,18:41,7-15,4-18,1-2,2-5,28-41,30-50,8.2,6.0,0,2,31,33,4.9,2.9,0,0,,,,,,,,,,,,,,,,,,
292832305,2009,"October 10, 2009",Kansas Jayhawks,Iowa State Cyclones,"5-0, 1-0 Conf","3-3, 0-2 Conf",41,36,,,Final,,6,14,7,14,,6,6,18,6,,NCAAF,34,26,551,512,442,295,109,219,3-15,1-6,1,0,17:55,18:10,4-9,8-16,1-1,2-4,37-49,25-41,9.0,7.1,1,0,31,43,3.5,5.1,0,0,,,,,,,,,,,,,,,,,,
292972305,2009,"October 24, 2009",Kansas Jayhawks,Oklahoma Sooners,"5-2, 1-2 Conf","4-3, 2-1 Conf",13,35,,,Final,ABC,0,6,0,7,,7,7,14,7,,NCAAF,18,20,305,337,245,252,81,85,8-84,5-45,3,2,20:13,16:33,7-17,6-15,0-0,1-2,22-42,26-38,5.3,6.6,3,1,31,31,2.6,2.7,0,1,,,,,,,,,,,,,,,,,,
293112306,2009,"November 07, 2009",Kansas State Wildcats,Kansas Jayhawks,"6-4, 4-2 Conf","5-4, 1-4 Conf",17,10,,,Final,,0,10,7,0,,0,7,0,3,,NCAAF,16,19,332,301,74,258,266,60,5-55,6-43,0,3,18:10,18:30,3-11,6-14,1-2,2-2,7-16,27-41,4.1,5.9,0,1,43,23,6.2,2.6,0,2,,,,,,,,,,,,,,,,,,
293250251,2009,"November 21, 2009",Texas Longhorns,Kansas Jayhawks,"11-0, 7-0 Conf","5-6, 1-6 Conf",51,20,,,Final,ABC,7,20,7,17,,0,6,7,7,,NCAAF,29,16,532,303,407,299,136,47,2-10,4-30,1,1,19:19,16:11,9-15,5-14,1-2,0-1,32-42,25-39,9.4,6.6,0,1,40,26,3.4,1.8,1,0,,,,,,,,,,,,,,,,,,
293322305,2009,"November 28, 2009",Kansas Jayhawks,Missouri Tigers,"5-7, 1-7 Conf","8-4, 4-4 Conf",39,41,,,Final,ABC,14,7,7,11,,3,10,20,8,,NCAAF,25,25,547,553,522,312,49,250,10-67,10-106,3,1,17:58,17:53,9-15,5-14,0-0,1-1,37-55,23-41,9.1,7.4,1,0,19,35,2.6,7.1,2,1,,,,,,,,,,,,,,,,,,
