ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
400547753,2014,"September 13, 2014",Duke Blue Devils,Kansas Jayhawks,"3-0, 2-0 Home","1-1, 0-1 Away",41,3,,,Final,,17,3,14,7,,3,0,0,0,,NCAAF
400547862,2014,"September 27, 2014",Kansas Jayhawks,Texas Longhorns,"2-2, 0-1 Conf","2-2, 1-0 Conf",0,23,,,Final,FS1,0,0,0,0,,6,7,0,10,,NCAAF
400547871,2014,"October 11, 2014",Kansas Jayhawks,Oklahoma State Cowboys,"2-4, 0-3 Conf","5-1, 3-0 Conf",20,27,,,Final,FS1,7,0,3,10,,10,10,0,7,,NCAAF
400547884,2014,"November 01, 2014",Baylor Bears,Kansas Jayhawks,"7-1, 4-1 Conf","2-6, 0-5 Conf",60,14,,,Final,FS1,20,19,14,7,,7,0,7,0,,NCAAF
400547892,2014,"November 15, 2014",Kansas Jayhawks,TCU Horned Frogs,"3-7, 1-6 Conf","9-1, 6-1 Conf",30,34,,,Final,FS1,6,7,14,3,,7,3,21,3,,NCAAF
400547847,2014,"September 06, 2014",Kansas Jayhawks,Southeast Missouri State Redhawks,"1-0, 1-0 Home","1-1, 0-1 Away",34,28,,,Final,,24,0,10,0,,0,0,7,21,,NCAAF
400547857,2014,"September 20, 2014",Kansas Jayhawks,Central Michigan Chippewas,"2-1, 2-0 Home","2-2, 1-1 Away",24,10,,,Final,,7,0,3,14,,0,3,7,0,,NCAAF
400547866,2014,"October 04, 2014",West Virginia Mountaineers,Kansas Jayhawks,"3-2, 1-1 Conf","2-3, 0-2 Conf",33,14,,,Final,,16,10,7,0,,0,0,7,7,,NCAAF
400547873,2014,"October 18, 2014",Texas Tech Red Raiders,Kansas Jayhawks,"3-4, 1-3 Conf","2-5, 0-4 Conf",34,21,,,Final,,10,7,10,7,,0,7,14,0,,NCAAF
400547887,2014,"November 08, 2014",Kansas Jayhawks,Iowa State Cyclones,"3-6, 1-5 Conf","2-7, 0-6 Conf",34,14,,,Final,,17,7,7,3,,0,7,7,0,,NCAAF
400547894,2014,"November 22, 2014",Oklahoma Sooners,Kansas Jayhawks,"8-3, 5-3 Conf","3-8, 1-7 Conf",44,7,,,Final,FS1,10,14,17,3,,0,0,7,0,,NCAAF
400547900,2014,"November 29, 2014",Kansas State Wildcats,Kansas Jayhawks,"9-2, 7-1 Conf","3-9, 1-8 Conf",51,13,,,Final,FS1,17,14,14,6,,0,6,7,0,,NCAAF
