ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
282502335,2008,"September 06, 2008",Liberty Flames,Glenville State Pioneers,"2-0, 2-0 Home",,44,27,,,Final,,20,14,3,7,,7,0,0,20,,NCAAF
282712754,2008,"September 27, 2008",Youngstown State Penguins,Liberty Flames,"2-3, 2-1 Home","4-0, 2-0 Away",28,31,,,Final,,7,7,0,14,,0,14,14,3,,NCAAF
282852335,2008,"October 11, 2008",Liberty Flames,Stony Brook Seawolves,"6-0, 2-0 Conf","1-5, 0-1 Conf",33,0,,,Final,,10,7,13,3,,0,0,0,0,,NCAAF
282992335,2008,"October 25, 2008",Liberty Flames,Charleston Southern Buccaneers,"7-1, 3-0 Conf","3-5, 1-2 Conf",42,0,,,Final,,14,21,0,7,,0,0,0,0,,NCAAF
283132678,2008,"November 08, 2008",VMI Keydets,Liberty Flames,"3-6, 1-3 Conf","8-2, 4-0 Conf",26,38,,,Final,,3,9,7,7,,14,7,7,10,,NCAAF
282432335,2008,"August 30, 2008",Liberty Flames,North Greenville Crusaders,"1-0, 1-0 Home",,49,10,,,Final,,14,14,14,7,,0,3,7,0,,NCAAF
282572717,2008,"September 13, 2008",Western Carolina Catamounts,Liberty Flames,"1-2, 1-1 Home","3-0, 1-0 Away",16,19,,,Final,,7,0,0,9,,3,3,13,0,,NCAAF
282780324,2008,"October 04, 2008",Coastal Carolina Chanticleers,Liberty Flames,"3-3, 0-1 Conf","5-0, 1-0 Conf",38,43,,,Final,,7,7,10,14,,10,14,10,9,,NCAAF
282922335,2008,"October 18, 2008",Liberty Flames,Lafayette Leopards,"6-1, 3-1 Home","5-1, 3-0 Away",21,35,,,Final,,7,7,0,7,,14,14,7,0,,NCAAF
283062506,2008,"November 01, 2008",Presbyterian College Blue Hose,Liberty Flames,"4-5, 4-1 Home","7-2, 3-1 Away",31,28,,,Final,,7,7,14,3,,14,0,14,0,,NCAAF
283202335,2008,"November 15, 2008",Liberty Flames,Gardner-Webb Bulldogs,"9-2, 5-0 Conf","5-6, 2-3 Conf",30,10,,,Final,,3,21,3,3,,0,3,0,7,,NCAAF
283272335,2008,"November 22, 2008",Liberty Flames,Elon Phoenix,"10-2, 6-1 Home","8-4, 4-2 Away",26,3,,,Final,,3,10,3,10,,0,3,0,0,,NCAAF
