ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League,home_first_downs,away_first_downs,home_total_yards,away_total_yards,home_passing_yards,away_passing_yards,home_rushing_yards,away_rushing_yards,home_penalties,away_penalties,home_turnovers,away_turnovers,home_possession,away_possession,home_third_down_eff,away_third_down_eff,home_fourth_down_eff,away_fourth_down_eff,home_completions_attempts,away_completions_attempts,home_yards_per_pass,away_yards_per_pass,home_interceptions_thrown,away_interceptions_thrown,home_rushing_attempts,away_rushing_attempts,home_yards_per_rush,away_yards_per_rush,home_fumbles_lost,away_fumbles_lost,home_total_plays,away_total_plays,home_total_drives,away_total_drives,home_yards_per_play,away_yards_per_play,home_redzone_made_att,away_redzone_made_att,home_dst_touchdowns,away_dst_touchdowns,home_passing_first_downs,away_passing_first_downs,home_rushing_first_downs,away_rushing_first_downs,home_first_downs_from_penalties,away_first_downs_from_penalties,home_sacks_yards_lost,away_sacks_yards_lost
400787416,2015,"September 12, 2015",Louisiana Ragin' Cajuns,Northwestern State Demons,"1-1, 1-0 Home","0-2, 0-1 Away",44,17,,,Final,ESPN3,14,13,7,10,,0,10,7,0,,NCAAF,21,21,547,369,187,135,360,234,5-35,5-44,0,0,25:21,34:39,6-9,8-17,0-0,2-5,7-9,9-16,20.8,8.4,0,0,42,55,8.6,4.3,0,0,,,,,,,,,,,,,,,,,,
400763615,2015,"October 03, 2015",Louisiana Tech Bulldogs,Louisiana Ragin' Cajuns,"3-2, 3-0 Home","1-3, 0-2 Away",43,14,,,Final,,7,22,7,7,,7,0,7,0,,NCAAF,27,18,428,331,290,182,138,149,8-76,8-91,1,3,32:59,27:01,6-13,5-13,0-0,0-1,20-33,19-37,8.8,4.9,0,2,35,27,3.9,5.5,1,1,,,,,,,,,,,,,,,,,,
400787454,2015,"October 20, 2015",Arkansas State Red Wolves,Louisiana Ragin' Cajuns,"4-3, 3-0 Conf","2-4, 1-1 Conf",37,27,,,Final,ESPN2,13,21,3,0,,0,14,7,6,,NCAAF,22,22,435,485,129,253,306,232,3-20,3-32,1,2,30:49,29:11,5-13,6-17,0-0,2-4,9-20,17-44,6.5,5.8,1,2,52,34,5.9,6.8,0,0,,,,,,,,,,,,,,,,,,
400787465,2015,"November 07, 2015",Georgia State Panthers,Louisiana Ragin' Cajuns,"2-6, 1-3 Conf","4-4, 3-1 Conf",21,23,,,Final,ESPN3,7,7,7,0,,17,0,3,3,,NCAAF,21,19,390,307,312,162,78,145,4-50,12-126,1,1,28:35,31:25,7-15,3-14,0-1,1-1,23-39,18-27,8.0,6.0,1,1,29,41,2.7,3.5,0,0,,,,,,,,,,,,,,,,,,
400787476,2015,"November 21, 2015",Louisiana Ragin' Cajuns,New Mexico State Aggies,"4-6, 3-3 Conf","3-7, 3-3 Conf",34,37,,,Final,ESPN3,7,10,3,14,,3,17,7,10,,NCAAF,23,27,475,498,285,261,190,237,6-79,3-30,1,0,31:29,28:31,5-15,7-19,0-1,2-3,25-38,16-42,7.5,6.2,1,0,36,46,5.3,5.2,0,0,,,,,,,,,,,,,,,,,,
400603832,2015,"September 05, 2015",Kentucky Wildcats,Louisiana Ragin' Cajuns,"1-0, 1-0 Home","0-1, 0-1 Away",40,33,,,Final,ESPNU,14,10,9,7,,0,7,10,16,,NCAAF,18,27,435,479,257,232,178,247,4-54,7-70,1,4,22:55,37:05,5-14,7-19,1-1,3-4,16-34,26-41,7.6,5.7,1,2,26,47,6.8,5.3,0,2,,,,,,,,,,,,,,,,,,
400787313,2015,"September 26, 2015",Louisiana Ragin' Cajuns,Akron Zips,"1-2, 1-1 Home","2-2, 1-1 Away",14,35,,,Final,ESPN3,0,7,0,7,,7,7,14,7,,NCAAF,18,22,285,458,173,238,112,220,11-126,11-92,4,1,26:30,33:30,5-12,9-18,1-2,0-1,19-37,13-29,4.7,8.2,2,1,28,42,4.0,5.2,2,0,,,,,,,,,,,,,,,,,,
400787449,2015,"October 10, 2015",Louisiana Ragin' Cajuns,Texas State Bobcats,"2-3, 1-0 Conf","1-4, 0-1 Conf",49,27,,,Final,ESPN3,7,7,28,7,,7,7,7,6,,NCAAF,27,16,526,351,238,178,288,173,6-50,9-71,0,1,34:32,25:28,9-15,4-15,0-2,3-4,22-30,13-33,7.9,5.4,0,0,52,37,5.5,4.7,0,1,,,,,,,,,,,,,,,,,,
400787463,2015,"October 31, 2015",Louisiana Ragin' Cajuns,Louisiana Monroe Warhawks,"3-4, 2-1 Conf","1-7, 0-4 Conf",30,24,,,Final,ESPN3,3,6,7,14,,14,10,0,0,,NCAAF,15,15,261,341,109,265,152,76,3-27,5-45,0,2,31:47,28:13,2-14,6-18,1-1,3-3,9-21,16-35,5.2,7.6,0,0,44,34,3.5,2.2,0,2,,,,,,,,,,,,,,,,,,
400787469,2015,"November 12, 2015",South Alabama Jaguars,Louisiana Ragin' Cajuns,"5-4, 3-2 Conf","4-5, 3-2 Conf",32,25,,,Final,ESPNU,7,10,0,15,,6,0,7,12,,NCAAF,26,18,495,313,288,270,207,43,7-59,8-57,1,1,32:12,27:48,8-17,5-12,1-1,0-1,18-31,21-34,9.3,7.9,1,1,52,24,4.0,1.8,0,0,,,,,,,,,,,,,,,,,,
