ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League,home_first_downs,away_first_downs,home_total_yards,away_total_yards,home_passing_yards,away_passing_yards,home_rushing_yards,away_rushing_yards,home_penalties,away_penalties,home_turnovers,away_turnovers,home_possession,away_possession,home_third_down_eff,away_third_down_eff,home_fourth_down_eff,away_fourth_down_eff,home_completions_attempts,away_completions_attempts,home_yards_per_pass,away_yards_per_pass,home_interceptions_thrown,away_interceptions_thrown,home_rushing_attempts,away_rushing_attempts,home_yards_per_rush,away_yards_per_rush,home_fumbles_lost,away_fumbles_lost,home_total_plays,away_total_plays,home_total_drives,away_total_drives,home_yards_per_play,away_yards_per_play,home_redzone_made_att,away_redzone_made_att,home_dst_touchdowns,away_dst_touchdowns,home_passing_first_downs,away_passing_first_downs,home_rushing_first_downs,away_rushing_first_downs,home_first_downs_from_penalties,away_first_downs_from_penalties,home_sacks_yards_lost,away_sacks_yards_lost
312530127,2011,"September 10, 2011",Michigan State Spartans,Florida Atlantic Owls,"2-0, 2-0 Home","0-2, 0-2 Away",44,0,,,Final,ESPN2,14,13,7,10,,0,0,0,0,,NCAAF,27,1,434,48,257,51,188,22,3-20,5-55,0,1,25:39,10:26,8-18,0-10,3-3,0-0,22-32,6-13,7.7,2.0,0,0,51,20,3.7,1.1,0,1,,,,,,,,,,,,,,,,,,
312670127,2011,"September 24, 2011",Michigan State Spartans,Central Michigan Chippewas,"3-1, 3-0 Home","1-3, 0-3 Away",45,7,,,Final,ESPNU,7,24,7,7,,0,0,7,0,,NCAAF,23,8,481,112,284,95,197,21,4-20,3-26,1,4,23:19,13:05,6-15,2-12,1-2,0-1,20-30,12-33,9.5,2.8,1,4,47,18,4.2,1.2,0,0,,,,,,,,,,,,,,,,,,
312880127,2011,"October 15, 2011",Michigan State Spartans,Michigan Wolverines,"5-1, 2-0 Conf","6-1, 2-1 Conf",28,14,,,Final,ESPN,7,0,14,7,,7,0,0,7,,NCAAF,16,20,333,250,120,230,213,82,13-124,5-40,2,1,18:19,17:55,7-14,3-15,0-0,2-4,13-24,12-31,5.0,5.4,0,1,39,36,5.5,2.3,2,0,,,,,,,,,,,,,,,,,,
313020158,2011,"October 29, 2011",Nebraska Cornhuskers,Michigan State Spartans,"7-1, 3-1 Conf","6-2, 3-1 Conf",24,3,,,Final,ESPN,10,0,14,0,,0,3,0,0,,NCAAF,18,12,270,187,85,107,190,101,9-58,9-90,1,1,19:18,17:33,7-15,3-14,0-0,1-3,7-13,11-27,6.2,3.2,1,1,58,30,3.3,3.4,0,0,,,,,,,,,,,,,,,,,,
313162294,2011,"November 12, 2011",Iowa Hawkeyes,Michigan State Spartans,"6-4, 3-3 Conf","8-2, 5-1 Conf",21,37,,,Final,ESPN2,0,7,14,0,,14,17,3,3,,NCAAF,20,19,349,443,284,288,87,155,6-39,7-75,3,0,16:36,20:04,6-17,4-16,1-2,1-1,22-47,19-32,5.6,9.0,1,0,30,40,2.9,3.9,2,0,,,,,,,,,,,,,,,,,,
313300077,2011,"November 26, 2011",Northwestern Wildcats,Michigan State Spartans,"6-6, 3-5 Conf","10-2, 7-1 Conf",17,31,,,Final,BTN,0,3,7,7,,3,14,7,7,,NCAAF,20,21,370,380,284,214,117,166,6-70,8-66,1,1,18:50,17:50,7-17,8-13,4-5,0-0,24-34,14-20,7.4,10.7,0,1,41,36,2.9,4.6,1,0,,,,,,,,,,,,,,,,,,
312450127,2011,"September 02, 2011",Michigan State Spartans,Youngstown State Penguins,"1-0, 1-0 Home","0-1, 0-1 Away",28,6,,,Final,BTN,0,14,7,7,,0,6,0,0,,NCAAF,22,20,396,262,243,126,159,136,7-50,4-32,1,1,20:01,19:09,3-7,8-15,0-0,0-1,19-23,17-35,10.3,3.6,0,1,35,32,4.5,4.3,1,0,,,,,,,,,,,,,,,,,,
312600087,2011,"September 17, 2011",Notre Dame Fighting Irish,Michigan State Spartans,"1-2, 1-1 Home","2-1, 0-1 Away",31,13,,,Final,NBC,14,7,7,3,,3,7,0,3,,NCAAF,18,21,275,358,168,350,114,29,6-53,12-86,3,2,23:12,19:48,5-12,5-17,0-0,1-3,18-26,34-54,6.2,6.1,1,1,32,23,3.6,1.3,2,1,,,,,,,,,,,,,,,,,,
312740194,2011,"October 01, 2011",Ohio State Buckeyes,Michigan State Spartans,"3-2, 0-1 Conf","4-1, 1-0 Conf",7,10,,,Final,ABC/ESPN,0,0,0,7,,7,0,0,3,,NCAAF,12,15,178,321,207,250,35,71,9-82,6-54,1,3,19:19,17:03,4-16,3-14,1-2,0-1,12-25,20-32,5.7,7.8,1,2,39,31,0.9,2.3,0,1,,,,,,,,,,,,,,,,,,
312950127,2011,"October 22, 2011",Michigan State Spartans,Wisconsin Badgers,"6-1, 3-0 Conf","6-1, 2-1 Conf",37,31,,,Final,ESPN,0,23,0,14,,14,0,3,14,,NCAAF,18,23,399,443,317,235,109,220,0-0,5-40,1,2,18:49,17:27,8-16,4-9,1-1,0-0,22-31,14-21,9.4,10.6,0,2,32,41,3.4,5.4,1,0,,,,,,,,,,,,,,,,,,
313090127,2011,"November 05, 2011",Michigan State Spartans,Minnesota Golden Gophers,"7-2, 4-1 Conf","2-7, 1-4 Conf",31,24,,,Final,BTN,7,14,0,10,,14,3,7,0,,NCAAF,19,22,402,415,309,303,106,120,5-40,8-73,1,2,15:10,20:44,4-13,6-14,1-2,0-1,23-34,19-34,8.7,8.7,0,2,28,40,3.8,3.0,1,0,,,,,,,,,,,,,,,,,,
313230127,2011,"November 19, 2011",Michigan State Spartans,Indiana Hoosiers,"9-2, 6-1 Conf","1-10, 0-7 Conf",55,3,,,Final,BTN,17,17,14,7,,0,3,0,0,,NCAAF,22,12,470,236,296,166,174,94,5-45,8-75,0,2,18:32,17:33,6-12,3-15,0-1,0-2,21-31,15-32,9.5,4.4,0,2,34,37,5.1,2.5,0,0,,,,,,,,,,,,,,,,,,
320020061,2011,"January 02, 2012",Georgia Bulldogs,Michigan State Spartans,10-4,11-3,30,33,,,Final/3OT,ABC,2,14,0,11,3.0,0,0,14,13,6.0,NCAAF,15,15,339,391,304,324,51,73,5-15,8-50,3,3,19:34,17:06,6-18,6-20,0-1,0-0,20-32,28-51,9.0,6.2,2,3,39,29,1.3,2.5,1,0,,,,,,,,,,,,,,,,,,
313370127,2011,"December 03, 2011",Michigan State Spartans,Wisconsin Badgers,"10-3, 7-1 Conf","11-2, 6-2 Conf",39,42,,,Final,FOX,7,22,7,3,,21,0,7,14,,NCAAF,23,16,471,345,281,234,190,126,7-50,5-30,2,0,18:18,18:16,7-13,6-14,1-1,1-1,22-30,18-25,9.4,8.8,1,0,34,37,5.6,3.4,1,0,,,,,,,,,,,,,,,,,,
