ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
401013329,2018,"Sat, Sep 8",Minnesota Golden Gophers,Fresno State Bulldogs,"2-0, 2-0 Home","1-1, 0-1 Away",21,14,MINN -1.0,51,Final,FS1,7,3,0,11,NULL,0,0,7,7,NULL,NCAAF
401012875,2018,"Sat, Sep 22",Maryland Terrapins,Minnesota Golden Gophers,"3-1, 1-0 Conf","3-1, 0-1 Conf",42,13,MD -2.0,47,Final,BTN,14,7,14,7,NULL,0,10,3,0,NULL,NCAAF
401013331,2018,"Sat, Oct 13",Ohio State Buckeyes,Minnesota Golden Gophers,"7-0, 4-0 Conf","3-3, 0-3 Conf",30,14,OSU -29.5,62,Final,FS1,10,7,3,10,NULL,7,7,0,0,NULL,NCAAF
401012858,2018,"Fri, Oct 26",Minnesota Golden Gophers,Indiana Hoosiers,"4-4, 1-4 Conf","4-5, 1-5 Conf",38,31,IND -2.0,54,Final,FS1,7,14,10,7,NULL,6,3,0,22,NULL,NCAAF
401013333,2018,"Sat, Nov 10",Minnesota Golden Gophers,Purdue Boilermakers,"5-5, 2-5 Conf","5-5, 4-3 Conf",41,10,PUR -10.0,59,Final,ESPN2,3,10,21,7,NULL,3,0,0,7,NULL,NCAAF
401013328,2018,"Thu, Aug 30",Minnesota Golden Gophers,New Mexico State Aggies,"1-0, 1-0 Home","0-2, 0-1 Away",48,10,NULL,NULL,Final,BTN,7,28,3,10,NULL,7,3,0,0,NULL,NCAAF
401013330,2018,"Sat, Sep 15",Minnesota Golden Gophers,Miami (OH) RedHawks,"3-0, 3-0 Home","0-3, 0-1 Away",26,3,MINN -14.0,47,Final,BTN,7,12,7,0,NULL,0,3,0,0,NULL,NCAAF
401012866,2018,"Sat, Oct 6",Minnesota Golden Gophers,Iowa Hawkeyes,"3-2, 0-2 Conf","4-1, 1-1 Conf",31,48,IOWA -7.0,42,Final,BTN,7,10,7,7,NULL,14,14,10,10,NULL,NCAAF
401013332,2018,"Sat, Oct 20",Nebraska Cornhuskers,Minnesota Golden Gophers,"1-6, 1-4 Conf","3-4, 0-4 Conf",53,28,NEB -5.0,56,Final,BTN,14,14,8,17,NULL,0,8,14,6,NULL,NCAAF
401012812,2018,"Sat, Nov 3",Illinois Fighting Illini,Minnesota Golden Gophers,"4-5, 2-4 Conf","4-5, 1-5 Conf",55,31,MINN -8.5,62,Final,BTN,14,10,21,10,NULL,7,10,0,14,NULL,NCAAF
401013334,2018,"Sat, Nov 17",Minnesota Golden Gophers,Northwestern Wildcats,"5-6, 2-6 Conf","7-4, 7-1 Conf",14,24,MINN -3.5,48,Final,BTN,0,7,0,7,NULL,7,6,0,11,NULL,NCAAF
401013335,2018,"Sat, Nov 24",Wisconsin Badgers,Minnesota Golden Gophers,"7-5, 5-4 Conf","6-6, 3-6 Conf",15,37,WIS -11.5,53,Final,ESPN2,0,7,0,8,NULL,3,14,6,14,NULL,NCAAF
401032068,2018,"Wed, Dec 26",Georgia Tech Yellow Jackets,Minnesota Golden Gophers,7-6,7-6,10,34,GT -5.5,57,Final,ESPN,0,3,7,0,NULL,10,3,7,14,NULL,NCAAF
