ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League,home_first_downs,away_first_downs,home_total_yards,away_total_yards,home_passing_yards,away_passing_yards,home_rushing_yards,away_rushing_yards,home_penalties,away_penalties,home_turnovers,away_turnovers,home_possession,away_possession,home_third_down_eff,away_third_down_eff,home_fourth_down_eff,away_fourth_down_eff,home_completions_attempts,away_completions_attempts,home_yards_per_pass,away_yards_per_pass,home_interceptions_thrown,away_interceptions_thrown,home_rushing_attempts,away_rushing_attempts,home_yards_per_rush,away_yards_per_rush,home_fumbles_lost,away_fumbles_lost,home_total_plays,away_total_plays,home_total_drives,away_total_drives,home_yards_per_play,away_yards_per_play,home_redzone_made_att,away_redzone_made_att,home_dst_touchdowns,away_dst_touchdowns,home_passing_first_downs,away_passing_first_downs,home_rushing_first_downs,away_rushing_first_downs,home_first_downs_from_penalties,away_first_downs_from_penalties,home_sacks_yards_lost,away_sacks_yards_lost
282500167,2008,"September 06, 2008",New Mexico Lobos,Texas A&M Aggies,"0-2, 0-2 Home","1-1, 1-0 Away",22,28,,,Final,,7,0,3,12,,14,7,0,7,,NCAAF,20,16,370,236,155,165,216,92,9-75,9-62,4,1,15:41,18:23,8-17,7-15,1-1,0-1,22-38,13-24,4.1,6.0,2,0,38,39,5.7,2.4,2,1,,,,,,,,,,,,,,,,,,
282640202,2008,"September 20, 2008",Tulsa Golden Hurricane,New Mexico Lobos,"3-0, 1-0 Home","1-3, 0-1 Away",56,14,,,Final,,21,14,7,14,,0,0,7,7,,NCAAF,28,16,606,316,475,193,137,126,3-45,8-65,3,4,16:53,19:07,14-15,5-14,0-1,1-2,24-39,18-25,12.0,7.6,2,4,37,37,3.7,3.4,1,0,,,,,,,,,,,,,,,,,,
282780167,2008,"October 04, 2008",New Mexico Lobos,Wyoming Cowboys,"3-3, 1-1 Conf","2-4, 0-3 Conf",24,0,,,Final,,14,7,0,3,,0,0,0,0,,NCAAF,18,12,350,201,36,88,317,130,9-75,8-71,0,4,18:12,18:33,2-13,5-16,2-3,0-2,8-21,9-19,1.6,3.7,0,1,48,44,6.6,3.0,0,3,,,,,,,,,,,,,,,,,,
282920167,2008,"October 18, 2008",New Mexico Lobos,San Diego State Aztecs,"4-4, 2-2 Conf","1-6, 0-3 Conf",70,7,,,Final,,21,28,7,14,,0,0,7,0,,NCAAF,28,13,565,227,146,171,419,66,8-47,6-45,1,3,20:29,15:33,11-16,3-13,2-2,0-1,10-15,19-39,9.7,4.1,0,1,63,22,6.7,3.0,1,2,,,,,,,,,,,,,,,,,,
283060167,2008,"November 01, 2008",New Mexico Lobos,Utah Utes,"4-6, 2-4 Conf","9-0, 5-0 Conf",10,13,,,Final,,0,3,7,0,,3,3,7,0,,NCAAF,14,17,284,393,183,200,119,198,6-41,9-79,0,2,16:55,19:22,3-13,5-14,0-2,0-1,16-26,23-33,6.3,5.9,0,1,37,35,3.2,5.7,0,1,,,,,,,,,,,,,,,,,,
282430167,2008,"August 30, 2008",New Mexico Lobos,TCU Horned Frogs,"0-1, 0-1 Conf","1-0, 1-0 Conf",3,26,,,Final,,0,0,3,0,,16,0,0,10,,NCAAF,11,18,186,291,159,135,56,171,3-35,8-74,4,1,15:31,21:32,4-15,6-17,0-0,1-2,7-24,16-26,5.4,4.6,2,1,32,48,1.8,3.6,2,0,,,,,,,,,,,,,,,,,,
282570167,2008,"September 13, 2008",New Mexico Lobos,Arizona Wildcats,"1-2, 0-1 Conf","2-1, 0-0 Conf",36,28,,,Final,CBSSN,10,10,10,6,,7,7,7,7,,NCAAF,18,21,335,388,126,340,221,67,9-76,2-20,1,7,20:24,15:37,3-13,5-14,0-0,1-3,14-18,27-50,6.3,6.4,1,2,47,24,4.7,2.8,0,5,,,,,,,,,,,,,,,,,,
282710166,2008,"September 27, 2008",New Mexico State Aggies,New Mexico Lobos,"1-2, 0-1 Home","2-3, 1-1 Away",24,35,,,Final,,14,3,0,7,,0,10,6,19,,NCAAF,15,23,430,352,387,64,48,297,6-59,9-80,1,1,12:55,23:29,5-13,5-16,1-2,3-3,24-38,7-16,10.1,3.4,1,1,18,63,2.7,4.7,0,0,,,,,,,,,,,,,,,,,,
282850252,2008,"October 11, 2008",BYU Cougars,New Mexico Lobos,"6-0, 2-0 Conf","3-4, 1-2 Conf",21,3,,,Final,,0,7,7,7,,0,3,0,0,,NCAAF,19,19,382,285,258,178,124,139,4-48,3-26,0,2,16:39,19:44,5-12,8-18,1-1,1-3,22-34,13-22,7.6,6.6,0,1,28,51,4.4,2.7,0,1,,,,,,,,,,,,,,,,,,
282972005,2008,"October 23, 2008",Air Force Falcons,New Mexico Lobos,"6-2, 4-1 Conf","4-5, 2-3 Conf",23,10,,,Final,CBSSN,7,3,7,6,,10,0,0,0,,NCAAF,17,14,228,303,4,96,227,212,0-0,2-9,3,4,20:13,16:02,6-15,7-17,1-1,1-4,1-3,9-18,0.3,5.1,1,1,69,47,3.3,4.5,2,3,,,,,,,,,,,,,,,,,,
