ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
400548409,2014,"September 06, 2014",Georgia State Panthers,New Mexico State Aggies,"1-1, 0-1 Conf","2-0, 1-0 Conf",31,34,,,Final,,10,7,7,7,,0,10,7,17,,NCAAF
400548197,2014,"September 20, 2014",New Mexico State Aggies,New Mexico Lobos,"2-2, 1-1 Home","1-2, 1-0 Away",35,38,,,Final,ESPN3,0,14,14,7,,7,14,3,14,,NCAAF
400548421,2014,"October 04, 2014",New Mexico State Aggies,Georgia Southern Eagles,"2-4, 1-1 Conf","4-2, 3-0 Conf",28,36,,,Final,,14,0,0,14,,0,12,17,7,,NCAAF
400548430,2014,"October 18, 2014",Idaho Vandals,New Mexico State Aggies,"1-6, 1-4 Conf","2-6, 1-3 Conf",29,17,,,Final,ESPN3,14,6,0,9,,7,3,0,7,,NCAAF
400548444,2014,"November 08, 2014",New Mexico State Aggies,Louisiana Ragin' Cajuns,"2-8, 1-5 Conf","6-3, 5-0 Conf",16,44,,,Final,,3,0,6,7,,7,14,9,14,,NCAAF
400548404,2014,"August 28, 2014",New Mexico State Aggies,Cal Poly Mustangs,"1-0, 1-0 Home","0-1, 0-1 Away",28,10,,,Final,,7,7,7,7,,7,3,0,0,,NCAAF
400548026,2014,"September 13, 2014",UTEP Miners,New Mexico State Aggies,"2-1, 1-1 Home","2-1, 1-1 Away",42,24,,,Final,,7,14,0,21,,7,3,0,14,,NCAAF
400548379,2014,"September 27, 2014",LSU Tigers,New Mexico State Aggies,"4-1, 3-1 Home","2-3, 1-2 Away",63,7,,,Final,SECN,14,28,14,7,,0,7,0,0,,NCAAF
400548426,2014,"October 11, 2014",Troy Trojans,New Mexico State Aggies,"1-5, 1-1 Conf","2-5, 1-2 Conf",41,24,,,Final,ESPN3,10,10,7,14,,0,7,10,7,,NCAAF
400548439,2014,"November 01, 2014",New Mexico State Aggies,Texas State Bobcats,"2-7, 1-4 Conf","5-3, 3-1 Conf",29,37,,,Final,,7,7,7,8,,17,0,20,0,,NCAAF
400548452,2014,"November 22, 2014",New Mexico State Aggies,Louisiana Monroe Warhawks,"2-9, 1-6 Conf","4-7, 3-4 Conf",17,30,,,Final,,0,17,0,0,,10,10,7,3,,NCAAF
400548455,2014,"November 29, 2014",Arkansas State Red Wolves,New Mexico State Aggies,"7-5, 5-3 Conf","2-10, 1-7 Conf",68,35,,,Final,ESPN3,7,20,21,20,,7,14,7,7,,NCAAF
