ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League,home_first_downs,away_first_downs,home_total_yards,away_total_yards,home_passing_yards,away_passing_yards,home_rushing_yards,away_rushing_yards,home_penalties,away_penalties,home_turnovers,away_turnovers,home_possession,away_possession,home_third_down_eff,away_third_down_eff,home_fourth_down_eff,away_fourth_down_eff,home_completions_attempts,away_completions_attempts,home_yards_per_pass,away_yards_per_pass,home_interceptions_thrown,away_interceptions_thrown,home_rushing_attempts,away_rushing_attempts,home_yards_per_rush,away_yards_per_rush,home_fumbles_lost,away_fumbles_lost,home_total_plays,away_total_plays,home_total_drives,away_total_drives,home_yards_per_play,away_yards_per_play,home_redzone_made_att,away_redzone_made_att,home_dst_touchdowns,away_dst_touchdowns,home_passing_first_downs,away_passing_first_downs,home_rushing_first_downs,away_rushing_first_downs,home_first_downs_from_penalties,away_first_downs_from_penalties,home_sacks_yards_lost,away_sacks_yards_lost
400756913,2015,"September 12, 2015",North Carolina Tar Heels,North Carolina A&T Aggies,"1-1, 1-0 Home","1-1, 0-1 Away",53,14,,,Final,ESPN3,22,14,17,0,,0,0,7,7,,NCAAF,24,18,463,273,248,118,215,155,5-50,2-10,0,3,30:22,29:38,8-13,7-15,1-1,0-1,20-27,9-22,9.2,5.4,0,2,44,41,4.9,3.8,0,1,,,,,,,,,,,,,,,,,,
400756935,2015,"September 26, 2015",North Carolina Tar Heels,Delaware Blue Hens,"3-1, 3-0 Home","1-3, 0-2 Away",41,14,,,Final,ESPN3,7,6,14,14,,7,0,7,0,,NCAAF,29,15,568,303,377,24,191,279,2-20,5-60,1,1,25:42,34:18,10-13,2-11,0-0,2-3,23-33,4-10,11.4,2.4,0,1,35,49,5.5,5.7,1,0,,,,,,,,,,,,,,,,,,
400756957,2015,"October 17, 2015",North Carolina Tar Heels,Wake Forest Demon Deacons,"5-1, 2-0 Conf","3-4, 1-3 Conf",50,14,,,Final,ESPN3,0,29,7,14,,7,7,0,0,,NCAAF,22,16,538,310,326,197,212,113,6-44,3-24,2,1,22:56,37:04,5-10,8-18,1-2,0-2,18-26,20-30,12.5,6.6,2,0,33,43,6.4,2.6,0,1,,,,,,,,,,,,,,,,,,
400756966,2015,"October 29, 2015",Pittsburgh Panthers,North Carolina Tar Heels,"6-2, 4-1 Conf","7-1, 4-0 Conf",19,26,,,Final,ESPN,3,0,10,6,,3,17,3,3,,NCAAF,25,17,415,444,262,270,153,174,6-55,3-15,1,0,35:15,24:45,8-17,5-13,2-2,0-0,27-42,14-23,6.2,11.7,0,0,37,35,4.1,5.0,1,0,,,,,,,,,,,,,,,,,,
400756984,2015,"November 14, 2015",North Carolina Tar Heels,Miami Hurricanes,"9-1, 6-0 Conf","6-4, 3-3 Conf",59,21,,,Final,ESPNU,7,24,21,7,,0,0,7,14,,NCAAF,30,25,487,425,193,326,294,99,5-56,12-103,0,3,29:16,30:44,7-11,5-15,0-0,3-3,17-23,24-43,8.4,7.6,0,1,45,32,6.5,3.1,0,2,,,,,,,,,,,,,,,,,,
400756997,2015,"November 28, 2015",NC State Wolfpack,North Carolina Tar Heels,"7-5, 3-5 Conf","11-1, 8-0 Conf",34,45,,,Final,ABC/ESPN2,7,7,9,11,,35,0,0,10,,NCAAF,28,25,514,553,206,179,308,374,7-72,3-30,1,3,36:00,24:00,12-21,7-11,2-3,0-0,17-37,20-31,5.6,5.8,1,1,52,41,5.9,9.1,0,2,,,,,,,,,,,,,,,,,,
400603840,2015,"September 03, 2015",South Carolina Gamecocks,North Carolina Tar Heels,1-0,0-1,17,13,,,Final,ESPN,0,10,0,7,,7,6,0,0,,NCAAF,22,20,394,440,140,232,254,208,8-60,6-30,0,3,35:38,24:22,7-15,5-13,1-2,0-2,12-27,19-31,5.2,7.5,0,3,47,33,5.4,6.3,0,0,,,,,,,,,,,,,,,,,,
400756924,2015,"September 19, 2015",North Carolina Tar Heels,Illinois Fighting Illini,"2-1, 2-0 Home","2-1, 0-1 Away",48,14,,,Final,ESPN2,10,10,7,21,,0,7,0,7,,NCAAF,23,22,471,399,217,172,254,227,6-51,8-75,1,1,24:13,35:47,4-10,9-20,0-0,2-3,19-26,19-38,8.3,4.5,1,1,37,45,6.9,5.0,0,0,,,,,,,,,,,,,,,,,,
400756942,2015,"October 03, 2015",Georgia Tech Yellow Jackets,North Carolina Tar Heels,"2-3, 0-2 Conf","4-1, 1-0 Conf",31,38,,,Final,ESPNU,7,14,7,3,,0,14,10,14,,NCAAF,27,21,417,413,168,182,249,231,4-39,6-42,2,0,38:45,21:15,5-13,2-8,3-5,1-1,12-21,15-26,8.0,7.0,1,0,59,31,4.2,7.5,1,0,,,,,,,,,,,,,,,,,,
400756963,2015,"October 24, 2015",North Carolina Tar Heels,Virginia Cavaliers,"6-1, 3-0 Conf","2-5, 1-2 Conf",26,13,,,Final,ESPN3,7,6,3,10,,10,3,0,0,,NCAAF,24,23,422,353,226,148,196,205,13-135,10-62,2,5,26:03,33:57,2-8,5-14,0-0,0-1,21-26,17-30,8.7,4.9,1,4,38,39,5.2,5.3,1,1,,,,,,,,,,,,,,,,,,
