ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
292550130,2009,"September 12, 2009",Michigan Wolverines,Notre Dame Fighting Irish,"2-0, 2-0 Home","1-1, 0-1 Away",38,34,,,Final,ABC,14,3,7,14,,3,17,0,14,,NCAAF
292692509,2009,"September 26, 2009",Purdue Boilermakers,Notre Dame Fighting Irish,"1-3, 1-2 Home","3-1, 1-1 Away",21,24,,,Final,ESPN,7,0,0,14,,3,14,0,7,,NCAAF
292900087,2009,"October 17, 2009",Notre Dame Fighting Irish,USC Trojans,"4-2, 3-1 Home","5-1, 3-1 Away",27,34,,,Final,NBC,7,0,7,13,,7,6,14,7,,NCAAF
293040087,2009,"October 31, 2009",Notre Dame Fighting Irish,Washington State Cougars,"6-2, 5-1 Home","1-7, 0-4 Away",40,14,,,Final,NBC,9,21,3,7,,0,7,0,7,,NCAAF
293180221,2009,"November 14, 2009",Pittsburgh Panthers,Notre Dame Fighting Irish,"9-1, 6-0 Home","6-4, 1-2 Away",27,22,,,Final,ABC,3,7,10,7,,0,3,0,19,,NCAAF
292480087,2009,"September 05, 2009",Notre Dame Fighting Irish,Nevada Wolf Pack,"1-0, 1-0 Home","0-1, 0-1 Away",35,0,,,Final,NBC,7,21,7,0,,0,0,0,0,,NCAAF
292620087,2009,"September 19, 2009",Notre Dame Fighting Irish,Michigan State Spartans,"2-1, 2-0 Home","1-2, 0-1 Away",33,30,,,Final,NBC,13,3,10,7,,3,14,6,7,,NCAAF
292760087,2009,"October 03, 2009",Notre Dame Fighting Irish,Washington Huskies,"4-1, 3-0 Home","2-3, 0-2 Away",37,30,,,Final/OT,NBC,3,13,3,11,7.0,7,10,7,6,0.0,NCAAF
292970087,2009,"October 24, 2009",Notre Dame Fighting Irish,Boston College Eagles,"5-2, 4-1 Home","5-3, 0-3 Away",20,16,,,Final,NBC,3,10,0,7,,2,7,7,0,,NCAAF
293110087,2009,"November 07, 2009",Notre Dame Fighting Irish,Navy Midshipmen,"6-3, 5-2 Home","7-3, 3-2 Away",21,23,,,Final,NBC,0,0,7,14,,7,7,7,2,,NCAAF
293250087,2009,"November 21, 2009",Notre Dame Fighting Irish,Connecticut Huskies,"6-5, 5-3 Home","5-5, 3-3 Away",30,33,,,Final/2OT,NBC,7,7,3,3,10.0,0,10,7,3,13.0,NCAAF
293320024,2009,"November 28, 2009",Stanford Cardinal,Notre Dame Fighting Irish,"8-4, 6-1 Home","6-6, 1-3 Away",45,38,,,Final,ABC,10,10,7,18,,14,10,7,7,,NCAAF
