ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League,home_first_downs,away_first_downs,home_total_yards,away_total_yards,home_passing_yards,away_passing_yards,home_rushing_yards,away_rushing_yards,home_penalties,away_penalties,home_turnovers,away_turnovers,home_possession,away_possession,home_third_down_eff,away_third_down_eff,home_fourth_down_eff,away_fourth_down_eff,home_completions_attempts,away_completions_attempts,home_yards_per_pass,away_yards_per_pass,home_interceptions_thrown,away_interceptions_thrown,home_rushing_attempts,away_rushing_attempts,home_yards_per_rush,away_yards_per_rush,home_fumbles_lost,away_fumbles_lost,home_total_plays,away_total_plays,home_total_drives,away_total_drives,home_yards_per_play,away_yards_per_play,home_redzone_made_att,away_redzone_made_att,home_dst_touchdowns,away_dst_touchdowns,home_passing_first_downs,away_passing_first_downs,home_rushing_first_downs,away_rushing_first_downs,home_first_downs_from_penalties,away_first_downs_from_penalties,home_sacks_yards_lost,away_sacks_yards_lost
400547844,2014,"September 06, 2014",Oklahoma State Cowboys,Missouri State Bears,"1-1, 1-0 Home","1-1, 1-1 Away",40,23,,,Final,,10,17,10,3,,6,0,7,10,,NCAAF,22,20,480,374,274,219,206,155,5-45,7-70,0,0,26:37,33:23,5-15,4-14,1-2,1-1,21-35,16-24,7.8,9.1,0,0,35,41,5.9,3.8,0,0,,,,,,,,,,,,,,,,,,
400547859,2014,"September 25, 2014",Oklahoma State Cowboys,Texas Tech Red Raiders,"3-1, 1-0 Conf","2-2, 0-1 Conf",45,35,,,Final,ESPN,7,14,14,10,,7,7,14,7,,NCAAF,22,32,528,512,370,394,158,118,10-129,16-158,2,3,28:09,31:51,4-12,8-16,1-1,0-2,17-31,37-60,11.9,6.6,2,3,42,30,3.8,3.9,0,0,,,,,,,,,,,,,,,,,,
400547871,2014,"October 11, 2014",Kansas Jayhawks,Oklahoma State Cowboys,"2-4, 0-3 Conf","5-1, 3-0 Conf",20,27,,,Final,FS1,7,0,3,10,,10,10,0,7,,NCAAF,18,15,379,275,288,161,91,114,8-65,7-44,1,2,30:28,28:33,4-18,6-16,1-3,1-1,20-37,17-31,7.8,5.2,1,1,41,37,2.2,3.1,0,1,,,,,,,,,,,,,,,,,,
400547879,2014,"October 25, 2014",Oklahoma State Cowboys,West Virginia Mountaineers,"5-3, 3-2 Conf","6-2, 4-1 Conf",10,34,,,Final,ESPN,0,10,0,0,,14,0,3,17,,NCAAF,23,22,436,448,242,238,194,210,4-30,7-57,2,0,26:21,33:39,2-15,9-18,1-5,0-0,21-41,21-30,5.9,7.9,2,0,39,44,5.0,4.8,0,0,,,,,,,,,,,,,,,,,,
400547891,2014,"November 15, 2014",Oklahoma State Cowboys,Texas Longhorns,"5-5, 3-4 Conf","6-5, 5-3 Conf",7,28,,,Final,FOX,0,0,0,7,,13,6,3,6,,NCAAF,9,24,192,430,158,305,34,125,5-70,6-49,2,0,21:23,38:37,2-13,11-19,1-1,0-0,17-29,24-33,5.4,9.2,1,0,23,43,1.5,2.9,1,0,,,,,,,,,,,,,,,,,,
400547762,2014,"August 30, 2014",Oklahoma State Cowboys,Florida State Seminoles,0-1,1-0,31,37,,,Final,ABC,0,10,7,14,,10,7,10,10,,NCAAF,22,23,364,476,203,370,161,106,7-70,8-71,2,2,26:55,33:05,8-16,4-14,0-1,0-1,15-28,25-40,7.3,9.3,1,2,42,31,3.8,3.4,1,0,,,,,,,,,,,,,,,,,,
400547853,2014,"September 13, 2014",Oklahoma State Cowboys,UT San Antonio Roadrunners,"2-1, 2-0 Home","1-2, 1-1 Away",43,13,,,Final,,14,10,3,16,,3,0,7,3,,NCAAF,24,11,477,206,315,133,162,73,5-45,5-74,0,1,29:33,30:27,8-19,3-17,0-0,0-1,16-30,15-29,10.5,4.6,0,1,49,35,3.3,2.1,0,0,,,,,,,,,,,,,,,,,,
400547863,2014,"October 04, 2014",Oklahoma State Cowboys,Iowa State Cyclones,"4-1, 2-0 Conf","1-4, 0-3 Conf",37,20,,,Final,FS1,0,13,17,7,,0,6,7,7,,NCAAF,25,17,400,322,271,200,129,122,7-40,3-45,2,0,29:36,30:13,10-19,10-20,1-1,0-1,26-41,17-39,6.6,5.1,2,0,42,33,3.1,3.7,0,0,,,,,,,,,,,,,,,,,,
400547876,2014,"October 18, 2014",TCU Horned Frogs,Oklahoma State Cowboys,"5-1, 2-1 Conf","5-2, 3-1 Conf",42,9,,,Final,FS1,21,7,14,0,,3,6,0,0,,NCAAF,26,12,676,258,415,132,261,126,5-45,4-23,1,2,31:52,27:32,7-15,3-15,1-2,0-0,27-42,10-25,9.9,5.3,1,2,40,39,6.5,3.2,0,0,,,,,,,,,,,,,,,,,,
400547882,2014,"November 01, 2014",Kansas State Wildcats,Oklahoma State Cowboys,"7-1, 5-0 Conf","5-4, 3-3 Conf",48,14,,,Final,ABC,14,7,10,17,,7,0,0,7,,NCAAF,21,15,421,260,287,148,134,112,2-15,5-54,1,3,30:01,29:47,5-12,3-13,0-1,0-1,20-33,12-23,8.7,6.4,1,2,33,40,4.1,2.8,0,1,,,,,,,,,,,,,,,,,,
