ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
322522261,2012,"Sat, Sep 8",Hampton Pirates,Old Dominion Monarchs,"0-2, 0-1 Home","2-0, 1-0 Away",7,45,NULL,NULL,Final,NULL,0,7,0,0,NULL,14,14,17,0,NULL,NCAAF
322660295,2012,"Sat, Sep 22",Old Dominion Monarchs,New Hampshire Wildcats,"4-0, 1-0 Conf","2-2, 0-1 Conf",64,61,NULL,NULL,Final,NULL,3,21,14,26,NULL,16,24,14,7,NULL,NCAAF
322870295,2012,"Sat, Oct 13",Old Dominion Monarchs,Villanova Wildcats,"5-1, 2-1 Conf","5-2, 3-1 Conf",14,38,NULL,NULL,Final,NULL,14,0,0,0,NULL,3,7,14,14,NULL,NCAAF
323010295,2012,"Sat, Oct 27",Old Dominion Monarchs,Delaware Blue Hens,"7-1, 4-1 Conf","5-3, 2-3 Conf",31,26,NULL,NULL,Final,NBCSN,7,14,7,3,NULL,7,10,3,6,NULL,NCAAF
323150295,2012,"Sat, Nov 10",Old Dominion Monarchs,William & Mary Tribe,"9-1, 6-1 Conf","2-8, 1-6 Conf",41,31,NULL,NULL,Final,NULL,13,14,0,14,NULL,14,14,3,0,NULL,NCAAF
323360295,2012,"Sat, Dec 1",Old Dominion Monarchs,Coastal Carolina Chanticleers,"11-1, 6-1 Home","8-5, 5-3 Away",63,35,NULL,NULL,Final,ESPN3,14,14,14,21,NULL,7,14,14,0,NULL,NCAAF
322450295,2012,"Sat, Sep 1",Old Dominion Monarchs,Duquesne Dukes,"1-0, 1-0 Home","0-1, 0-1 Away",57,23,NULL,NULL,Final,NULL,3,7,17,30,NULL,0,20,0,3,NULL,NCAAF
322590295,2012,"Sat, Sep 15",Old Dominion Monarchs,Campbell Camels,"3-0, 2-0 Home","1-2, 0-1 Away",70,14,NULL,NULL,Final,NULL,28,14,21,7,NULL,0,14,0,0,NULL,NCAAF
322730257,2012,"Sat, Sep 29",Richmond Spiders,Old Dominion Monarchs,"3-2, 1-1 Conf","5-0, 2-0 Conf",37,45,NULL,NULL,Final,NULL,7,7,3,20,NULL,17,21,7,0,NULL,NCAAF
322940119,2012,"Sat, Oct 20",Towson Tigers,Old Dominion Monarchs,"3-4, 2-2 Conf","6-1, 3-1 Conf",20,31,NULL,NULL,Final,NULL,0,6,7,7,NULL,10,7,14,0,NULL,NCAAF
323082247,2012,"Sat, Nov 3",Georgia State Panthers,Old Dominion Monarchs,"1-9, 1-6 Conf","8-1, 5-1 Conf",27,53,NULL,NULL,Final,NULL,0,0,14,13,NULL,15,17,7,14,NULL,NCAAF
323220256,2012,"Sat, Nov 17",James Madison Dukes,Old Dominion Monarchs,"7-4, 5-3 Conf","10-1, 7-1 Conf",28,38,NULL,NULL,Final,NBCSN,14,7,7,0,NULL,3,7,21,7,NULL,NCAAF
323430295,2012,"Sat, Dec 8",Old Dominion Monarchs,Georgia Southern Eagles,"11-2, 6-2 Home","10-3, 4-2 Away",35,49,NULL,NULL,Final,ESPN,7,14,14,0,NULL,7,7,7,28,NULL,NCAAF
