ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
400935239,2017,"Fri, Sep 8",Purdue Boilermakers,Ohio Bobcats,"1-1, 1-0 Home","1-1, 0-1 Away",44,21,NULL,NULL,Final,FS1,10,24,7,3,NULL,7,0,7,7,NULL,NCAAF
400935364,2017,"Sat, Sep 23",Purdue Boilermakers,Michigan Wolverines,"2-2, 0-1 Conf","4-0, 1-0 Conf",10,28,NULL,NULL,Final,FOX,0,10,0,0,NULL,0,7,7,14,NULL,NCAAF
400935382,2017,"Sat, Oct 14",Wisconsin Badgers,Purdue Boilermakers,"6-0, 3-0 Conf","3-3, 1-2 Conf",17,9,NULL,NULL,Final,BTN,14,3,0,0,NULL,3,3,3,0,NULL,NCAAF
400935395,2017,"Sat, Oct 28",Purdue Boilermakers,Nebraska Cornhuskers,"3-5, 1-4 Conf","4-4, 3-2 Conf",24,25,NULL,NULL,Final,BTN,0,14,3,7,NULL,3,3,6,13,NULL,NCAAF
400935406,2017,"Sat, Nov 11",Northwestern Wildcats,Purdue Boilermakers,"7-3, 5-2 Conf","4-6, 2-5 Conf",23,13,NULL,NULL,Final,ESPN2,0,14,6,3,NULL,0,0,7,6,NULL,NCAAF
400935238,2017,"Sat, Sep 2",Purdue Boilermakers,Louisville Cardinals,0-1,1-0,28,35,NULL,NULL,Final,FOX,7,7,7,7,NULL,7,3,15,10,NULL,NCAAF
400933860,2017,"Sat, Sep 16",Missouri Tigers,Purdue Boilermakers,"1-2, 1-2 Home","2-1, 1-0 Away",3,35,NULL,NULL,Final,SECN,0,3,0,0,NULL,14,14,7,0,NULL,NCAAF
400935376,2017,"Sat, Oct 7",Purdue Boilermakers,Minnesota Golden Gophers,"3-2, 1-1 Conf","3-2, 0-2 Conf",31,17,NULL,NULL,Final,ESPN2,6,0,7,18,NULL,7,7,0,3,NULL,NCAAF
400935387,2017,"Sat, Oct 21",Rutgers Scarlet Knights,Purdue Boilermakers,"3-4, 2-2 Conf","3-4, 1-3 Conf",14,12,NULL,NULL,Final,NULL,7,0,7,0,NULL,0,3,3,6,NULL,NCAAF
400935401,2017,"Sat, Nov 4",Purdue Boilermakers,Illinois Fighting Illini,"4-5, 2-4 Conf","2-7, 0-6 Conf",29,10,NULL,NULL,Final,BTN,7,6,3,13,NULL,7,3,0,0,NULL,NCAAF
400935411,2017,"Sat, Nov 18",Iowa Hawkeyes,Purdue Boilermakers,"6-5, 3-5 Conf","5-6, 3-5 Conf",15,24,NULL,NULL,Final,NULL,0,9,0,6,NULL,7,0,14,3,NULL,NCAAF
400935422,2017,"Sat, Nov 25",Purdue Boilermakers,Indiana Hoosiers,"6-6, 4-5 Conf","5-7, 2-7 Conf",31,24,NULL,NULL,Final,ESPN2,7,14,3,7,NULL,7,3,0,14,NULL,NCAAF
400959398,2017,"Wed, Dec 27",Purdue Boilermakers,Arizona Wildcats,7-6,7-6,38,35,NULL,NULL,Final,FOX,14,17,0,7,NULL,14,0,14,7,NULL,NCAAF
