ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
312530349,2011,"September 10, 2011",Army Black Knights,San Diego State Aztecs,"0-2, 0-1 Home","2-0, 1-0 Away",20,23,,,Final,,7,7,0,6,,14,0,6,3,,NCAAF
312670130,2011,"September 24, 2011",Michigan Wolverines,San Diego State Aztecs,"4-0, 4-0 Home","3-1, 1-1 Away",28,7,,,Final,BTN,14,7,0,7,,0,0,7,0,,NCAAF
312862005,2011,"October 13, 2011",Air Force Falcons,San Diego State Aztecs,"3-3, 0-2 Conf","4-2, 1-1 Conf",27,41,,,Final,,7,10,3,7,,3,14,10,14,,NCAAF
313090021,2011,"November 05, 2011",San Diego State Aztecs,New Mexico Lobos,"5-3, 2-2 Conf","0-9, 0-4 Conf",35,7,,,Final,,7,7,14,7,,0,7,0,0,,NCAAF
313230021,2011,"November 19, 2011",San Diego State Aztecs,Boise State Broncos,"6-4, 3-3 Conf","9-1, 4-1 Conf",35,52,,,Final,,7,7,0,21,,21,21,3,7,,NCAAF
312460021,2011,"September 03, 2011",San Diego State Aztecs,Cal Poly Mustangs,"1-0, 1-0 Home","0-1, 0-1 Away",49,21,,,Final,,14,14,7,14,,0,14,0,7,,NCAAF
312600021,2011,"September 17, 2011",San Diego State Aztecs,Washington State Cougars,"3-0, 2-0 Home","2-1, 0-1 Away",42,24,,,Final,,14,0,7,21,,10,7,7,0,,NCAAF
312810021,2011,"October 08, 2011",San Diego State Aztecs,TCU Horned Frogs,"3-2, 0-1 Conf","4-2, 2-0 Conf",14,27,,,Final,,0,0,7,7,,10,7,3,7,,NCAAF
313020021,2011,"October 29, 2011",San Diego State Aztecs,Wyoming Cowboys,"4-3, 1-2 Conf","5-2, 2-0 Conf",27,30,,,Final,,13,0,14,0,,14,16,0,0,,NCAAF
313160036,2011,"November 12, 2011",Colorado State Rams,San Diego State Aztecs,"3-6, 1-3 Conf","6-3, 3-2 Conf",15,18,,,Final,,7,0,0,8,,8,7,0,3,,NCAAF
313302439,2011,"November 26, 2011",Unlv Rebels,San Diego State Aztecs,"2-9, 1-5 Conf","7-4, 4-3 Conf",14,31,,,Final,,7,7,0,0,,0,7,10,14,,NCAAF
313370021,2011,"December 03, 2011",San Diego State Aztecs,Fresno State Bulldogs,"8-4, 4-3 Home","4-9, 2-5 Away",35,28,,,Final,,0,14,14,7,,7,14,0,7,,NCAAF
313510309,2011,"December 17, 2011",Louisiana Ragin' Cajuns,San Diego State Aztecs,9-4,8-5,32,30,,,Final,ESPN/ESPN3D,6,7,6,13,,3,0,14,13,,NCAAF
