ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
272512633,2007,"September 08, 2007",Tennessee Volunteers,Southern Mississippi Golden Eagles,"1-1, 1-0 Home","1-1, 0-1 Away",39,19,,,Final,,10,7,10,12,,13,3,0,3,,NCAAF
272700068,2007,"September 27, 2007",Boise State Broncos,Southern Mississippi Golden Eagles,"3-1, 3-0 Home","2-2, 1-2 Away",38,16,,,Final,ESPN,14,14,7,3,,0,10,6,0,,NCAAF
272862572,2007,"October 13, 2007",Southern Mississippi Golden Eagles,SMU Mustangs,"3-3, 2-1 Conf","1-5, 0-2 Conf",28,7,,,Final,,0,21,0,7,,0,0,0,7,,NCAAF
273012572,2007,"October 28, 2007",Southern Mississippi Golden Eagles,UCF Knights,"4-4, 3-2 Conf","5-3, 3-1 Conf",17,34,,,Final,,7,3,7,0,,7,14,10,3,,NCAAF
273142572,2007,"November 10, 2007",Southern Mississippi Golden Eagles,Memphis Tigers,"5-5, 4-3 Conf","5-5, 4-2 Conf",26,29,,,Final,,14,0,3,9,,7,7,0,15,,NCAAF
272442572,2007,"September 01, 2007",Southern Mississippi Golden Eagles,Tennessee-Martin Skyhawks,"1-0, 1-0 Home","0-1, 0-1 Away",35,13,,,Final,,0,14,14,7,,3,3,0,7,,NCAAF
272580151,2007,"September 15, 2007",East Carolina Pirates,Southern Mississippi Golden Eagles,"1-2, 0-1 Conf","2-1, 1-0 Conf",21,28,,,Final,,0,0,21,0,,0,14,0,14,,NCAAF
272762572,2007,"October 03, 2007",Southern Mississippi Golden Eagles,Rice Owls,"2-3, 1-1 Conf","1-4, 1-0 Conf",29,31,,,Final,,0,7,0,22,,7,14,10,0,,NCAAF
272940276,2007,"October 21, 2007",Marshall Thundering Herd,Southern Mississippi Golden Eagles,"0-7, 0-3 Conf","4-3, 3-1 Conf",24,33,,,Final,,0,10,7,7,,13,7,6,7,,NCAAF
273070005,2007,"November 03, 2007",UAB Blazers,Southern Mississippi Golden Eagles,"2-7, 1-4 Conf","5-4, 4-2 Conf",7,37,,,Final,,0,0,7,0,,3,27,7,0,,NCAAF
273212638,2007,"November 17, 2007",UTEP Miners,Southern Mississippi Golden Eagles,"4-7, 2-5 Conf","6-5, 5-3 Conf",30,56,,,Final,,7,3,13,7,,7,7,21,21,,NCAAF
273282572,2007,"November 24, 2007",Southern Mississippi Golden Eagles,Arkansas State Red Wolves,"7-5, 3-3 Home","5-7, 0-6 Away",16,10,,,Final,,0,7,3,6,,0,3,7,0,,NCAAF
273562132,2007,"December 22, 2007",Cincinnati Bearcats,Southern Mississippi Golden Eagles,"10-3, 5-2 Home","7-6, 4-3 Away",31,21,,,Final,,0,14,17,0,,7,0,7,7,,NCAAF
