ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
332500077,2013,"September 07, 2013",Northwestern Wildcats,Syracuse Orange,"2-0, 1-0 Home","0-2, 0-2 Away",48,27,,,Final,BTN,10,24,0,14,,0,7,6,14,,NCAAF
332640183,2013,"September 21, 2013",Syracuse Orange,Tulane Green Wave,"2-2, 2-0 Home","2-2, 1-1 Away",52,17,,,Final,,21,21,7,3,,10,7,0,0,,NCAAF
332850152,2013,"October 12, 2013",NC State Wolfpack,Syracuse Orange,"3-3, 0-3 Conf","3-3, 1-1 Conf",10,24,,,Final,,0,7,0,3,,0,7,3,14,,NCAAF
333060183,2013,"November 02, 2013",Syracuse Orange,Wake Forest Demon Deacons,"4-4, 2-2 Conf","4-5, 2-4 Conf",13,0,,,Final,,0,0,13,0,,0,0,0,0,,NCAAF
333200052,2013,"November 16, 2013",Florida State Seminoles,Syracuse Orange,"10-0, 8-0 Conf","5-5, 3-3 Conf",59,3,,,Final,ABC/ESPN2,28,10,21,0,,0,0,0,3,,NCAAF
332430213,2013,"August 31, 2013",Penn State Nittany Lions,Syracuse Orange,1-0,0-1,23,17,,,Final,ABC/ESPN2,0,6,7,10,,0,3,7,7,,NCAAF
332570183,2013,"September 14, 2013",Syracuse Orange,Wagner Seahawks,"1-2, 1-0 Home","1-2, 0-1 Away",54,0,,,Final,ESPN3,9,28,17,0,,0,0,0,0,,NCAAF
332780183,2013,"October 05, 2013",Syracuse Orange,Clemson Tigers,"2-3, 0-1 Conf","5-0, 3-0 Conf",14,49,,,Final,ABC/ESPN2,0,7,7,0,,21,14,7,7,,NCAAF
332920059,2013,"October 19, 2013",Georgia Tech Yellow Jackets,Syracuse Orange,"4-3, 3-2 Conf","3-4, 1-2 Conf",56,0,,,Final,,14,14,21,7,,0,0,0,0,,NCAAF
333130120,2013,"November 09, 2013",Maryland Terrapins,Syracuse Orange,"5-4, 1-4 Conf","5-4, 3-2 Conf",3,20,,,Final,,0,0,3,0,,7,3,3,7,,NCAAF
333270183,2013,"November 23, 2013",Syracuse Orange,Pittsburgh Panthers,"5-6, 3-4 Conf","6-5, 3-4 Conf",16,17,,,Final,ESPN3,6,3,7,0,,0,10,7,0,,NCAAF
333340183,2013,"November 30, 2013",Syracuse Orange,Boston College Eagles,"6-6, 4-4 Conf","7-5, 4-4 Conf",34,31,,,Final,,0,21,3,10,,7,7,7,10,,NCAAF
333610135,2013,"December 27, 2013",Minnesota Golden Gophers,Syracuse Orange,8-5,7-6,17,21,,,Final,ESPN,0,3,0,14,,0,7,7,7,,NCAAF
