ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
212512567,2001,"September 08, 2001",Southern Methodist Mustangs,TCU Horned Frogs,"0-2, 0-1 Home","2-0, 2-0 Away",10,38,,,Final,,N,U,L,L,,N,U,L,L,,NCAAF
212652628,2001,"September 22, 2001",TCU Horned Frogs,Northwestern State Demons,"2-1, 0-1 Home","3-0, 2-0 Away",24,27,,,Final/OT,,N,U,L,L,,N,U,L,L,,NCAAF
212862655,2001,"October 13, 2001",Tulane Green Wave,TCU Horned Frogs,"2-5, 1-2 Conf","3-2, 1-1 Conf",48,22,,,Final,,N,U,L,L,,N,U,L,L,,NCAAF
213032628,2001,"October 30, 2001",TCU Horned Frogs,East Carolina Pirates,"4-3, 2-2 Conf","5-3, 4-0 Conf",30,37,,,Final,,N,U,L,L,,N,U,L,L,,NCAAF
213272628,2001,"November 23, 2001",TCU Horned Frogs,Louisville Cardinals,"5-4, 3-3 Conf","10-2, 6-1 Conf",37,22,,,Final,,14,13,7,3,,7,7,0,8,,NCAAF
212440249,2001,"September 01, 2001",North Texas Mean Green,TCU Horned Frogs,"0-1, 0-1 Home","1-0, 1-0 Away",5,19,,,Final,,N,U,L,L,,N,U,L,L,,NCAAF
212720248,2001,"September 29, 2001",Houston Cougars,TCU Horned Frogs,"0-3, 0-1 Conf","3-1, 1-0 Conf",17,34,,,Final,,N,U,L,L,,N,U,L,L,,NCAAF
212932628,2001,"October 20, 2001",TCU Horned Frogs,Army Black Knights,"4-2, 2-1 Conf","1-5, 1-4 Conf",38,20,,,Final,,N,U,L,L,,N,U,L,L,,NCAAF
213140005,2001,"November 10, 2001",UAB Blazers,TCU Horned Frogs,"5-4, 4-2 Conf","4-4, 2-3 Conf",38,17,,,Final,,N,U,L,L,,N,U,L,L,,NCAAF
213412572,2001,"December 07, 2001",Southern Mississippi Golden Eagles,TCU Horned Frogs,"6-5, 4-3 Conf","6-4, 4-3 Conf",12,14,,,Final,,N,U,L,L,,N,U,L,L,,NCAAF
213620245,2001,"December 28, 2001",Texas A&M Aggies,TCU Horned Frogs,"8-4, 6-1 Home","6-5, 4-3 Away",28,9,,,Final,,0,14,7,7,,0,7,0,2,,NCAAF
