ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
232490245,2003,"September 06, 2003",Texas A&M Aggies,Utah Utes,"2-0, 2-0 Home","1-1, 0-1 Away",28,26,,,Final,,14,7,0,7,,0,0,13,13,,NCAAF
232700245,2003,"September 27, 2003",Texas A&M Aggies,Pittsburgh Panthers,"2-2, 2-1 Home","3-1, 1-1 Away",26,37,,,Final,ABCR,0,13,0,13,,9,0,21,7,,NCAAF
232840245,2003,"October 11, 2003",Texas A&M Aggies,Baylor Bears,"3-3, 1-1 Conf","3-3, 1-1 Conf",73,10,,,Final,,10,28,21,14,,3,7,0,0,,NCAAF
232980245,2003,"October 25, 2003",Texas A&M Aggies,Oklahoma State Cowboys,"3-5, 1-3 Conf","7-1, 3-1 Conf",10,38,,,Final,ABCR,0,0,0,10,,14,7,10,7,,NCAAF
233120201,2003,"November 08, 2003",Oklahoma Sooners,Texas A&M Aggies,"10-0, 6-0 Conf","4-6, 2-4 Conf",77,0,,,Final,ABCR,14,35,28,0,,0,0,0,0,,NCAAF
232420245,2003,"August 30, 2003",Texas A&M Aggies,Arkansas State Red Wolves,"1-0, 1-0 Home","0-1, 0-1 Away",26,11,,,Final,,0,9,10,7,,0,3,0,8,,NCAAF
232610259,2003,"September 18, 2003",Virginia Tech Hokies,Texas A&M Aggies,"3-0, 3-0 Home","2-1, 0-1 Away",35,19,,,Final,ESPN,7,7,7,14,,3,9,0,7,,NCAAF
232772641,2003,"October 04, 2003",Texas Tech Red Raiders,Texas A&M Aggies,"4-1, 1-0 Conf","2-3, 0-1 Conf",59,28,,,Final,,17,14,21,7,,0,14,0,14,,NCAAF
232910158,2003,"October 18, 2003",Nebraska Cornhuskers,Texas A&M Aggies,"6-1, 2-1 Conf","3-4, 1-2 Conf",48,12,,,Final,,20,0,14,14,,3,0,3,6,,NCAAF
233050245,2003,"November 01, 2003",Texas A&M Aggies,Kansas Jayhawks,"4-5, 2-3 Conf","5-4, 2-3 Conf",45,33,,,Final,,7,7,24,7,,7,7,6,13,,NCAAF
233190142,2003,"November 15, 2003",Missouri Tigers,Texas A&M Aggies,"7-3, 3-3 Conf","4-7, 2-5 Conf",45,22,,,Final,,16,6,9,14,,0,6,3,13,,NCAAF
233320245,2003,"November 28, 2003",Texas A&M Aggies,Texas Longhorns,"4-8, 2-6 Conf","10-2, 7-1 Conf",15,46,,,Final,ABCR,0,9,6,0,,14,6,16,10,,NCAAF
