ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
400548412,2014,"September 13, 2014",Texas State Bobcats,Navy Midshipmen,"1-1, 1-1 Home","2-1, 2-0 Away",21,35,,,Final,ESPNN,0,7,0,14,,14,14,0,7,,NCAAF
400547680,2014,"September 27, 2014",Tulsa Golden Hurricane,Texas State Bobcats,"1-3, 1-2 Home","2-2, 1-1 Away",34,37,,,Final/3OT,ESPNN,0,0,3,14,17,0,7,10,0,20,NCAAF
400548427,2014,"October 14, 2014",Texas State Bobcats,Louisiana Ragin' Cajuns,"3-3, 1-1 Conf","3-3, 2-0 Conf",10,34,,,Final,ESPN2,0,3,0,7,,7,14,7,6,,NCAAF
400548439,2014,"November 1, 2014",New Mexico State Aggies,Texas State Bobcats,"2-7, 1-4 Conf","5-3, 3-1 Conf",29,37,,,Final,NULL,7,7,7,8,,17,0,20,0,,NCAAF
400548449,2014,"November 15, 2014",South Alabama Jaguars,Texas State Bobcats,"6-4, 5-3 Conf","5-5, 3-3 Conf",24,20,,,Final,ESPN3,0,10,7,7,,10,7,0,3,,NCAAF
400548407,2014,"August 30, 2014",Texas State Bobcats,Arkansas-Pine Bluff Golden Lions,"1-0, 1-0 Home","0-1, 0-1 Away",65,0,,,Final,NULL,14,28,9,14,,0,0,0,0,,NCAAF
400547907,2014,"September 20, 2014",Illinois Fighting Illini,Texas State Bobcats,"3-1, 3-0 Home","1-2, 0-1 Away",42,35,,,Final,ESPNN,6,7,12,17,,14,7,7,7,,NCAAF
400548422,2014,"October 4, 2014",Texas State Bobcats,Idaho Vandals,"2-2, 1-0 Conf","0-5, 0-3 Conf",35,30,,,Final,ESPN3,7,14,0,14,,3,0,13,14,,NCAAF
400548433,2014,"October 25, 2014",Louisiana Monroe Warhawks,Texas State Bobcats,"3-4, 2-2 Conf","4-3, 2-1 Conf",18,22,,,Final,NULL,3,10,5,0,,0,0,7,15,,NCAAF
400548443,2014,"November 8, 2014",Texas State Bobcats,Georgia Southern Eagles,"5-4, 3-2 Conf","8-2, 7-0 Conf",25,28,,,Final,ESPN3,0,3,7,15,,7,7,14,0,,NCAAF
400550421,2014,"November 20, 2014",Texas State Bobcats,Arkansas State Red Wolves,"6-5, 4-3 Conf","6-5, 4-3 Conf",45,27,,,Final,ESPNU,7,21,3,14,,0,14,6,7,,NCAAF
400548456,2014,"November 29, 2014",Georgia State Panthers,Texas State Bobcats,"1-11, 0-8 Conf","7-5, 5-3 Conf",31,54,,,Final,ESPN3,3,0,7,21,,3,24,13,14,,NCAAF
