ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
242552305,2004,"September 11, 2004",Kansas Jayhawks,Toledo Rockets,"2-0, 2-0 Home","0-2, 0-2 Away",63,14,,,Final,,28,21,7,7,,0,7,7,0,,NCAAF
242692649,2004,"September 25, 2004",Toledo Rockets,Temple Owls,"2-2, 1-0 Home","1-3, 0-2 Away",45,17,,,Final,,7,17,7,14,,10,0,7,0,,NCAAF
242832711,2004,"October 09, 2004",Western Michigan Broncos,Toledo Rockets,"1-4, 0-2 Conf","4-2, 3-0 Conf",33,59,,,Final,,10,10,6,7,,10,35,14,0,,NCAAF
242972649,2004,"October 23, 2004",Toledo Rockets,Central Michigan Chippewas,"6-2, 5-0 Conf","2-5, 1-3 Conf",27,22,,,Final,,3,21,3,0,,0,10,0,12,,NCAAF
243142459,2004,"November 09, 2004",Northern Illinois Huskies,Toledo Rockets,"7-3, 6-1 Conf","7-3, 6-1 Conf",17,31,,,Final,ESPN2,10,7,0,0,,0,14,10,7,,NCAAF
242480135,2004,"September 04, 2004",Minnesota Golden Gophers,Toledo Rockets,"1-0, 1-0 Home","0-1, 0-1 Away",63,21,,,Final,,21,21,14,7,,7,0,0,14,,NCAAF
242622199,2004,"September 18, 2004",Eastern Michigan Eagles,Toledo Rockets,"1-2, 1-1 Conf","1-2, 1-0 Conf",32,42,,,Final,,7,10,0,15,,7,14,21,0,,NCAAF
242762649,2004,"October 02, 2004",Toledo Rockets,Ball State Cardinals,"3-2, 2-0 Conf","1-4, 1-1 Conf",52,14,,,Final,,21,10,7,14,,0,14,0,0,,NCAAF
242902649,2004,"October 16, 2004",Toledo Rockets,Ohio Bobcats,"5-2, 4-0 Conf","3-4, 1-3 Conf",31,13,,,Final,ESPN,7,3,21,0,,2,3,0,8,,NCAAF
243070193,2004,"November 02, 2004",Miami (OH) RedHawks,Toledo Rockets,"6-3, 5-1 Conf","6-3, 5-1 Conf",23,16,,,Final,ESPN2,6,7,3,7,,6,7,3,0,,NCAAF
243282649,2004,"November 23, 2004",Toledo Rockets,Bowling Green Falcons,"8-3, 7-1 Conf","8-3, 6-2 Conf",49,41,,,Final,ESPN2,7,0,27,15,,17,10,0,14,,NCAAF
243370193,2004,"December 02, 2004",Miami (OH) RedHawks,Toledo Rockets,"8-4, 7-1 Conf","9-3, 7-1 Conf",27,35,,,Final,,14,0,6,7,,7,0,21,7,,NCAAF
243622649,2004,"December 27, 2004",Connecticut Huskies,Toledo Rockets,"8-4, 7-1 Home","9-4, 4-4 Away",39,10,,,Final,,17,13,3,6,,0,7,3,0,,NCAAF
