ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
400756910,2015,"September 12, 2015",Georgia Tech Yellow Jackets,Tulane Green Wave,"2-0, 2-0 Home","0-2, 0-1 Away",65,10,,,Final,ESPN3,7,21,16,21,,0,7,0,3,,NCAAF
400764878,2015,"October 03, 2015",Tulane Green Wave,UCF Knights,"2-2, 1-0 Conf","0-5, 0-1 Conf",45,31,,,Final,ESPNN,7,17,14,7,,7,3,0,21,,NCAAF
400764885,2015,"October 16, 2015",Tulane Green Wave,Houston Cougars,"2-4, 1-2 Conf","6-0, 3-0 Conf",7,42,,,Final,ESPNU,0,7,0,0,,7,21,14,0,,NCAAF
400764898,2015,"October 31, 2015",Memphis Tigers,Tulane Green Wave,"8-0, 4-0 Conf","2-6, 1-4 Conf",41,13,,,Final,CBSSN,0,15,12,14,,6,7,0,0,,NCAAF
400760498,2015,"November 14, 2015",Army Black Knights,Tulane Green Wave,"2-8, 1-4 Home","3-7, 1-4 Away",31,34,,,Final,CBSSN,7,14,0,10,,7,21,0,6,,NCAAF
400756894,2015,"September 03, 2015",Tulane Green Wave,Duke Blue Devils,"0-1, 0-1 Home","1-0, 1-0 Away",7,37,,,Final,CBSSN,0,0,0,7,,3,10,3,21,,NCAAF
400764867,2015,"September 19, 2015",Tulane Green Wave,Maine Black Bears,"1-2, 1-1 Home","0-2, 0-2 Away",38,7,,,Final,ESPN3,3,21,14,0,,7,0,0,0,,NCAAF
400764882,2015,"October 10, 2015",Temple Owls,Tulane Green Wave,"5-0, 2-0 Conf","2-3, 1-1 Conf",49,10,,,Final,ESPNU,7,14,21,7,,3,7,0,0,,NCAAF
400764893,2015,"October 24, 2015",Navy Midshipmen,Tulane Green Wave,"5-1, 3-0 Conf","2-5, 1-3 Conf",31,14,,,Final,CBSSN,7,3,7,14,,0,7,0,7,,NCAAF
400764905,2015,"November 07, 2015",Tulane Green Wave,Connecticut Huskies,"2-7, 1-5 Conf","5-5, 3-3 Conf",3,7,,,Final,ESPNN,0,3,0,0,,7,0,0,0,,NCAAF
400764914,2015,"November 21, 2015",SMU Mustangs,Tulane Green Wave,"2-9, 1-6 Conf","3-8, 1-6 Conf",49,21,,,Final,ESPNN,14,21,0,14,,0,7,7,7,,NCAAF
400764922,2015,"November 27, 2015",Tulane Green Wave,Tulsa Golden Hurricane,"3-9, 1-7 Conf","6-6, 3-5 Conf",34,45,,,Final,ESPNU,7,17,3,7,,7,7,10,21,,NCAAF
