ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
401117501,2019,"September 07, 2019",San Jose State Spartans,Tulsa Golden Hurricane,"1-1, 1-1 Home","1-1, 1-1 Away",16,34,TLSA -6.0,54,Final,ESPN3,3,7,0,6,,7,10,3,14,,NCAAF
401117509,2019,"September 21, 2019",Tulsa Golden Hurricane,Wyoming Cowboys,"2-2, 1-1 Home","3-1, 1-1 Away",24,21,TLSA -4.5,46,Final,CBSSN,0,14,3,7,,7,0,0,14,,NCAAF
401117882,2019,"October 12, 2019",Tulsa Golden Hurricane,Navy Midshipmen,"2-4, 0-2 Conf","4-1, 2-1 Conf",17,45,TLSA -1.0,53,Final,ESPNU,3,0,7,7,,7,21,0,17,,NCAAF
401117893,2019,"October 26, 2019",Tulsa Golden Hurricane,Memphis Tigers,"2-6, 0-4 Conf","7-1, 3-1 Conf",41,42,MEM -10.0,60,Final,CBSSN,0,17,14,10,,14,14,7,7,,NCAAF
401117900,2019,"November 08, 2019",Tulsa Golden Hurricane,UCF Knights,"3-7, 1-5 Conf","7-3, 4-2 Conf",34,31,UCF -16.5,69,Final,ESPN2,7,10,7,10,,14,14,3,0,,NCAAF
401112212,2019,"August 30, 2019",Michigan State Spartans,Tulsa Golden Hurricane,"1-0, 1-0 Home","0-1, 0-1 Away",28,7,MSU -23.5,48,Final,FS1,7,18,3,0,,0,7,0,0,,NCAAF
401112124,2019,"September 14, 2019",Tulsa Golden Hurricane,Oklahoma State Cowboys,"1-2, 0-1 Home","3-0, 2-0 Away",21,40,OKST -14.0,65,Final,ESPN2,7,14,0,0,,17,3,13,7,,NCAAF
401117878,2019,"October 05, 2019",SMU Mustangs,Tulsa Golden Hurricane,"6-0, 2-0 Conf","2-3, 0-1 Conf",43,37,SMU -12.0,64,Final/3OT,ESPNU,6,3,0,21,13.0,3,20,7,0,7.0,NCAAF
401117885,2019,"October 19, 2019",Cincinnati Bearcats,Tulsa Golden Hurricane,"6-1, 3-0 Conf","2-5, 0-3 Conf",24,13,CIN -16.0,47,Final,ESPNU,10,0,7,7,,0,7,3,3,,NCAAF
401117898,2019,"November 02, 2019",Tulane Green Wave,Tulsa Golden Hurricane,"6-3, 3-2 Conf","2-7, 0-5 Conf",38,26,TULN -10.0,60,Final,ESPN2,10,14,7,7,,0,16,0,10,,NCAAF
401117910,2019,"November 23, 2019",Tulsa Golden Hurricane,Houston Cougars,"3-8, 1-6 Conf","4-7, 2-5 Conf",14,24,TLSA -6.0,57,Final,ESPNU,7,0,0,7,,0,14,3,7,,NCAAF
401117915,2019,"November 30, 2019",East Carolina Pirates,Tulsa Golden Hurricane,"4-8, 1-7 Conf","4-8, 2-6 Conf",24,49,TLSA -7.0,64,Final,ESPNU,3,0,7,14,,7,14,14,14,,NCAAF
