ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League,home_first_downs,away_first_downs,home_total_yards,away_total_yards,home_passing_yards,away_passing_yards,home_rushing_yards,away_rushing_yards,home_penalties,away_penalties,home_turnovers,away_turnovers,home_possession,away_possession,home_third_down_eff,away_third_down_eff,home_fourth_down_eff,away_fourth_down_eff,home_completions_attempts,away_completions_attempts,home_yards_per_pass,away_yards_per_pass,home_interceptions_thrown,away_interceptions_thrown,home_rushing_attempts,away_rushing_attempts,home_yards_per_rush,away_yards_per_rush,home_fumbles_lost,away_fumbles_lost,home_total_plays,away_total_plays,home_total_drives,away_total_drives,home_yards_per_play,away_yards_per_play,home_redzone_made_att,away_redzone_made_att,home_dst_touchdowns,away_dst_touchdowns,home_passing_first_downs,away_passing_first_downs,home_rushing_first_downs,away_rushing_first_downs,home_first_downs_from_penalties,away_first_downs_from_penalties,home_sacks_yards_lost,away_sacks_yards_lost
312600005,2011,"September 17, 2011",UAB Blazers,Tulane Green Wave,"0-2, 0-1 Conf","2-1, 1-1 Conf",10,49,,,Final,,7,0,3,0,,14,14,7,14,,NCAAF,10,28,193,540,145,278,48,262,3-25,4-47,3,0,10:23,25:01,3-10,6-12,0-1,3-4,10-28,23-27,5.2,10.3,3,0,17,49,2.8,5.3,0,0,,,,,,,,,,,,,,,,,,
312742653,2011,"October 01, 2011",Troy Trojans,UAB Blazers,"2-2, 2-0 Home","0-4, 0-3 Away",24,23,,,Final,,7,7,0,10,,7,6,10,0,,NCAAF,25,18,521,356,349,196,172,160,10-72,4-28,3,1,16:04,19:22,7-17,5-19,0-1,1-2,30-50,19-39,7.0,5.0,1,1,37,39,4.6,4.1,2,0,,,,,,,,,,,,,,,,,,
312880202,2011,"October 15, 2011",Tulsa Golden Hurricane,UAB Blazers,"3-3, 2-0 Conf","0-6, 0-3 Conf",37,20,,,Final,,10,14,6,7,,7,13,0,0,,NCAAF,30,19,559,379,360,310,218,81,5-42,8-65,4,2,18:53,17:18,7-15,3-15,1-2,0-0,31-43,21-44,7.9,6.8,1,2,44,27,5.0,3.0,3,0,,,,,,,,,,,,,,,,,,
313020276,2011,"October 29, 2011",Marshall Thundering Herd,UAB Blazers,"4-5, 3-2 Conf","1-7, 1-4 Conf",59,14,,,Final,,10,28,14,7,,0,0,7,7,,NCAAF,21,19,429,310,297,267,138,70,8-60,4-40,1,5,18:18,18:22,6-13,2-11,0-0,0-3,21-30,21-43,9.7,5.6,1,3,36,34,3.8,2.1,0,2,,,,,,,,,,,,,,,,,,
313160235,2011,"November 12, 2011",Memphis Tigers,UAB Blazers,"2-8, 1-5 Conf","2-8, 2-5 Conf",35,41,,,Final,,14,7,14,0,,3,7,7,24,,NCAAF,20,31,384,601,167,422,217,191,5-55,5-42,0,2,16:05,19:52,5-12,7-13,0-1,1-1,16-29,29-48,5.8,8.5,0,0,33,33,6.6,5.8,0,2,,,,,,,,,,,,,,,,,,
312530057,2011,"September 10, 2011",Florida Gators,UAB Blazers,"2-0, 2-0 Home","0-1, 0-1 Away",39,0,,,Final,,13,12,14,0,,0,0,0,0,,NCAAF,28,11,512,212,212,141,300,71,9-55,9-55,0,1,22:29,14:11,4-12,1-10,1-2,0-3,13-20,15-29,10.6,4.9,0,0,55,23,5.5,3.1,0,1,,,,,,,,,,,,,,,,,,
312670151,2011,"September 24, 2011",East Carolina Pirates,UAB Blazers,"1-2, 1-0 Conf","0-3, 0-2 Conf",28,23,,,Final,,7,7,14,0,,7,3,7,6,,NCAAF,31,24,542,400,374,295,181,117,4-60,0-0,7,3,17:04,19:36,4-5,8-17,0-0,0-1,35-42,31-48,8.6,5.9,3,1,32,33,5.7,3.5,4,2,,,,,,,,,,,,,,,,,,
312810005,2011,"October 08, 2011",UAB Blazers,Mississippi State Bulldogs,"0-5, 0-2 Home","3-3, 2-2 Away",3,21,,,Final,,0,3,0,0,,0,0,7,14,,NCAAF,19,23,340,416,198,231,145,204,7-79,2-25,2,0,18:02,18:09,6-15,6-13,0-1,0-0,18-36,17-23,5.4,9.2,1,0,35,43,4.1,4.7,1,0,,,,,,,,,,,,,,,,,,
312930005,2011,"October 20, 2011",UAB Blazers,UCF Knights,"1-6, 1-3 Conf","3-4, 1-2 Conf",26,24,,,Final,,7,9,0,10,,14,0,0,10,,NCAAF,27,19,501,331,328,235,174,96,5-45,5-45,2,2,20:30,15:10,9-15,5-10,0-1,0-1,31-42,19-32,7.8,7.3,2,2,36,24,4.8,4.0,0,0,,,,,,,,,,,,,,,,,,
313090005,2011,"November 05, 2011",UAB Blazers,Houston Cougars,"1-8, 1-5 Conf","9-0, 5-0 Conf",13,56,,,Final,,7,3,3,0,,7,14,14,21,,NCAAF,17,34,269,654,175,488,115,166,6-62,8-77,1,1,18:57,17:09,3-13,8-12,0-0,1-2,17-31,43-51,5.0,9.6,1,0,33,32,3.5,5.2,0,1,,,,,,,,,,,,,,,,,,
313210005,2011,"November 17, 2011",UAB Blazers,Southern Mississippi Golden Eagles,"3-8, 3-5 Conf","9-2, 5-2 Conf",34,31,,,Final,,14,10,0,10,,14,7,3,7,,NCAAF,23,28,425,523,236,280,189,251,4-40,5-41,1,4,22:23,13:44,12-17,4-10,0-0,2-3,17-26,22-31,9.1,8.8,0,1,52,35,3.6,7.2,1,3,,,,,,,,,,,,,,,,,,
313302226,2011,"November 26, 2011",Florida Atlantic Owls,UAB Blazers,"1-10, 1-3 Home","3-9, 1-6 Away",38,35,,,Final,,7,10,7,14,,7,7,14,7,,NCAAF,24,24,416,382,181,205,235,192,7-70,4-28,1,2,19:24,17:16,5-13,8-11,5-5,0-0,16-25,17-26,7.2,7.3,0,1,46,40,5.1,4.8,1,1,,,,,,,,,,,,,,,,,,
