ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
400944842,2017,"September 23, 2017",Louisiana Ragin' Cajuns,Louisiana Monroe Warhawks,"1-3, 0-1 Conf","1-2, 1-0 Conf",50,56,,,Final/2OT,ESPN3,0,13,9,21,7.0,9,14,7,13,13.0,NCAAF
400944849,2017,"October 07, 2017",Texas State Bobcats,Louisiana Monroe Warhawks,"1-5, 0-2 Conf","3-2, 3-0 Conf",27,45,,,Final,ESPN3,20,0,0,7,,19,7,9,10,,NCAAF
400944859,2017,"October 21, 2017",South Alabama Jaguars,Louisiana Monroe Warhawks,"3-4, 2-1 Conf","3-4, 3-2 Conf",33,23,,,Final,ESPN3,14,10,6,3,,7,13,3,0,,NCAAF
400944867,2017,"November 04, 2017",Louisiana Monroe Warhawks,Appalachian State Mountaineers,"4-5, 4-3 Conf","5-4, 4-1 Conf",52,45,,,Final,ESPN3,14,14,7,17,,0,24,14,7,,NCAAF
400944880,2017,"November 25, 2017",Louisiana Monroe Warhawks,Arkansas State Red Wolves,"4-7, 4-4 Conf","7-3, 6-1 Conf",50,67,,,Final,ESPN3,14,7,14,15,,7,21,21,18,,NCAAF
400941789,2017,"August 31, 2017",Memphis Tigers,Louisiana Monroe Warhawks,"1-0, 1-0 Home","0-1, 0-1 Away",37,29,,,Final,CBSSN,7,13,17,0,,7,0,7,15,,NCAAF
400938611,2017,"September 16, 2017",Louisiana Monroe Warhawks,Southern Mississippi Golden Eagles,"0-2, 0-1 Home","2-1, 1-0 Away",17,28,,,Final,ESPN3,0,10,7,0,,7,14,7,0,,NCAAF
400944844,2017,"September 30, 2017",Louisiana Monroe Warhawks,Coastal Carolina Chanticleers,"2-2, 2-0 Conf","1-3, 0-1 Conf",51,43,,,Final,ESPN3,10,21,14,6,,15,7,8,13,,NCAAF
400944856,2017,"October 14, 2017",Louisiana Monroe Warhawks,Georgia State Panthers,"3-3, 3-1 Conf","3-2, 2-0 Conf",37,47,,,Final,ESPN3,10,0,14,13,,13,13,14,7,,NCAAF
400944865,2017,"October 28, 2017",Idaho Vandals,Louisiana Monroe Warhawks,"3-5, 2-2 Conf","3-5, 3-3 Conf",31,23,,,Final,ESPN3,14,14,3,0,,0,7,6,10,,NCAAF
400933923,2017,"November 18, 2017",Auburn Tigers,Louisiana Monroe Warhawks,"9-2, 6-0 Home","4-6, 2-4 Away",42,14,,,Final,ESPN2,7,7,14,14,,7,0,0,7,,NCAAF
401000149,2017,"December 02, 2017",Florida State Seminoles,Louisiana Monroe Warhawks,"6-6, 3-3 Home","4-8, 2-5 Away",42,10,,,Final,ACCNX,7,7,14,14,,0,0,10,0,,NCAAF
