ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League,home_first_downs,away_first_downs,home_total_yards,away_total_yards,home_passing_yards,away_passing_yards,home_rushing_yards,away_rushing_yards,home_penalties,away_penalties,home_turnovers,away_turnovers,home_possession,away_possession,home_third_down_eff,away_third_down_eff,home_fourth_down_eff,away_fourth_down_eff,home_completions_attempts,away_completions_attempts,home_yards_per_pass,away_yards_per_pass,home_interceptions_thrown,away_interceptions_thrown,home_rushing_attempts,away_rushing_attempts,home_yards_per_rush,away_yards_per_rush,home_fumbles_lost,away_fumbles_lost,home_total_plays,away_total_plays,home_total_drives,away_total_drives,home_yards_per_play,away_yards_per_play,home_redzone_made_att,away_redzone_made_att,home_dst_touchdowns,away_dst_touchdowns,home_passing_first_downs,away_passing_first_downs,home_rushing_first_downs,away_rushing_first_downs,home_first_downs_from_penalties,away_first_downs_from_penalties,home_sacks_yards_lost,away_sacks_yards_lost
282502638,2008,"September 06, 2008",UTEP Miners,Texas Longhorns,"0-2, 0-1 Home","2-0, 1-0 Away",13,42,,,Final,ESPN2,6,7,0,0,,7,21,0,14,,NCAAF,23,26,412,404,284,287,145,122,11-97,5-45,1,1,22:01,13:53,7-17,1-6,0-1,0-0,25-46,20-29,5.8,9.7,0,1,31,31,4.7,3.9,1,0,,,,,,,,,,,,,,,,,,
282712638,2008,"September 27, 2008",UTEP Miners,UCF Knights,"1-3, 1-0 Conf","1-3, 0-1 Conf",58,13,,,Final,,10,17,14,17,,0,7,6,0,,NCAAF,15,17,403,336,284,179,119,175,7-75,4-51,1,7,19:16,17:23,7-17,3-14,0-0,0-2,20-35,14-34,8.1,4.7,1,2,31,39,3.8,4.5,0,5,,,,,,,,,,,,,,,,,,
282852638,2008,"October 11, 2008",UTEP Miners,Tulane Green Wave,"3-3, 3-0 Conf","2-4, 1-2 Conf",24,21,,,Final,,7,7,3,7,,14,7,0,0,,NCAAF,20,20,452,412,304,105,156,318,7-94,5-48,1,0,19:14,17:26,7-14,4-10,1-2,0-1,21-32,11-22,9.3,4.3,0,0,34,39,4.6,8.2,1,0,,,,,,,,,,,,,,,,,,
283062638,2008,"November 01, 2008",UTEP Miners,Rice Owls,"3-5, 3-2 Conf","6-3, 5-1 Conf",44,49,,,Final,,17,3,10,14,,14,14,7,14,,NCAAF,22,31,467,543,327,403,149,167,7-67,10-93,1,0,16:43,19:49,3-10,9-16,1-1,2-2,20-38,29-43,8.4,8.7,1,0,23,41,6.5,4.1,0,0,,,,,,,,,,,,,,,,,,
283202638,2008,"November 15, 2008",UTEP Miners,SMU Mustangs,"5-5, 4-2 Conf","1-10, 0-7 Conf",36,10,,,Final,,10,16,10,0,,3,0,0,7,,NCAAF,24,14,544,201,437,147,134,64,8-80,6-48,0,6,22:00,14:00,4-14,3-13,0-3,0-0,21-34,13-36,12.1,3.8,0,4,44,20,3.0,3.2,0,2,,,,,,,,,,,,,,,,,,
282412084,2008,"August 28, 2008",Buffalo Bulls,UTEP Miners,"1-0, 1-0 Home","0-1, 0-1 Away",42,17,,,Final,,14,7,7,14,,0,14,3,0,,NCAAF,24,15,484,266,238,212,263,67,6-60,2-14,3,3,19:44,16:00,7-11,7-16,1-1,0-2,10-16,20-37,13.8,5.4,0,3,50,26,5.3,2.6,3,0,,,,,,,,,,,,,,,,,,
282642638,2008,"September 20, 2008",UTEP Miners,New Mexico State Aggies,"0-3, 0-2 Home","1-1, 1-1 Away",33,34,,,Final,,10,10,7,6,,0,21,7,6,,NCAAF,22,21,372,366,115,347,277,37,5-45,6-50,3,4,20:29,16:01,7-17,5-12,0-1,1-2,11-26,29-39,3.7,8.4,0,2,48,25,5.8,1.5,3,2,,,,,,,,,,,,,,,,,,
282782572,2008,"October 04, 2008",Southern Mississippi Golden Eagles,UTEP Miners,"2-3, 0-2 Conf","2-3, 2-0 Conf",37,40,,,Final/OT,,14,0,7,6,10.0,7,10,3,7,13.0,NCAAF,26,25,541,382,274,286,277,116,8-95,3-30,1,0,16:12,19:23,10-16,8-16,0-0,2-3,21-37,25-44,7.1,6.0,1,0,45,32,6.2,3.6,0,0,,,,,,,,,,,,,,,,,,
282920202,2008,"October 18, 2008",Tulsa Golden Hurricane,UTEP Miners,"7-0, 4-0 Conf","3-4, 3-1 Conf",77,35,,,Final,,28,21,21,7,,28,0,7,0,,NCAAF,36,14,791,338,470,355,321,32,5-40,2-20,1,0,20:16,15:20,9-12,2-11,1-2,0-0,23-30,21-37,15.7,8.3,1,0,54,21,5.9,1.5,0,0,,,,,,,,,,,,,,,,,,
283130309,2008,"November 08, 2008",Louisiana Ragin' Cajuns,UTEP Miners,"5-4, 3-1 Home","4-5, 2-2 Away",24,37,,,Final,,7,3,7,7,,7,9,14,7,,NCAAF,18,25,384,408,185,316,199,114,4-23,6-40,4,2,15:28,21:12,5-9,8-12,0-1,0-0,14-25,24-33,7.4,8.9,3,1,35,33,5.7,3.5,1,1,,,,,,,,,,,,,,,,,,
283270248,2008,"November 22, 2008",Houston Cougars,UTEP Miners,"7-4, 6-1 Conf","5-6, 4-3 Conf",42,37,,,Final,,0,9,7,26,,7,14,7,9,,NCAAF,32,25,700,464,495,372,220,102,8-62,5-41,3,0,16:19,20:21,6-14,6-13,1-1,0-0,41-51,27-45,9.4,8.0,1,0,32,33,6.9,3.1,2,0,,,,,,,,,,,,,,,,,,
