ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
401114229,2019,"Sat, Sep 7",Washington State Cougars,Northern Colorado Bears,"2-0, 2-0 Home","0-2, 0-2 Away",59,17,NULL,NULL,Final,NULL,14,10,21,14,NULL,7,3,0,7,NULL,NCAAF
401114215,2019,"Sat, Sep 21",Washington State Cougars,UCLA Bruins,"3-1, 0-1 Conf","1-3, 1-0 Conf",63,67,WSU -18.5,60,Final,ESPN,7,28,14,14,NULL,10,7,21,29,NULL,NCAAF
401114157,2019,"Sat, Oct 12",Arizona State Sun Devils,Washington State Cougars,"5-1, 2-1 Conf","3-3, 0-3 Conf",38,34,WSU -2.5,62,Final,PAC12,0,17,7,14,NULL,10,7,14,3,NULL,NCAAF
401114197,2019,"Sat, Oct 26",Oregon Ducks,Washington State Cougars,"7-1, 5-0 Conf","4-4, 1-4 Conf",37,35,ORE -14.0,68,Final,ESPN,9,8,7,13,NULL,3,14,3,15,NULL,NCAAF
401114231,2019,"Sat, Nov 16",Washington State Cougars,Stanford Cardinal,"5-5, 2-5 Conf","4-6, 3-5 Conf",49,22,WSU -10.5,66,Final,PAC12,13,9,10,17,NULL,0,14,8,0,NULL,NCAAF
401114228,2019,"Sat, Aug 31",Washington State Cougars,New Mexico State Aggies,"1-0, 1-0 Home","0-1, 0-1 Away",58,7,WSU -33.5,66,Final,PAC12,14,21,13,10,NULL,7,0,0,0,NULL,NCAAF
401114230,2019,"Fri, Sep 13",Houston Cougars,Washington State Cougars,1-2,3-0,24,31,WSU -9.0,74,Final,ESPN,0,14,0,10,NULL,0,7,14,10,NULL,NCAAF
401114226,2019,"Sat, Sep 28",Utah Utes,Washington State Cougars,"4-1, 1-1 Conf","3-2, 0-2 Conf",38,13,UTAH -5.5,57,Final,FS1,7,14,10,7,NULL,7,6,0,0,NULL,NCAAF
401114187,2019,"Sat, Oct 19",Washington State Cougars,Colorado Buffaloes,"4-3, 1-3 Conf","3-4, 1-3 Conf",41,10,WSU -13.5,68,Final,ESPNU,21,3,7,10,NULL,3,0,7,0,NULL,NCAAF
401114180,2019,"Sat, Nov 9",California Golden Bears,Washington State Cougars,"5-4, 2-4 Conf","4-5, 1-5 Conf",33,20,WSU -8.5,52,Final,PAC12,6,7,7,13,NULL,5,6,3,6,NULL,NCAAF
401114206,2019,"Sat, Nov 23",Washington State Cougars,Oregon State Beavers,"6-5, 3-5 Conf","5-6, 4-4 Conf",54,53,WSU -11.0,78,Final,PAC12,7,14,14,19,NULL,7,17,0,29,NULL,NCAAF
401114232,2019,"Fri, Nov 29",Washington Huskies,Washington State Cougars,"7-5, 4-5 Conf","6-6, 3-6 Conf",31,13,WASH -7.0,66,Final,FOX,7,14,7,3,NULL,7,3,3,0,NULL,NCAAF
401135275,2019,"Fri, Dec 27",Washington State Cougars,Air Force Falcons,6-7,11-2,21,31,AFA -2.5,72,Final,ESPN,0,14,0,7,NULL,0,17,7,7,NULL,NCAAF
