ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League,home_first_downs,away_first_downs,home_total_yards,away_total_yards,home_passing_yards,away_passing_yards,home_rushing_yards,away_rushing_yards,home_penalties,away_penalties,home_turnovers,away_turnovers,home_possession,away_possession,home_third_down_eff,away_third_down_eff,home_fourth_down_eff,away_fourth_down_eff,home_completions_attempts,away_completions_attempts,home_yards_per_pass,away_yards_per_pass,home_interceptions_thrown,away_interceptions_thrown,home_rushing_attempts,away_rushing_attempts,home_yards_per_rush,away_yards_per_rush,home_fumbles_lost,away_fumbles_lost,home_total_plays,away_total_plays,home_total_drives,away_total_drives,home_yards_per_play,away_yards_per_play,home_redzone_made_att,away_redzone_made_att,home_dst_touchdowns,away_dst_touchdowns,home_passing_first_downs,away_passing_first_downs,home_rushing_first_downs,away_rushing_first_downs,home_first_downs_from_penalties,away_first_downs_from_penalties,home_sacks_yards_lost,away_sacks_yards_lost
400763599,2015,"September 10, 2015",Western Kentucky Hilltoppers,Louisiana Tech Bulldogs,"2-0, 1-0 Conf","1-1, 0-1 Conf",41,38,,,Final,FS1,14,13,11,3,,0,17,7,14,,NCAAF,24,28,585,580,441,357,144,223,10-105,5-40,1,2,29:46,30:14,4-13,6-14,1-1,1-3,28-38,28-49,11.6,7.3,0,1,34,31,4.2,7.2,1,1,,,,,,,,,,,,,,,,,,
400763613,2015,"September 26, 2015",Western Kentucky Hilltoppers,Miami (OH) RedHawks,"3-1, 2-0 Home","1-3, 0-2 Away",56,14,,,Final,CBSSN,21,28,0,7,,0,7,0,7,,NCAAF,27,15,569,291,464,168,105,123,6-50,6-36,0,4,29:51,30:09,7-12,7-17,0-1,0-0,34-42,15-28,11.0,6.0,0,3,32,40,3.3,3.1,0,1,,,,,,,,,,,,,,,,,,
400763626,2015,"October 10, 2015",Western Kentucky Hilltoppers,Middle Tennessee Blue Raiders,"5-1, 3-0 Conf","2-4, 1-1 Conf",58,28,,,Final,,28,24,3,3,,7,7,7,7,,NCAAF,24,22,593,419,428,296,165,123,3-35,4-41,2,2,35:07,24:53,11-18,4-14,1-1,2-4,29-37,28-43,11.6,6.9,1,1,40,30,4.1,4.1,1,1,,,,,,,,,,,,,,,,,,
400603888,2015,"October 24, 2015",LSU Tigers,Western Kentucky Hilltoppers,"7-0, 5-0 Home","6-2, 3-2 Away",48,20,,,Final,ESPNU,7,7,20,14,,0,7,6,7,,NCAAF,21,24,497,428,286,325,211,103,7-65,7-62,0,2,30:49,29:11,6-12,5-15,0-0,1-4,11-20,37-61,14.3,5.3,0,1,43,23,4.9,4.5,0,1,,,,,,,,,,,,,,,,,,
400763648,2015,"November 07, 2015",Western Kentucky Hilltoppers,Florida Atlantic Owls,"8-2, 6-0 Conf","2-7, 2-4 Conf",35,19,,,Final,,0,14,14,7,,7,6,6,0,,NCAAF,25,24,514,389,287,191,227,198,7-90,3-30,1,0,28:20,31:40,8-11,5-16,2-2,6-7,25-30,15-34,9.6,5.6,1,0,35,43,6.5,4.6,0,0,,,,,,,,,,,,,,,,,,
400763664,2015,"November 27, 2015",Western Kentucky Hilltoppers,Marshall Thundering Herd,"10-2, 8-0 Conf","9-3, 6-2 Conf",49,28,,,Final,FS1,7,28,6,8,,0,14,7,7,,NCAAF,31,16,546,273,370,242,176,31,8-102,6-65,2,4,35:11,24:49,8-16,3-12,1-1,2-2,27-40,20-41,9.3,5.9,0,2,43,25,4.1,1.2,2,2,,,,,,,,,,,,,,,,,,
400603839,2015,"September 03, 2015",Vanderbilt Commodores,Western Kentucky Hilltoppers,"0-1, 0-1 Home","1-0, 1-0 Away",12,14,,,Final,SECN,0,3,0,9,,0,0,7,7,,NCAAF,20,11,385,246,217,209,168,37,5-40,9-70,3,0,36:39,23:21,7-18,2-12,2-3,0-0,18-34,19-30,6.4,7.0,2,0,42,23,4.0,1.6,1,0,,,,,,,,,,,,,,,,,,
400763509,2015,"September 19, 2015",Indiana Hoosiers,Western Kentucky Hilltoppers,"3-0, 3-0 Home","2-1, 1-1 Away",38,35,,,Final,ESPNN,7,10,21,0,,7,21,0,7,,NCAAF,34,28,639,568,355,484,284,84,5-50,6-65,1,2,33:36,26:24,8-13,5-11,0-2,2-3,20-27,35-46,13.1,10.5,0,2,59,26,4.8,3.2,1,0,,,,,,,,,,,,,,,,,,
400763617,2015,"October 03, 2015",Rice Owls,Western Kentucky Hilltoppers,"2-3, 1-1 Conf","4-1, 2-0 Conf",10,49,,,Final,,3,7,0,0,,21,14,0,14,,NCAAF,15,24,322,504,237,424,85,80,8-70,3-20,5,0,27:57,32:03,4-15,5-11,1-1,0-0,16-30,29-39,7.9,10.9,2,0,34,32,2.5,2.5,3,0,,,,,,,,,,,,,,,,,,
400763629,2015,"October 15, 2015",North Texas Mean Green,Western Kentucky Hilltoppers,"0-6, 0-3 Conf","6-1, 4-0 Conf",28,55,,,Final,CBSSN,0,14,0,14,,14,20,14,7,,NCAAF,22,35,431,683,228,400,203,283,5-37,7-55,2,1,26:06,33:54,5-13,9-14,1-1,0-1,17-35,31-43,6.5,9.3,1,1,35,40,5.8,7.1,1,0,,,,,,,,,,,,,,,,,,
400763640,2015,"October 31, 2015",Old Dominion Monarchs,Western Kentucky Hilltoppers,"3-5, 1-3 Conf","7-2, 5-0 Conf",30,55,,,Final,,3,7,7,13,,10,21,10,14,,NCAAF,20,22,342,523,195,284,147,239,2-20,1-5,1,0,34:40,25:20,7-15,5-11,2-4,1-1,19-34,22-29,5.7,9.8,0,0,37,31,4.0,7.7,1,0,,,,,,,,,,,,,,,,,,
