ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League,home_first_downs,away_first_downs,home_total_yards,away_total_yards,home_passing_yards,away_passing_yards,home_rushing_yards,away_rushing_yards,home_penalties,away_penalties,home_turnovers,away_turnovers,home_possession,away_possession,home_third_down_eff,away_third_down_eff,home_fourth_down_eff,away_fourth_down_eff,home_completions_attempts,away_completions_attempts,home_yards_per_pass,away_yards_per_pass,home_interceptions_thrown,away_interceptions_thrown,home_rushing_attempts,away_rushing_attempts,home_yards_per_rush,away_yards_per_rush,home_fumbles_lost,away_fumbles_lost,home_total_plays,away_total_plays,home_total_drives,away_total_drives,home_yards_per_play,away_yards_per_play,home_redzone_made_att,away_redzone_made_att,home_dst_touchdowns,away_dst_touchdowns,home_passing_first_downs,away_passing_first_downs,home_rushing_first_downs,away_rushing_first_downs,home_first_downs_from_penalties,away_first_downs_from_penalties,home_sacks_yards_lost,away_sacks_yards_lost
401117500,2019,"September 07, 2019",Texas State Bobcats,Wyoming Cowboys,"0-2, 0-1 Home","2-0, 1-0 Away",14,23,WYO -7.5,47.0,Final,ESPN+,7,7,0,0,,0,10,10,3,,NCAAF,27,16,444,293,394,103,50,190,4-35,6-46,3,1,25:33,34:27,5-13,8-18,0-0,0-0,33-54,8-18,7.3,5.7,2,1,22,49,2.3,3.9,1,0,,,,,,,,,,,,,,,,,,
401117509,2019,"September 21, 2019",Tulsa Golden Hurricane,Wyoming Cowboys,"2-2, 1-1 Home","3-1, 1-1 Away",24,21,TLSA -4.5,46.0,Final,CBSSN,0,14,3,7,,7,0,0,14,,NCAAF,27,16,437,357,354,214,83,143,6-40,7-59,1,1,33:11,26:49,9-22,3-15,3-5,1-2,25-50,10-32,7.1,6.7,0,0,43,34,1.9,4.2,1,1,,,,,,,,,,,,,,,,,,
401117523,2019,"October 12, 2019",San Diego State Aztecs,Wyoming Cowboys,"5-1, 2-1 Conf","4-2, 1-1 Conf",26,22,SDSU -3.5,38.0,Final,CBSSN,3,3,13,7,,0,14,0,8,,NCAAF,21,11,329,266,209,109,120,157,5-40,6-70,0,2,33:23,26:37,7-16,5-13,2-2,2-2,21-32,5-14,6.5,7.8,0,1,36,39,3.3,4.0,0,1,,,,,,,,,,,,,,,,,,
401117533,2019,"October 26, 2019",Wyoming Cowboys,Nevada Wolf Pack,"6-2, 3-1 Conf","4-4, 1-3 Conf",31,3,WYO -13.5,45.0,Final,,14,10,7,0,,3,0,0,0,,NCAAF,22,17,479,335,221,254,258,81,4-35,4-30,1,2,29:46,30:14,5-11,9-18,0-1,0-1,9-19,27-45,11.6,5.6,1,1,44,28,5.9,2.9,0,1,,,,,,,,,,,,,,,,,,
401117546,2019,"November 16, 2019",Utah State Aggies,Wyoming Cowboys,"6-4, 5-1 Conf","6-4, 3-3 Conf",26,21,USU -4.5,51.0,Final,ESPNU,0,20,3,3,,0,14,0,7,,NCAAF,22,24,422,343,317,185,105,158,9-75,9-92,2,4,26:49,33:11,4-16,5-14,0-1,0-1,21-35,20-36,9.1,5.1,2,3,44,43,2.4,3.7,0,1,,,,,,,,,,,,,,,,,,
401110728,2019,"August 31, 2019",Wyoming Cowboys,Missouri Tigers,"1-0, 1-0 Home","0-1, 0-1 Away",37,31,MIZ -16.5,54.0,Final,CBSSN,0,27,7,3,,14,3,0,14,,NCAAF,16,28,389,537,92,423,297,114,5-30,5-31,0,3,28:50,31:10,4-12,7-17,0-0,2-3,6-16,31-48,5.8,8.8,0,1,42,42,7.1,2.7,0,2,,,,,,,,,,,,,,,,,,
401117504,2019,"September 14, 2019",Wyoming Cowboys,Idaho Vandals,"3-0, 2-0 Home","1-2, 0-2 Away",21,16,,,Final,ESPN3,0,14,0,7,,3,7,3,3,,NCAAF,17,21,287,303,50,210,237,93,7-97,7-76,0,0,27:27,32:33,4-13,7-20,1-1,1-1,4-12,16-34,4.2,6.2,0,0,47,40,5.0,2.3,0,0,,,,,,,,,,,,,,,,,,
401117514,2019,"September 28, 2019",Wyoming Cowboys,UNLV Rebels,"4-1, 1-0 Conf","1-3, 0-1 Conf",53,17,WYO -8.5,45.0,Final,ESPNU,7,26,0,20,,10,0,0,7,,NCAAF,18,19,498,340,124,263,374,77,4-40,8-62,0,3,29:51,30:09,5-12,4-16,0-0,2-3,5-12,22-44,10.3,6.0,0,3,48,33,7.8,2.3,0,0,,,,,,,,,,,,,,,,,,
401117526,2019,"October 19, 2019",Wyoming Cowboys,New Mexico Lobos,"5-2, 2-1 Conf","2-5, 0-3 Conf",23,10,WYO -17.0,51.0,Final,,7,0,6,10,,0,0,0,10,,NCAAF,21,20,345,372,86,203,259,169,5-38,5-50,0,1,35:13,24:47,11-18,4-12,0-0,1-2,9-15,14-28,5.7,7.3,0,0,55,37,4.7,4.6,0,1,,,,,,,,,,,,,,,,,,
401117541,2019,"November 09, 2019",Boise State Broncos,Wyoming Cowboys,"8-1, 5-0 Conf","6-3, 3-2 Conf",20,17,BSU -16.0,48.0,Final/OT,ESPN,7,0,3,7,3.0,0,10,7,0,0.0,NCAAF,15,15,285,283,194,160,91,123,4-40,4-40,2,0,27:32,32:28,4-12,7-17,0-0,0-1,20-31,15-23,6.3,7.0,1,0,28,44,3.3,2.8,1,0,,,,,,,,,,,,,,,,,,
