ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,Week,League,home_first_downs,away_first_downs,home_total_yards,away_total_yards,home_passing_yards,away_passing_yards,home_rushing_yards,away_rushing_yards,home_penalties,away_penalties,home_turnovers,away_turnovers,home_possession,away_possession,home_third_down_eff,away_third_down_eff,home_fourth_down_eff,away_fourth_down_eff,home_completions_attempts,away_completions_attempts,home_yards_per_pass,away_yards_per_pass,home_interceptions_thrown,away_interceptions_thrown,home_rushing_attempts,away_rushing_attempts,home_yards_per_rush,away_yards_per_rush,home_fumbles_lost,away_fumbles_lost,home_total_plays,away_total_plays,home_total_drives,away_total_drives,home_yards_per_play,away_yards_per_play,home_redzone_made_att,away_redzone_made_att,home_dst_touchdowns,away_dst_touchdowns,home_passing_first_downs,away_passing_first_downs,home_rushing_first_downs,away_rushing_first_downs,home_first_downs_from_penalties,away_first_downs_from_penalties,home_sacks_yards_lost,away_sacks_yards_lost
190919003,1999,"September 19, 1999",Chicago Bears,Seattle Seahawks,"1-1, 1-1 Home","1-1, 1-0 Away",13,14,,,Final,,7,9,0,.438,282.0,12,4,0,.750,451.0,2,NFL,20,19,311,349,196,249,115,100,13-89,8-70,1,3,31:57,28:03,7-18,6-13,2-2,0-1,23-44,18-30,4.2,6.9,0,0,30,28,3.8,3.6,1,3,77,64,0,0,4.0,5.5,0-0,0-0,0,0,11,13,7,4,2,2,3-20,6-34
191003003,1999,"October 3, 1999",Chicago Bears,New Orleans Saints,"2-2, 2-1 Home","1-2, 0-2 Away",14,10,,,Final,,11,5,0,.688,405.0,13,3,0,.813,479.0,4,NFL,20,17,324,269,212,132,112,137,5-35,6-41,5,1,28:50,31:10,8-19,4-15,3-3,0-2,25-43,15-28,4.6,4.1,2,0,28,35,4.0,3.9,3,1,74,67,0,0,4.4,4.0,0-0,0-0,0,0,11,8,8,7,1,2,3-12,4-46
191017003,1999,"October 17, 1999",Chicago Bears,Philadelphia Eagles,"3-3, 2-2 Home","2-4, 1-2 Away",16,20,,,Final,,8,8,0,.500,434.0,9,7,0,.563,385.0,6,NFL,17,19,352,316,239,217,113,99,9-85,6-53,2,2,31:36,28:24,4-14,4-15,0-1,1-1,17-33,22-39,6.5,5.4,2,0,29,26,3.9,3.8,0,2,66,66,0,0,5.3,4.8,0-0,0-0,0,0,10,13,5,3,2,3,4-16,1-11
191031028,1999,"October 31, 1999",Washington Redskins,Chicago Bears,"5-2, 2-1 Home","3-5, 1-3 Away",48,22,,,Final,,8,8,0,.500,434.0,9,7,0,.563,385.0,8,NFL,18,22,376,445,212,371,164,74,3-15,9-85,1,5,24:04,35:56,3-10,12-23,0-0,3-5,17-33,36-63,6.4,5.6,1,4,24,26,6.8,2.8,0,1,57,92,0,0,6.6,4.8,0-0,0-0,2,0,11,17,6,5,1,0,0-0,3-14
191114003,1999,"November 14, 1999",Chicago Bears,Minnesota Vikings,"4-6, 2-3 Home","6-4, 3-2 Away",24,27,,,Final/OT,,N,U,L,L,,N,U,L,L,,10,NFL,21,23,456,459,407,349,49,110,11-102,6-62,2,3,32:05,33:53,6-16,6-15,0-1,0-0,34-48,25-44,8.0,7.4,1,1,22,28,2.2,3.9,1,2,73,75,0,0,6.2,6.1,0-0,0-0,0,0,16,15,4,5,1,3,3-15,3-25
191125008,1999,"November 25, 1999",Detroit Lions,Chicago Bears,"7-4, 5-1 Home","5-7, 3-4 Away",21,17,,,Final,,N,U,L,L,,N,U,L,L,,12,NFL,20,12,377,236,293,184,84,52,6-40,3-25,1,1,38:16,21:44,11-19,2-12,0-0,0-0,29-42,25-39,6.7,4.5,0,1,29,12,2.9,4.3,1,0,73,53,0,0,5.2,4.5,0-0,0-0,0,0,14,11,5,1,1,0,2-16,2-20
191226014,1999,"December 26, 1999",St. Louis Rams,Chicago Bears,"13-2, 8-0 Home","6-9, 3-5 Away",34,12,,,Final,,N,U,L,L,,N,U,L,L,,16,NFL,23,24,476,434,361,365,115,69,8-76,10-64,2,3,33:45,26:15,7-14,5-13,0-0,0-3,27-42,32-55,8.6,6.2,1,2,27,17,4.3,4.1,1,1,69,76,0,0,6.9,5.7,0-0,0-0,2,0,16,20,6,3,1,1,0-0,4-26
190912003,1999,"September 12, 1999",Chicago Bears,Kansas City Chiefs,"1-0, 1-0 Home","0-1, 0-1 Away",20,17,,,Final,,7,9,0,.438,282.0,12,4,0,.750,451.0,1,NFL,22,17,388,349,307,278,81,71,6-44,7-40,2,1,34:54,25:06,10-18,4-12,0-0,0-2,31-47,20-42,6.4,6.5,0,1,28,17,2.9,4.2,2,0,76,60,0,0,5.1,5.8,0-0,0-0,0,2,16,11,6,5,0,1,1-15,1-5
190926013,1999,"September 26, 1999",Oakland Raiders,Chicago Bears,"2-1, 1-0 Home","1-2, 0-1 Away",24,17,,,Final,,N,U,L,L,,N,U,L,L,,3,NFL,22,11,392,232,283,198,109,34,9-85,17-121,5,3,34:29,25:31,8-13,4-13,0-0,0-0,26-35,23-35,7.3,5.2,0,1,26,16,4.2,2.1,5,2,65,54,0,0,6.0,4.3,0-0,0-0,0,0,14,9,6,1,2,1,4-12,3-18
191010016,1999,"October 10, 1999",Minnesota Vikings,Chicago Bears,"2-3, 1-2 Home","3-2, 1-1 Away",22,24,,,Final,,N,U,L,L,,N,U,L,L,,5,NFL,26,23,445,379,279,278,166,101,5-40,3-23,5,0,26:34,33:26,3-13,6-16,1-1,0-1,25-47,28-42,5.5,6.5,3,0,20,33,8.3,3.1,2,0,71,76,0,0,6.3,5.0,0-0,0-0,0,2,17,16,7,5,2,2,4-30,1-3
191024027,1999,"October 24, 1999",Tampa Bay Buccaneers,Chicago Bears,"3-3, 2-1 Home","3-4, 1-2 Away",6,3,,,Final,,N,U,L,L,,N,U,L,L,,7,NFL,11,15,225,275,101,189,124,86,4-30,6-55,0,2,30:57,29:03,3-14,6-18,0-0,1-1,16-27,19-45,3.5,4.0,0,2,28,24,4.4,3.6,0,0,57,71,0,0,3.9,3.9,0-0,0-0,0,0,4,9,7,6,0,0,2-20,2-10
191107009,1999,"November 7, 1999",Green Bay Packers,Chicago Bears,"4-4, 3-2 Home","4-5, 2-3 Away",13,14,,,Final,,N,U,L,L,,N,U,L,L,,9,NFL,21,19,339,311,254,151,85,160,4-30,3-24,1,4,30:32,29:28,8-17,6-14,0-1,1-2,27-40,18-34,5.9,4.3,1,3,29,29,2.9,5.5,0,1,72,64,0,0,4.7,4.9,0-0,0-0,0,0,16,9,2,9,3,1,3-13,1-6
191121024,1999,"November 21, 1999",San Diego Chargers,Chicago Bears,"4-6, 2-4 Home","5-6, 3-3 Away",20,23,,,Final/OT,,N,U,L,L,,N,U,L,L,,11,NFL,20,19,348,430,264,355,84,75,5-40,8-56,1,1,32:57,32:01,9-18,5-15,0-0,0-0,29-46,25-39,5.6,8.9,1,0,27,28,3.1,2.7,0,1,74,68,0,0,4.7,6.3,0-0,0-0,0,0,16,13,4,4,0,2,1-9,1-2
191205003,1999,"December 5, 1999",Chicago Bears,Green Bay Packers,"5-8, 2-4 Home","7-5, 3-3 Away",19,35,,,Final,,N,U,L,L,,N,U,L,L,,13,NFL,17,19,297,327,206,139,91,188,4-35,3-25,2,3,27:18,32:42,5-15,7-13,0-3,0-0,21-39,17-24,4.9,5.3,1,2,24,35,3.8,5.4,1,1,66,61,0,0,4.5,5.4,0-0,0-0,2,2,10,9,5,9,2,1,3-20,2-16
191219003,1999,"December 19, 1999",Chicago Bears,Detroit Lions,"6-8, 3-4 Home","8-6, 2-5 Away",28,10,,,Final,,N,U,L,L,,N,U,L,L,,15,NFL,27,19,396,339,292,236,104,103,8-62,6-43,2,4,32:21,27:39,5-11,4-12,0-1,0-2,27-36,23-40,7.7,5.5,2,3,32,19,3.3,5.4,0,1,70,62,0,0,5.7,5.5,0-0,0-0,0,0,17,9,8,7,2,3,2-9,3-17
200102003,1999,"January 2, 2000",Chicago Bears,Tampa Bay Buccaneers,"6-10, 3-5 Home","11-5, 4-4 Away",6,20,,,Final,,N,U,L,L,,N,U,L,L,,17,NFL,13,16,257,318,186,175,71,143,2-10,3-30,2,0,23:16,36:44,0-12,6-16,1-4,0-1,20-42,18-24,4.2,7.0,1,0,18,40,3.9,3.6,1,0,62,65,0,0,4.1,4.9,0-0,0-0,0,0,8,10,5,6,0,0,2-10,1-3
