ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,Week,League
400874518,2016,"September 18, 2016",Washington Redskins,Dallas Cowboys,"8-7-1, 4-4 Home","13-3, 6-2 Away",23,27,,,Final,FOX,0,10,13,0,,10,3,7,7,,2,NFL
400874674,2016,"October 2, 2016",San Francisco 49ers,Dallas Cowboys,"1-3, 1-1 Home","3-1, 2-0 Away",17,24,,,Final,FOX,7,7,3,0,,0,14,7,3,,4,NFL
400874733,2016,"October 16, 2016",Green Bay Packers,Dallas Cowboys,"3-2, 2-1 Home","5-1, 3-0 Away",16,30,,,Final,FOX,3,3,0,10,,7,10,3,10,,6,NFL
400874629,2016,"October 30, 2016",Dallas Cowboys,Philadelphia Eagles,"6-1, 3-1 Home","4-3, 1-3 Away",29,23,,,Final/OT,NBC,7,3,3,10,6.0,3,10,7,3,0.0,8,NFL
400874538,2016,"November 13, 2016",Pittsburgh Steelers,Dallas Cowboys,"4-5, 3-2 Home","8-1, 5-0 Away",30,35,,,Final,FOX,12,3,3,12,,10,3,10,12,,10,NFL
400874499,2016,"November 24, 2016",Dallas Cowboys,Washington Redskins,"10-1, 5-1 Home","6-4-1, 2-2-1 Away",31,26,,,Final,FOX,7,10,0,14,,0,6,0,20,,12,NFL
400874656,2016,"December 11, 2016",New York Giants,Dallas Cowboys,"9-4, 6-1 Home","11-2, 6-1 Away",10,7,,,Final,NBC,0,0,10,0,,7,0,0,0,,14,NFL
400874588,2016,"December 26, 2016",Dallas Cowboys,Detroit Lions,"13-3, 7-1 Home","9-6, 3-5 Away",42,21,,,Final,ESPN,14,7,14,7,,7,14,0,0,,16,NFL
400874853,2016,"August 19, 2016",Dallas Cowboys,Miami Dolphins,"1-1, 1-0 Home","1-1, 1-1 Away",41,14,,,Final,,7,20,14,0,,0,14,0,0,,2,NFL
400874574,2016,"September 11, 2016",Dallas Cowboys,New York Giants,"0-1, 0-1 Home","1-0, 1-0 Away",19,20,,,Final,FOX,3,6,7,3,,0,13,0,7,,1,NFL
400874650,2016,"September 25, 2016",Dallas Cowboys,Chicago Bears,"2-1, 1-1 Home","0-3, 0-2 Away",31,17,,,Final,NBC,10,14,0,7,,0,3,7,7,,3,NFL
400874630,2016,"October 9, 2016",Dallas Cowboys,Cincinnati Bengals,"4-1, 2-1 Home","2-3, 1-2 Away",28,14,,,Final,CBS,7,14,7,0,,0,0,0,14,,5,NFL
400874599,2016,"November 6, 2016",Cleveland Browns,Dallas Cowboys,"0-9, 0-4 Home","7-1, 4-0 Away",10,35,,,Final,FOX,3,7,0,0,,7,14,14,0,,9,NFL
400874638,2016,"November 20, 2016",Dallas Cowboys,Baltimore Ravens,"9-1, 4-1 Home","5-5, 2-3 Away",27,17,,,Final,CBS,0,10,7,10,,7,3,0,7,,11,NFL
400874713,2016,"December 1, 2016",Minnesota Vikings,Dallas Cowboys,"6-6, 4-2 Home","11-1, 6-0 Away",15,17,,,Final,NBC,3,0,3,9,,0,7,0,10,,13,NFL
400874679,2016,"December 18, 2016",Dallas Cowboys,Tampa Bay Buccaneers,"12-2, 6-1 Home","8-6, 5-2 Away",26,20,,,Final,NBC,0,17,0,9,,3,3,14,0,,15,NFL
400873867,2016,"August 13, 2016",Los Angeles Rams,Dallas Cowboys,"1-0, 1-0 Home","0-1, 0-1 Away",28,24,,,Final,ESPN,7,0,7,14,,14,10,0,0,,1,NFL
400874797,2016,"August 25, 2016",Seattle Seahawks,Dallas Cowboys,"2-1, 1-1 Home","1-2, 0-2 Away",27,17,,,Final,,0,10,17,0,,7,3,0,7,,3,NFL
400874800,2016,"September 1, 2016",Dallas Cowboys,Houston Texans,"1-3, 1-1 Home","4-0, 2-0 Away",17,28,,,Final,,7,3,7,0,,0,14,7,7,,4,NFL
400927749,2016,"January 15, 2017",Dallas Cowboys,Green Bay Packers,"13-3, 7-1 Home","10-6, 4-4 Away",31,34,,,Final,FOX,3,10,0,18,,7,14,7,6,,DIV,NFL
400874647,2016,"January 1, 2017",Philadelphia Eagles,Dallas Cowboys,"7-9, 6-2 Home","13-3, 6-2 Away",27,13,,,Final,FOX,3,7,7,10,,0,10,3,0,,17,NFL
