ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,Week,League,home_first_downs,away_first_downs,home_total_yards,away_total_yards,home_passing_yards,away_passing_yards,home_rushing_yards,away_rushing_yards,home_penalties,away_penalties,home_turnovers,away_turnovers,home_possession,away_possession,home_third_down_eff,away_third_down_eff,home_fourth_down_eff,away_fourth_down_eff,home_completions_attempts,away_completions_attempts,home_yards_per_pass,away_yards_per_pass,home_interceptions_thrown,away_interceptions_thrown,home_rushing_attempts,away_rushing_attempts,home_yards_per_rush,away_yards_per_rush,home_fumbles_lost,away_fumbles_lost,home_total_plays,away_total_plays,home_total_drives,away_total_drives,home_yards_per_play,away_yards_per_play,home_redzone_made_att,away_redzone_made_att,home_dst_touchdowns,away_dst_touchdowns,home_passing_first_downs,away_passing_first_downs,home_rushing_first_downs,away_rushing_first_downs,home_first_downs_from_penalties,away_first_downs_from_penalties,home_sacks_yards_lost,away_sacks_yards_lost
190919008,1999,"September 19, 1999",Detroit Lions,Green Bay Packers,"2-0, 1-0 Home","1-1, 0-1 Away",23,15,,,Final,,N,U,L,L,,N,U,L,L,,2,NFL,9,21,278,437,196,283,82,154,6-52,5-25,2,3,26:17,33:43,4-13,6-15,0-1,0-1,9-16,20-41,9.8,6.7,2,1,32,31,2.6,5.0,0,2,52,73,0,0,5.3,6.0,0-0,0-0,0,0,6,10,3,9,0,2,4-23,1-5
191017007,1999,"October 17, 1999",Denver Broncos,Green Bay Packers,"2-4, 1-2 Home","3-2, 0-2 Away",31,10,,,Final,,7,9,0,.438,282.0,12,4,0,.750,451.0,6,NFL,28,5,514,133,363,112,151,21,9-64,9-51,1,3,45:14,14:46,11-19,0-8,0-0,0-0,19-31,7-23,11.7,4.7,1,3,51,11,3.0,1.9,0,0,82,35,0,0,6.3,3.8,0-0,0-0,0,0,15,4,11,1,2,0,0-0,1-8
191101009,1999,"November 1, 1999",Green Bay Packers,Seattle Seahawks,"4-3, 3-1 Home","5-2, 3-1 Away",7,27,,,Final,,7,9,0,.438,282.0,12,4,0,.750,451.0,8,NFL,17,12,307,222,182,90,125,132,10-103,6-67,7,2,28:52,31:08,5-17,3-14,0-2,0-0,16-41,12-19,4.0,4.3,4,0,29,36,4.3,3.7,3,2,74,57,0,0,4.1,3.9,0-0,0-0,0,1,8,7,7,4,2,1,4-30,2-19
191114006,1999,"November 14, 1999",Dallas Cowboys,Green Bay Packers,"5-4, 4-0 Home","4-5, 1-3 Away",27,13,,,Final,,8,8,0,.500,434.0,9,7,0,.563,385.0,10,NFL,19,20,339,284,190,244,149,40,10-135,8-57,2,2,30:34,29:26,3-11,3-13,0-0,0-0,13-23,26-50,7.6,4.6,0,2,34,17,4.4,2.4,2,0,59,70,0,0,5.7,4.1,0-0,0-0,2,0,10,13,6,2,3,5,2-9,3-16
191129025,1999,"November 29, 1999",San Francisco 49ers,Green Bay Packers,"3-8, 2-4 Home","6-5, 2-3 Away",3,20,,,Final,,11,5,0,.688,405.0,13,3,0,.813,479.0,12,NFL,14,19,322,308,185,229,137,79,8-105,4-22,2,0,29:34,30:26,3-13,2-11,0-2,0-0,19-35,24-35,5.0,6.4,1,0,23,22,6.0,3.6,1,0,60,58,0,0,5.4,5.3,0-0,0-0,0,0,8,13,6,4,0,2,2-10,1-7
191212009,1999,"December 12, 1999",Green Bay Packers,Carolina Panthers,"7-6, 4-3 Home","6-7, 3-4 Away",31,33,,,Final,,11,5,0,.688,405.0,13,3,0,.813,479.0,14,NFL,26,21,362,381,283,368,79,13,10-81,9-64,2,4,33:01,26:59,8-13,4-10,0-0,2-2,26-38,29-42,7.1,8.6,1,0,24,13,3.3,1.0,1,4,64,56,0,0,5.7,6.8,0-0,0-0,2,0,14,18,10,1,2,2,2-19,1-5
191226027,1999,"December 26, 1999",Tampa Bay Buccaneers,Green Bay Packers,"10-5, 7-1 Home","7-8, 3-5 Away",29,10,,,Final,,N,U,L,L,,N,U,L,L,,16,NFL,17,14,274,243,150,231,124,12,2-25,2-20,1,4,36:07,23:53,7-16,6-15,1-1,0-1,18-31,25-48,4.8,4.7,1,2,37,12,3.4,1.0,0,2,68,61,0,0,4.0,4.0,0-0,0-0,0,0,9,12,8,1,0,1,0-0,1-3
190912009,1999,"September 12, 1999",Green Bay Packers,Oakland Raiders,"1-0, 1-0 Home","0-1, 0-1 Away",28,24,,,Final,,N,U,L,L,,N,U,L,L,,1,NFL,25,20,409,363,318,210,91,153,7-47,6-55,4,1,29:41,30:19,6-12,6-13,0-0,0-0,28-47,16-31,6.4,6.0,3,1,20,32,4.6,4.8,1,0,70,67,0,0,5.8,5.4,0-0,0-0,0,0,19,10,5,9,1,1,3-15,4-17
190926009,1999,"September 26, 1999",Green Bay Packers,Minnesota Vikings,"2-1, 2-0 Home","1-2, 1-1 Away",23,20,,,Final,,N,U,L,L,,N,U,L,L,,3,NFL,20,21,360,328,289,231,71,97,5-47,5-30,0,2,29:06,30:54,5-13,3-12,1-1,2-2,24-39,18-32,7.0,6.8,0,2,22,29,3.2,3.3,0,0,63,63,0,0,5.7,5.2,0-0,0-0,2,0,15,10,4,8,1,3,2-15,2-13
191010009,1999,"October 10, 1999",Green Bay Packers,Tampa Bay Buccaneers,"3-1, 3-0 Home","2-3, 1-2 Away",26,23,,,Final,,N,U,L,L,,N,U,L,L,,5,NFL,18,21,450,273,352,100,98,173,9-88,3-40,1,4,30:07,29:53,7-16,4-12,0-0,0-0,22-40,16-26,7.8,3.6,0,3,23,32,4.3,5.4,1,1,68,60,0,0,6.6,4.6,0-0,0-0,0,0,12,8,5,11,1,2,5-38,2-10
