ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,Week,League,home_first_downs,away_first_downs,home_total_yards,away_total_yards,home_passing_yards,away_passing_yards,home_rushing_yards,away_rushing_yards,home_penalties,away_penalties,home_turnovers,away_turnovers,home_possession,away_possession,home_third_down_eff,away_third_down_eff,home_fourth_down_eff,away_fourth_down_eff,home_completions_attempts,away_completions_attempts,home_yards_per_pass,away_yards_per_pass,home_interceptions_thrown,away_interceptions_thrown,home_rushing_attempts,away_rushing_attempts,home_yards_per_rush,away_yards_per_rush,home_fumbles_lost,away_fumbles_lost,home_total_plays,away_total_plays,home_total_drives,away_total_drives,home_yards_per_play,away_yards_per_play,home_redzone_made_att,away_redzone_made_att,home_dst_touchdowns,away_dst_touchdowns,home_passing_first_downs,away_passing_first_downs,home_rushing_first_downs,away_rushing_first_downs,home_first_downs_from_penalties,away_first_downs_from_penalties,home_sacks_yards_lost,away_sacks_yards_lost
401030733,2018,"September 16, 2018",Jacksonville Jaguars,New England Patriots,"2-0, 1-0 Home","1-1, 0-1 Away",31,20,NE -2.5,45,Final,CBS,14,7,3,7,,0,3,7,10,,2,NFL,27,18,480,302,376,220,104,82,7-71,2-25,2,1,30:46,29:14,10-14,4-12,0-0,0-0,29-45,24-35,8.4,5.9,1,0,24,24,4.3,3.4,1,1,69,61,11,11,7.0,5.0,2-3,1-2,0,0,22,12,5,5,0,1,0-0,2-14
401030840,2018,"September 30, 2018",Jacksonville Jaguars,New York Jets,"3-1, 2-1 Home","1-3, 1-2 Away",31,12,JAX -7.5,40,Final,FOX,3,13,9,6,,0,0,3,9,,4,NFL,23,10,503,178,377,144,126,34,9-89,6-43,3,0,37:35,22:25,6-15,3-13,1-1,0-1,29-38,17-34,9.4,3.9,1,0,34,14,3.7,2.4,2,0,74,51,13,14,6.8,3.5,1-3,1-2,0,0,16,6,5,2,2,2,2-11,3-23
401030776,2018,"October 14, 2018",Dallas Cowboys,Jacksonville Jaguars,"3-3, 3-0 Home","3-3, 1-2 Away",40,7,JAX -3.0,40,Final,CBS,10,14,6,10,,0,0,7,0,,6,NFL,23,10,378,204,172,139,206,65,3-25,4-30,0,2,38:50,21:10,7-17,4-11,2-2,0-1,17-27,15-26,5.7,4.8,0,1,42,18,4.9,3.6,0,1,72,47,11,12,5.2,4.3,4-5,0-0,0,0,10,7,11,3,2,0,3-11,3-10
401030699,2018,"October 28, 2018",Jacksonville Jaguars,Philadelphia Eagles,3-5,4-4,18,24,PHI -4.0,45,Final,NFL,3,3,6,6,,0,10,7,7,,8,NFL,16,22,335,395,265,262,70,133,5-45,4-36,1,2,27:22,32:38,6-14,7-12,1-2,0-0,24-41,21-30,5.9,7.7,0,1,17,28,4.1,4.8,1,1,62,62,10,10,5.4,6.4,1-3,1-2,0,0,10,15,5,7,1,0,4-21,4-24
401030766,2018,"November 11, 2018",Indianapolis Colts,Jacksonville Jaguars,"4-5, 2-2 Home","3-6, 1-3 Away",29,26,IND -3.0,48,Final,CBS,14,15,0,0,,7,9,7,3,,10,NFL,17,24,366,415,285,324,81,91,7-45,8-61,1,1,24:50,35:10,6-11,9-17,0-0,1-1,21-29,27-39,9.8,8.3,1,0,23,34,3.5,2.7,0,1,52,73,11,10,7.0,5.7,3-3,2-3,0,0,11,16,4,6,2,2,0-0,0-0
401030919,2018,"November 25, 2018",Buffalo Bills,Jacksonville Jaguars,"4-7, 2-3 Home","3-8, 1-4 Away",24,21,JAX -3.0,37,Final,CBS,14,0,0,10,,0,14,0,7,,12,NFL,18,25,327,333,160,107,167,226,13-80,10-90,0,2,27:18,32:42,2-10,5-13,0-0,0-0,8-19,12-23,8.4,4.1,0,2,35,39,4.8,5.8,0,0,54,65,13,12,6.1,5.1,2-3,3-4,0,0,5,6,9,13,4,6,0-0,3-20
401030724,2018,"December 6, 2018",Tennessee Titans,Jacksonville Jaguars,"7-6, 5-1 Home","4-9, 1-5 Away",30,9,TEN -5.5,37,Final,FOX,7,9,14,0,,2,0,7,0,,14,NFL,21,17,426,255,162,195,264,60,3-30,7-67,1,1,29:20,30:40,7-11,2-12,0-1,2-5,18-24,25-43,6.5,4.1,1,0,32,20,8.3,3.0,0,1,57,67,10,11,7.5,3.8,2-5,1-2,0,0,9,11,10,5,2,1,1-0,4-45
401030866,2018,"December 23, 2018",Miami Dolphins,Jacksonville Jaguars,"7-8, 6-2 Home","5-10, 2-5 Away",7,17,MIA -3.0,39,Final,CBS,7,0,0,0,,7,0,0,10,,16,NFL,11,19,183,244,121,118,62,126,10-95,10-97,2,1,25:15,34:45,2-9,6-13,0-0,0-0,15-22,17-24,4.8,3.9,1,0,18,32,3.4,3.9,1,1,43,62,10,10,4.3,3.9,1-1,1-3,0,2,8,8,2,8,1,3,3-25,6-27
401030997,2018,"August 18, 2018",Minnesota Vikings,Jacksonville Jaguars,"1-1, 0-1 Home","1-1, 1-0 Away",10,14,MIN -3.5,41,Final,NFL,3,0,7,0,,0,7,0,7,,2,NFL,18,20,238,283,110,183,128,100,7-60,13-140,2,1,23:54,36:06,0-12,4-14,1-2,1-1,18-33,23-36,3.0,4.4,0,1,24,29,5.3,3.4,2,0,61,71,12,13,3.9,4.0,1-2,2-2,0,0,7,13,7,5,4,2,4-30,6-48
401030712,2018,"September 9, 2018",New York Giants,Jacksonville Jaguars,"0-1, 0-1 Home","1-0, 1-0 Away",15,20,JAX -3.0,43,Final,FOX,3,3,3,6,,3,10,0,7,,1,NFL,15,17,324,305,210,168,114,137,6-43,11-119,2,1,30:29,29:31,4-13,4-13,0-2,0-0,23-37,18-33,5.4,4.9,1,1,23,28,5.0,4.9,1,0,62,62,12,13,5.2,4.9,0-2,1-2,0,2,8,13,3,4,4,0,2-14,1-8
