ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,Week,League,home_first_downs,away_first_downs,home_total_yards,away_total_yards,home_passing_yards,away_passing_yards,home_rushing_yards,away_rushing_yards,home_penalties,away_penalties,home_turnovers,away_turnovers,home_possession,away_possession,home_third_down_eff,away_third_down_eff,home_fourth_down_eff,away_fourth_down_eff,home_completions_attempts,away_completions_attempts,home_yards_per_pass,away_yards_per_pass,home_interceptions_thrown,away_interceptions_thrown,home_rushing_attempts,away_rushing_attempts,home_yards_per_rush,away_yards_per_rush,home_fumbles_lost,away_fumbles_lost,home_total_plays,away_total_plays,home_total_drives,away_total_drives,home_yards_per_play,away_yards_per_play,home_redzone_made_att,away_redzone_made_att,home_dst_touchdowns,away_dst_touchdowns,home_passing_first_downs,away_passing_first_downs,home_rushing_first_downs,away_rushing_first_downs,home_first_downs_from_penalties,away_first_downs_from_penalties,home_sacks_yards_lost,away_sacks_yards_lost
310919019,2011,"September 19, 2011",New York Giants,St. Louis Rams,"1-1, 1-0 Home","0-2, 0-1 Away",28,16,,,Final,ESPN,7,14,7,0,,6,0,10,0,,2,NFL,22,14,323,367,204,308,119,59,5-55,7-62,1,2,34:12,25:48,5-15,5-17,1-2,1-1,19-30,22-46,6.2,6.4,1,0,38,19,3.1,3.1,0,2,71,67,12,13,4.5,5.5,2-2,1-4,2,0,10,13,9,1,3,0,3-19,2-23
311002014,2011,"October 2, 2011",St. Louis Rams,Washington Redskins,"0-4, 0-3 Home","3-1, 1-1 Away",10,17,,,Final,FOX,0,0,0,10,,7,7,3,0,,4,NFL,14,16,172,339,127,143,45,196,9-65,10-96,1,2,24:50,35:10,6-18,9-18,1-2,0-0,20-43,15-29,2.5,4.9,0,2,17,40,2.6,4.9,1,0,67,69,13,13,2.6,4.9,1-3,1-1,0,0,11,8,1,8,2,0,7-37,0-0
311016009,2011,"October 16, 2011",Green Bay Packers,St. Louis Rams,"6-0, 3-0 Home","0-5, 0-2 Away",24,3,,,Final,FOX,3,21,0,0,,0,3,0,0,,6,NFL,20,22,399,424,309,306,90,118,3-16,7-45,1,1,29:19,30:41,4-13,3-13,1-1,1-4,18-29,29-45,10.3,6.4,1,1,31,24,2.9,4.9,0,0,61,72,11,12,6.5,5.9,1-2,0-3,0,0,12,14,7,8,1,0,1-7,3-22
311030014,2011,"October 30, 2011",St. Louis Rams,New Orleans Saints,"1-6, 1-3 Home","5-3, 2-3 Away",31,21,,,Final,FOX,0,17,7,7,,0,0,7,14,,8,NFL,21,19,323,283,140,227,183,56,9-64,5-32,1,2,31:23,28:37,5-16,8-17,2-2,1-1,20-37,30-44,3.4,4.5,0,2,31,20,5.9,2.8,1,0,72,70,13,13,4.5,4.0,3-3,2-2,2,2,10,16,9,3,2,0,4-35,6-42
311113005,2011,"November 13, 2011",Cleveland Browns,St. Louis Rams,"3-6, 2-3 Home","2-7, 1-4 Away",12,13,,,Final,FOX,3,6,3,0,,0,10,0,3,,10,NFL,16,17,335,281,209,148,126,133,6-60,7-55,1,2,32:27,27:33,5-14,4-12,0-0,0-0,20-27,15-25,7.2,5.7,0,1,30,32,4.2,4.2,1,1,59,58,11,10,5.7,4.8,0-4,1-3,0,0,9,8,5,8,2,1,2-9,1-7
311127014,2011,"November 27, 2011",St. Louis Rams,Arizona Cardinals,"2-9, 1-5 Home","4-7, 2-5 Away",20,23,,,Final,FOX,7,3,0,10,,3,0,17,3,,12,NFL,12,16,272,374,186,106,86,268,8-49,4-30,2,3,26:01,33:59,3-13,4-12,0-0,0-0,17-32,12-23,5.5,4.1,0,2,22,38,3.9,7.1,2,1,56,64,15,14,4.9,5.8,1-3,1-4,1,1,8,4,4,11,0,1,2-17,3-8
311212026,2011,"December 12, 2011",Seattle Seahawks,St. Louis Rams,"6-7, 4-3 Home","2-11, 1-6 Away",30,13,,,Final,ESPN,10,0,10,10,,0,3,3,7,,14,NFL,21,19,359,281,214,167,145,114,9-61,5-30,1,1,31:29,28:31,8-16,3-14,0-0,1-3,21-34,12-29,5.9,5.2,0,1,32,31,4.5,3.7,1,0,68,63,11,12,5.3,4.5,1-3,1-2,1,0,13,7,8,7,0,5,2-10,3-26
311224023,2011,"December 24, 2011",Pittsburgh Steelers,St. Louis Rams,"11-4, 7-1 Home","2-13, 1-7 Away",27,0,,,Final,FOX,3,7,3,14,,0,0,0,0,,16,NFL,17,15,377,232,208,68,169,164,7-50,4-21,1,0,29:15,30:45,1-7,6-16,0-0,0-1,15-22,9-24,9.5,2.5,1,0,28,36,6.0,4.6,0,0,50,63,10,11,7.5,3.7,3-4,0-1,0,0,9,4,8,9,0,2,0-0,3-23
310813014,2011,"August 13, 2011",St. Louis Rams,Indianapolis Colts,"1-0, 1-0 Home","0-1, 0-1 Away",33,10,,,Final,,10,13,10,0,,3,0,7,0,,1,NFL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310826012,2011,"August 26, 2011",Kansas City Chiefs,St. Louis Rams,"0-3, 0-2 Home","3-0, 1-0 Away",10,14,,,Final,,0,3,7,0,,14,0,0,0,,3,NFL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
