ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,Week,League
210924009,2001,"September 24, 2001",Green Bay Packers,Washington Redskins,"2-0, 2-0 Home","0-2, 0-2 Away",37,0,,,Final,ABC,7,3,10,17,,0,0,0,0,,2,NFL
211007019,2001,"October 7, 2001",New York Giants,Washington Redskins,"3-1, 2-0 Home","0-4, 0-3 Away",23,9,,,Final,FOX,3,6,0,14,,3,3,3,0,,4,NFL
211021028,2001,"October 21, 2001",Washington Redskins,Carolina Panthers,"1-5, 1-1 Home","1-5, 1-3 Away",17,14,,,Final/OT,FOX,0,0,0,14,3.0,7,0,0,7,0.0,6,NFL
211104028,2001,"November 4, 2001",Washington Redskins,Seattle Seahawks,"3-5, 3-1 Home","3-4, 1-2 Away",27,14,,,Final,CBS,10,10,7,0,,7,0,7,0,,8,NFL
211118007,2001,"November 18, 2001",Denver Broncos,Washington Redskins,"5-5, 4-2 Home","4-5, 1-4 Away",10,17,,,Final,FOX,0,10,0,0,,0,3,0,14,,10,NFL
211202028,2001,"December 2, 2001",Washington Redskins,Dallas Cowboys,"5-6, 3-2 Home","3-8, 1-4 Away",14,20,,,Final,FOX,0,0,7,7,,7,0,0,13,,12,NFL
211216028,2001,"December 16, 2001",Washington Redskins,Philadelphia Eagles,"6-7, 3-3 Home","9-4, 6-0 Away",6,20,,,Final,FOX,3,3,0,0,,0,10,7,3,,14,NFL
211230018,2001,"December 30, 2001",New Orleans Saints,Washington Redskins,"7-8, 3-4 Home","7-8, 4-4 Away",10,40,,,Final,ESPN,10,0,0,0,,0,13,17,10,,16,NFL
210817028,2001,"August 17, 2001",Washington Redskins,Atlanta Falcons,"0-2, 0-1 Home","2-1, 2-0 Away",6,27,,,Final,,11,5,0,.688,405.0,13,3,0,.813,479.0,1,NFL
210909024,2001,"September 9, 2001",San Diego Chargers,Washington Redskins,"1-0, 1-0 Home","0-1, 0-1 Away",30,3,,,Final,FOX,10,10,0,10,,0,0,3,0,,1,NFL
210930028,2001,"September 30, 2001",Washington Redskins,Kansas City Chiefs,"0-3, 0-1 Home","1-2, 1-0 Away",13,45,,,Final,CBS,3,7,3,0,,0,28,7,10,,3,NFL
211015006,2001,"October 15, 2001",Dallas Cowboys,Washington Redskins,"1-4, 1-2 Home","0-5, 0-4 Away",9,7,,,Final,ABC,0,3,0,6,,0,0,0,7,,5,NFL
211028028,2001,"October 28, 2001",Washington Redskins,New York Giants,"2-5, 2-1 Home","3-4, 1-3 Away",35,21,,,Final,FOX,14,3,10,8,,0,14,0,7,,7,NFL
211125021,2001,"November 25, 2001",Philadelphia Eagles,Washington Redskins,"6-4, 2-4 Home","5-5, 2-4 Away",3,13,,,Final,FOX,0,0,3,0,,0,10,0,3,,11,NFL
211209022,2001,"December 9, 2001",Arizona Cardinals,Washington Redskins,"5-7, 2-5 Home","6-6, 3-4 Away",10,20,,,Final,FOX,0,3,0,7,,0,10,0,10,,13,NFL
211223028,2001,"December 23, 2001",Washington Redskins,Chicago Bears,"6-8, 3-4 Home","11-3, 5-2 Away",15,20,,,Final,FOX,7,3,3,2,,3,7,0,10,,15,NFL
210812012,2001,"August 12, 2001",Kansas City Chiefs,Washington Redskins,"1-0, 1-0 Home","0-1, 0-1 Away",20,0,,,Final,,8,8,0,.500,434.0,9,7,0,.563,385.0,HOF,NFL
210824028,2001,"August 24, 2001",Washington Redskins,Cleveland Browns,"1-2, 1-1 Home","2-1, 0-1 Away",27,25,,,Final,,N,U,L,L,,N,U,L,L,,2,NFL
210830017,2001,"August 30, 2001",New England Patriots,Washington Redskins,"3-1, 2-0 Home","1-3, 0-2 Away",33,13,,,Final,,8,8,0,.500,434.0,9,7,0,.563,385.0,3,NFL
220106028,2001,"January 6, 2002",Washington Redskins,Arizona Cardinals,"8-8, 4-4 Home","7-9, 4-4 Away",20,17,,,Final,FOX,0,6,6,8,,7,10,0,0,,17,NFL
